id,pali_1,source_1
12101,avamaṅgala 1,MJG
12587,avikkhitta,Thai
12454,avigata,AN 4.184
12439,avicikicchā,AN 10.76
12505,avijjādhātu,SN 22.47
12438,avīci 2,DN 26.9
12730,avītikkama,NIDD1 2
12373,avekkhassu,SNP 70
3119,ahirīka,TH 257
3149,ahorattamatandita,MN 131
2542,āgā,SNP 47
1352,ācāragocara,AN 5.114
3333,ājīvikāpakata,SN 22.80
10828,ātāpeti 2,MN 101
1729,ādara,Thai
8156,āpajjita,AN 10.176
8649,āpattibahula,MN 65
8650,āpattibhaya,AN 4.244
4537,āmakadhañña,MN 51
4544,āmakamatta,MN 122
4696,āmavasesa,AN 5.207
13015,āyuda,AN 5.37
9512,āraññikaṅga,VIN 6.1.1.4.2
9277,ārabhituṃ,SN 12.22
9440,ārambhati 1.1,SN 6.14
9457,ārammaṇa 5,DS 1
9297,ārādhanā 3,MN 70
9407,ārāma 2,MN 2.4
4361,ālayasamugghāta,VIN 1.2.1
4390,ālimpesi,VIN 1.1.3
4465,āloketi,SN 9.3
10068,āsanapaññāpana,PAT PK
9814,āsabhī,SN 47.12
9822,āsādana 1,VIN PAT PC 36
9909,āsāḷhā,Sri Lanka
10371,āsevana,Abhi-A Dh.s
12008,āvajjana 2,UDa 1.10
12701,āvisati 1,TH 257
12422,āvi ceva raho ca,MN 48 (simpl)
2996,āhāranettippabhava,ITI 43
24506,iccāyasmā,SNP 58
24551,icchita 1,DHPa 1.2.1
24977,iti attho,UDa 1.10
25092,itthikā,VIN 1.1.1
25087,itthidhana,VIN 1.1.1
25104,itthindriya,VIBH 5.1
24562,idaṃ tasmiṃ,VIN PAT PC 65
24975,īti,Trad
61037,uccāresi 1,VIN 1.1.3
61820,ujupaṭipanna,SN 11.3
61759,ujjavi,VIN 5.12.2
61790,ujjhitvā,VIN 6.1.1.4.2
64114,utuparissayavinodana,MN 2.4
70893,uttara 11,DN 23.20
64080,uttiṇa,MN 81
61213,udakarāsi,SN 35.228
61544,udita,Trad
61566,udumbarakhādika,AN 8.54
61357,uddassetabba,MN 82
61407,uddhaggika,AN 4.61
61412,uddhaṃ adho tiriyaṃ,KHP 9
62198,undūra,VIN 1.4.2.4
62588,upakappati,KHP 7
63228,upaṭṭhapenta,NIDD1 2
62411,upadesa,Trad
62455,upadhiviveka,MN 64
62756,upanandhi,VIN 2.5.5.7
62793,upanibandhitvā,VIN 4.8.206
62851,upanissaya,DSa
62901,upapāramī,Sri Lanka
62284,upabhuñjaka 1,Trad
62961,uparima,VIN 1.1.3
62999,uparūpari,AN 5.196
63024,upasamana,MJG
63046,upasamika,Thai
63288,upavajja 2,AN 4.244
63286,upavadiyamāna,NIDD1 2
62546,upahāra,MN 140
62692,upāli 2,AN 1.228
63528,uppajjituṃ,UDa 1.10
63504,uppādī,Abhi Dhs 1
60946,ubhatobhāgavimutta,MN 70
62110,ummihati,VIN 1.4.2.4
63742,ussāhetvā,MN 70
63798,ussoḷhi,AN 8.74
61715,uhadati,VIN 1.4.2.4
62078,ūmimaya,SNa 35.228
21628,ekatiṃsati,Sri Lanka
21568,ekaputtaka,SN 12.63
70918,eka 7,SNP 7
21604,ekāsanikaṅga,MIL 5.4.2
21733,ekūnacattāḷīsati,Sri Lanka
21745,ekūnatiṃsati,Sri Lanka
21746,ekūnatiṃsatima,Sri Lanka
21738,ekūnasata,Sri Lanka
21749,ekūnavīsati,Sri Lanka
71001,ete 2,SN 22.79
21951,etha tumhe,AN 3.66
21853,esanta,SNP 37
22029,evamayaṃ,AN 6.62
22017,evamārocesi,MN 31
21294,ehi tvaṃ,MN 107
21776,eḷakalomāni,VIN PAT NP 12
38757,okkami,DN 27.3
38928,oṇojeti,VIN 1.4.3.10
38926,oṇojesi,VIN 4.1.13
38553,odhi,MN 137
39109,osaramāna,SNa 35.228
39076,osādeti,VIN 1.1.1
38817,oḷāra,SN 56.11
26344,kakacūpama,MN 21
26261,kacci nu kho,AN 10.48
28367,kaṭukagga,SN 47.8
70377,katamanussaranta,KHP 7
28243,katīhi,SN 1.6
26215,kabaliṅkāra,SN 12.63
71820,kabaḷī,SN 12.12
27668,karaṇa 5,PAT PK
27793,karitvā 1,UD 45
27803,kariyamāna 1,PAT PK
27814,karomase,Thai
26727,kalyāṇī 2,SN 47.20
27928,kasira 2,DN 13.8
26317,kahāpaṇa,DHP 186
27982,kātabba 1,SN 56.11
26858,kāmasukhallikānuyoga,SN 56.11
26873,kāmāvacara 1,VIBH 6.1
28439,kāyadaḷhibahula,VIN 1.2.8
28512,kāyasakkhi,MN 70
28526,kāyasañcetanā,VIBH 6.1
28562,kāyaviveka,NIDD1 2
27651,kārakatā,NIDD1 2
27685,kāraṇaṃ karoti,MN 65
27684,kāraṇaṃ kāriyamāna,MN 65
27802,kāriyamāna,MN 65
27824,kāruka,TH 257
26479,kālaṃ karonta,AN 8.74
26609,kālika 2,NIDD1 1
27916,kāsikosalā,AN 10.29
26529,kāḷapakkha,Sri Lanka
29543,kilesavatthu,TH 257
29584,kiṃ kārapaṭissāvi,SN 22.85
30391,kukkuṭasampātika,DN 26.9
30334,kujjhi,SN 21.9
30581,kumbhūpama,DHP 040
30471,kulitthī,AN 5.58
30824,kūṭadanta,DN 5.2
30041,koṇḍañña 1,SN 56.11
30959,kyassu,SN 7.15
28743,khagga 1,SN 35.87
28745,khagga 3,SNP 3
28947,khaṇika,VIN PAT SA 5
28873,khaṇḍa 3,AN 7.50
28975,khantipāramī,Sri Lanka
29012,kharassara,AN 4.244
28820,khalupacchābhattika,NIDD1.3
28821,khalupacchābhattikaṅga,NIDD1.3
29402,khuramuṇḍa,AN 4.244
71031,khemaka 2,SN 22.89
29419,khvetaṃ,VIN 1.2.1
22565,gaṇakamoggallāna,MN 108
22193,gada 2.2,Trad
22660,gandhappaṭisaṃvedī,SN 35.70
22663,gandharāga,SN 35.70
22664,gandharāgappaṭisaṃvedī,SN 35.70
22539,gamissase,TH 206
22508,gambhīranema,AN 7.67
22872,garukātabba 1,SN 6.2
22341,gahita 2,SN 47.12
22996,gāyanta,AN 7.50
22400,gāḷhabandhanaṃ bandhati,AN 4.244
23335,gila,SN 17.2
23336,gilabaḷisa,SN 17.2
23288,gihibhoga,SN 22.80
23759,guttadvāratā,AN 8.79
23764,guttika,MIL 2.3.12
15638,cakka 3,Trad
15726,cakkhusamudda,SN 35.228
16369,catuttiṃsati,Sri Lanka
16113,catuddasa,VIN PAT NID
16179,catumadhura,DNa 1.2.18
16264,caturāsītisahassa,MJG
16382,catuvīsati,Sri Lanka
16067,cattālīsati,MN 4
16057,cattāḷisā,Sri Lanka
15774,camarī,DN-a 1.2
15985,carato,ITI 111
15612,cāgasampadā,AN 4.61
16114,cātuddasa 1,PAT PK
16186,cātumahārājika 2,AN 10.29
16024,cārittaṃ āpajjita,AN 10.176
17340,cittatā 1.1,AN 10.76
17359,cittaviveka,NIDD1 2
17239,citta 2.6,Sri Lanka
17376,cittiṃ katvāna,TH 257
70981,citra 1.3,TH 251
17627,cuṇṇaka,TH 251
17630,cuṇṇakamakkhita,TH 251
17524,cuddasama,Sri Lanka
17564,cūḷapanthaka,UD 50
16520,cetayita,MIL 2.3.11
17488,corābhinīta,SN 22.80
17475,coḷa 2,SN 1.49
16891,chaṭṭhama,Sri Lanka
16655,chaḍḍayitvāna,TH 257
16767,chandaka,VIN 3.3.6
16771,chandanidāna,SN 42.11
16796,chandāraha,PAT PK
16615,chabbīsati,Sri Lanka
16995,chidda 3,AN 7.50
17078,chuḍḍha,DHP 41
16949,checchati 2,DHP 350
25752,jayanta 1,MJG
25565,jarudapāna,SN 16.3
25273,jalla,SN 54.9
25725,javana 3,UDa 1.10
26012,jitavā,Trad
25964,jinasāsana,TH 257
70827,jivhatā,MN 91
25956,jīna 1,JA 351
26110,jīvitindriya 2,VIBH 5.1
25788,jeta,Thai
26159,jotipāla,DN 19.7
26163,jotirasa,DHPa 1.2.1
35353,ñāṇamattāya,MN 10
35842,ñātidhamma,KHP 7
36110,ñāyapaṭipanna,SN 11.3
60618,ṭṭha,SN 1.47
59810,ṭhapeti 5,MNa 11
59728,ṭhānaṃ vijjati,MN 8
59796,ṭhāpaye,AN 4.42
58775,taññeva,Thai
59065,taṭa 1,Thai
59301,tatrābhiratimicchati,DHP 088
59140,tathattāya,AN 3.66
59083,tathābhūtaṃ,MN 4
59127,tathāsamāhita,SN 46.3
58360,tadatthaṃ,Thai
58547,tamañña,ANa 3.68
59436,tayo 2,ITI 76
58535,taṃ kiṃ maññatha,SN 47.20
59386,tāvakālika,NIDD1 1
59393,tāvatakena,DN 10.2
60176,tikoṭiparisuddha,VIN 4.6.178
60497,tittakagga,SN 47.8
60337,tiparivaṭṭa,SN 56.11
60374,tiracchānakathika,VIN 1.2.8
60382,tiracchānayonika,NIDD1 2
60423,tirokaraṇī,VIN 4.8.206
60186,tilakāhata,AN 3.36
60192,tilakkhaṇa 1,Thai
60573,tividhaṃ,Trad
60312,tīṇi duccaritāni,DN 33.6
60388,tīraṇa,NIDD1 2
60393,tīrayitvā,NIDD2 2.8
60397,tīreti 1,NIDD1 2
60704,tumhaṃ 1,DN 1.1
60705,tumhaṃ 2,DHPa 1.2.1
60666,tulayitvā,MN 70
59461,tecīvarikaṅga,NIDD1.3
59628,tettiṃsati,Sri Lanka
59570,tena tena,TH 257
59605,terasama,Sri Lanka
59644,tevīsati,Sri Lanka
59688,thāmagata,NIDD1 2
59868,theragāthā,Thai
59999,thokika,DHP 310
17761,dakāra,SNPa 1.4
18004,dandhaṃ,DHP 116
18219,dasasahassilokadhātu,SN 56.11
18218,dasasahassī,SN 56.11
18322,dassu,DN 5.4
18323,dassukhīla,DN 5.4
17853,daḷhī,VIN 1.2.8
17926,dānapāramī,Sri Lanka
17923,dānamaya,VIBH 6.1
17914,dāna 1.2,MN 82
17869,dāma 1,SN 35.232
18381,dāvaggi,Trad
17722,dāha 2,Thai
19764,diṭṭhippatta,MN 70
19727,diṭṭhibyasana,VIBH 4.1.1
19557,dina,Trad
19590,dipādaka,AN 4.67
19599,dīpana 1,Thai
20206,dukkhanirodhagāminīpaṭipadā,SN 56.11
20234,dukkhappatta,MJG
20191,dukkhamaddasā,AN 4.49
20077,duggāha,Trad
20356,dunnimitta,MJG
20408,duppūrana,SNa 35.228
20325,dumapphala,TH 251
20539,dussupina,Trad
21043,duvidhena,Abhi Vibh 6.1
20433,dūraṃ,TH 206
18498,devabhūta,AN 5.32
18563,devānubhāva,SN 56.11
18425,dehanissita,DHPa 1.1.1
19953,dovacassatā,AN 10.76
21129,dvattiṃsā,MN 91
21064,dvādasākāra,SN 56.11
21199,dvevīsati,Sri Lanka
18793,dhammakkhandha,MJG
18765,dhammagārava 2,Thai
18703,dhammacakkappavattana,Thai
18704,dhammacakkappavattanasutta,Thai
18886,dhammappaṭisaṃvedī,SN 35.70
18905,dhammaratana,MJG
18893,dhammarāgappaṭisaṃvedī,SN 35.70
19157,dharamāna,Thai
19229,dhātumattaka,Trad
19256,dhāva,Trad
19303,dhītucitta,SN 35.127
19305,dhītumattī,SN 35.127
19410,dhutaṅga,NIDD 1.3
35072,nakhacchedana,SN 35.235
34932,nagaraguttika,MIL 2.3.12
34862,nadita,SN 47.12
35488,nandirāgasahagata,SN 56.11
71045,nanvāgameti,MN 131
34774,nabhivadati,SN 35.88
35199,namakāra,Thai
35255,namati 2,Thai
35241,namassanīya,VIN-a 1
36084,naya 3,UDa 1.10
36064,navavidha,PAT PK
35734,nāsana,SN 6.2
35764,nāsīsati,AN 4.45
37070,nijjīva 2,Trad
36726,nidassita,KHP 7
36707,nidāna 4,SN 22.33
36741,niddārāmatā,AN 8.79
36807,niddukkha 1,Thai
37579,nippesika,MN 117
36371,nibandhissaṃ,TH 206
36471,nibbatteti,NIDD1 2
36378,nibbāhāpetvā,VIN 1.1.1
36515,nibbhaya,MJG
37325,nimaṃsa,MN 10.8
38249,niyāma 1,SN 25.1
37740,nirodhagāmī,SN 12.2
37899,nissaggiyapācittiya,VIN PAT NP 1
37942,nissarati,SN 22.28
38000,nissoka,MJG
38196,nivedeti,Thai
36964,nihacca 2,SN 7.15
37289,nīlapītādibheda,SNa 35.70
36149,nekatika 2,TH 257
36162,nekkhammapāramī,Sri Lanka
36141,negama 2,VIN 4.8.202
36246,netti 4,ITI 43
36241,netthāra,MN 65
36242,netthāraṃ vattati,MN 65
36198,nerayika 2,NIDD1 2
36211,nesajjikaṅga,NIDD1.3
36300,nevattānaṃ,SN 35.234
36267,nevasaññanāsaññā,Abhi Vibh 6.1
40590,pakaroti,AN 8.1
40661,pakiṇṇaka 1,Thai
40669,pakiritvā,AN 4.244
40767,pakkhiya 1,AN 6.17
40325,paggharaṇī,MN 39
39982,pacīyati,SN 35.95
39784,pacchābāhaṃ,AN 4.244
39798,pacchāliyaṃ khipati,AN 5.58
40491,pajaheyyātha,AN 3.66
40530,pajīvanta,TH 257
41407,pañcatiṃsati,Sri Lanka
41408,pañcatiṃsatima,Sri Lanka
41268,pañcadasa,Sri Lanka
41262,pañcabhi,SN 1.6
41326,pañcamahāpariccāgā,Sri Lanka
41433,pañcavīsati,Sri Lanka
41729,paññapeti 3,MN 31
41704,paññāpanāya,SN 22.57
41705,paññāpāramī,Sri Lanka
41843,paññāya mattaso,MN 70
44893,paṭikata,AN 2.33
45091,paṭinivatti,VVa 1.3.5
44988,paṭilābhato,MN 137
45336,paṭisandhi 3,Sri Lanka
45261,paṭisallānārāmatthaṃ,MN 2.4
45318,paṭisaṃvidita 3,SNa 35.70
45424,paṭissatimattāya,MN 10
44791,paṭihaṅkhāmi,MN 2.4
44490,paṭhavī,DHP 041
41188,paṇāma,Thai
41198,paṇāmenta,VIN 4.1.49
41569,paṇīdhi,AN 3.156
41457,paṇḍaka 2,VIN PAT PK
41754,paṇṇarasama,Sri Lanka
44951,patikoṭeti,MN 19
45503,patiṭṭhiyati,NIDD1 2
45679,pattakamma,AN 4.61
45701,pattapiṇḍika,MIL 5.4.2
45702,pattapiṇḍikaṅga,MIL 5.4.2
45793,pattidāna,Thai
40047,padāla,Thai
40211,paditta 1,SN 22.80
40276,paduṭṭha 2,AN 10.176
71056,panidaṃ,SN 56.11
41566,panidhekacca,MN 105
71059,panūdati,SN 2.8
39336,pabāḷha 1,SN 22.80
39467,pabhāva,Thai
46171,payirupāsanta,MN 70
42230,paramasacca,MN 70
42312,parānudayatā,NIDD2 2.8
42313,parānudayatāpaṭisaṃyutta,NIDD2 2.8
42236,parāmasati 2,DN 1.6
42869,parikittana,Thai
42879,parikkhā,AN 7.67
42596,pariccajitvā,TH 257
42808,parijjhāyanā,Abhi Vibh 4.1.1
42670,paridīpaka,Thai
42666,paridhāya,AN 4.244
43070,pariniṭṭhita,PAT PK
43045,parinibbānika,Thai
43033,parinetvā,AN 4.244
43146,paripatitvā,VIN 1.1.3
42428,paribāhira,TH 257
42468,paribhañjana,NIDD1 1
42944,parimaddana 2,AN 7.50
43544,pariy,MN 119
43587,pariyāpuṇassu,AN 10.44
43697,pariyuṭṭhi,VVa
43668,pariyogāya,MN 70
43523,parivīmaṃsamāpajjanta,SN 46.3
42742,parihāpeti,SN 12.22
40932,palitta,SNP 40
43972,passasitvā,AN 8.73
71064,passasissati,MN 118
43992,passita,DN 23.10
45944,pavattana 2,Thai
45942,pavattamāna 2,Trad
46002,pavayha,MN 65
46050,pavicaranta,SN 46.3
40412,pahātuṃ,AN 10.76
41108,paṃsukūlikaṅga,VIN 6.1.1.4.2
40567,pāka 2,Thai
44118,pāṭha 1,SNPa 1.4
44119,pāṭha 2,Thai
41582,pāṇinā,SN 35.88
40067,pādamūla,Sri Lanka
42028,pāpika,MN 21
42019,pāpesi 2,Thai
46163,pāyeti,MIL 2.3.11
42326,pārāpariyattheragāthā 3,Thai
43217,pāripūrī,MN 10.14
45844,pāvacana 2,DN 16.21
46924,piṭakattaya,MJG
46805,piṇḍapātikaṅga,VIN 6.1.1.4.2
46938,pitari,SN 7.15
46863,pipāsavinaya,VIN 1.2.1
47925,puṭaṃsa,AN 4.190
47918,puṭa 2,AN 4.190
47611,puṇṇaka,SNP 58
47632,puṇṇamī,Sri Lanka
48022,puttamaṃsa,SN 12.63
47952,puthujjanasukha,MN 139
47276,pubbabhāga 3,Thai
47807,purimā koṭi,AN 10.61
47905,purisindriya,VIBH 5.1
47759,pūrāpetvā,VIN 1.1.1
47795,pūreti 1,DHPa 1.2.1
46250,pemamattaka,MN 65
46297,pessaka,MN 98
71155,poṭṭhapāda 2,VISM 2.20
46349,phagguṇa,Sri Lanka
46472,pharati 2,SN 22.80
46479,pharitvāna,Thai
46536,phāsuka 2,DN 22.15
46636,phusita 3,TH 257
46640,phusituṃ,TH 257
46642,phusitvā 2,MN 70
46646,phussa 2.1,Sri Lanka
46597,phoṭṭhabbappaṭisaṃvedī,SN 35.70
46598,phoṭṭhabbarāga,SN 35.70
46599,phoṭṭhabbarāgappaṭisaṃvedī,SN 35.70
13603,bara,Thai
13446,balappatta,MJG
13168,bahigata,AN 7.61
13161,bahiddha,Abhi Dhs 1
13354,bahusādhāraṇa,NIDD1 1
13624,bāvīsati,VIBH 5.1
13520,bāḷisika,SN 17.2
15003,bimbohana,SN 20.8
15327,buddhāna,DHP 183
15335,buddhānubhāva,Trad
15045,bodhipakkhiya,AN 6.17
15504,byanta,MN 19
70976,byākarissati,AN 6.61
70758,brahmasama,SNP 31
13743,bhagavati,Thai
13763,bhaginicitta,SN 35.127
13765,bhaginimattī,SN 35.127
13876,bhaṇanta 2,DHP 264
13879,bhaṇāpetvāna,Thai
13873,bhaṇāmase,Thai
13903,bhaṇḍati,TH 257
14372,bhayaṭṭa,SN 22.80
14371,bhayato,SN 12.66
14351,bhayānaka,SN 56.42
14045,bhasmapuṭa 1,AN 4.244
14046,bhasmapuṭa 2,AN 4.244
14223,bhavantaṃ,VIN 1.0
14227,bhavanto,DN 23.5
14251,bhavasāta,NIDD1 2
13775,bhāgya,Thai
14369,bhāyati 2,DHP 129
13982,bhārasutta,Thai
14185,bhāvanāmaya,VIBH 6.1
14493,bhikkhugaṇanā,PAT PK
14507,bhikkhunisaṅgha,VIN 3.3.6
14582,bhiṅkāra,VIN 4.1.13
14586,bhinnaka 1,Thai
14740,bhujaga,Trad
31757,macchamaṃsa,VIN 4.6.178
32588,majjhatta 2,Trad
32616,majjhimapaṭipadā,SN 56.11
33144,mañjiṭṭha,SN 46.55
33179,maññati 1,AN 7.23
33022,maṇḍapeyya,SN 12.22
33637,mattā 2,TH 257
33680,mattika,VIN 1.1.1
31882,madhuragga 2,SN 47.8
32935,manasikaritvā,MN 107
32788,mamaccayena,DN 16.36
32792,mamaṃ 2,Trad
33451,maraṇapariyosāna,DHPa 2.13.7
33501,mari,Thai
33515,maritabba,DHPa 2.13.7
32242,mahaṇṇava,Thai
32415,mahattamabhikaṅkhatā,SN 6.2
32179,mahallikā 1,MN 28
32265,mahāpajāpati,AN 8.53
32020,mahābandhana,SN 4.5
32483,mahāya,AN 8.54
31917,māgasira,Sri Lanka
31996,māgha 2,Sri Lanka
33594,mātaraṃ,DHP 294
71041,mātāpitūpaṭṭhāna,SNP 16
33700,mātucitta,SN 35.127
33726,mātumattī,SN 35.127
33326,mānusiya,SNP 13
33756,māyaṃ vidaṃseti,SN 22.95
33750,māyākārantevāsī,SN 22.95
33424,mārāmisa,NIDD1 2
32732,mālavant,Trad
31732,mā ahosi,SN 22.59
71039,mā pamādattha,MN 19
33970,micchatta 2,DS 1
34058,mīḷhapabbata,AN 5.196
34308,mucci 2,Thai
34657,muṭṭhasacca,AN 10.76
34564,muninda,Trad
34582,musala 2,VIN 1.1.3
33871,mettacittena,AN 5.198
33880,mettāpāramī,Sri Lanka
34251,momūha,SN 35.235
34278,mosalla,AN 4.244
69576,yaṅkiñci,SN 22.59
69764,yathāpaññatta,AN 7.23
69800,yathāsanthatikaṅga,NIDD1.3
71821,yānī 2,AN 11.15
69945,yāyaṃ 2,SN 56.11
69999,yeva,KHP 9
70013,yobbañña,NIDD1 2
48387,rakkhasa,TH 257
48395,rakkhetha,DHP 36
48367,rajopatha,MN 27
48338,rajjana,UDa 1.10
48665,raṭṭhapāla,MN 82
48667,raṭṭhapālattheragāthā,Thai
48576,ratanattaya,VIN-a 1
48622,rathikāya rathikaṃ,AN 4.244
48428,ramaṇīya 2,DHP 099
48516,rasapathavī,DN 27.3
48520,rasappaṭisaṃvedī,SN 35.70
48521,rasarāga,SN 35.70
48523,rasarāgappaṭisaṃvedī,SN 35.70
48712,ravi 2.1,Sri Lanka
48170,rājā,DHP 329
48180,rājābhinīta,SN 22.80
48372,rājūhi,Sri Lanka
48066,rādha,SN 22.7
48913,rukkhamūlikaṅga,MIL 5.4.2
48932,rumhaniya,MN 70
48992,rūpakkhandha,DN 33.8
49027,rūpappaṭisaṃvedī,SN 35.70
48996,rūpamaya,SN 35.228
49032,rūparāgappaṭisaṃvedī,SN 35.70
48942,rūpā,SN 35.95
49086,rūpāvacara,VIBH 6.1
49129,rūpūpādānakkhandha,MN 44
48796,rohitassa,AN 4.45
31006,lābhasakkārasilokapaṭisaṃyutta,NIDD2 2.8
31015,lābhena lābhaṃ nijigiṃsanatā,MN 117
31170,lālappa,Abhi Vibh 4.1.1
31171,lālappanā,Abhi Vibh 4.1.1
31172,lālappitatta,Abhi Vibh 4.1.1
31676,luddha 2,TH 251
31542,lokapāla,Trad
31524,lokāmisādhimutta,MN 105
31628,lomaṃ pāteti,MN 65
55266,saūmi,SN 35.228
50331,sakkatvā,MJG
49866,sagāha 2,SN 35.228
49910,saggasaṃvattanika,AN 4.61
53540,saṅkaḍḍhati,TH 257
53545,saṅkama,MN 65
53562,saṅkampi,SN 56.11
53787,saṅkiliṭṭha,SN 2.8
53783,saṅkilesika,Abhi Dhs 1
53661,saṅkhārakkhandha,DN 33.8
53359,saṅghakaraṇīya,AN 7.23
53438,saṅghuposatha,PAT PK
49585,sacittapariyodapanā,DHP 183
49530,saccapāramī,Sri Lanka
53490,sañjagghati,AN 7.50
53505,sañjaneti,NIDD1 2
53848,saññākkhandha,DN 33.8
53914,saññāvedayita,MN 43
54009,saññita,Thai
54032,saññoga,VIN 1.2.1
54943,satipārisuddhi,DN 22.18
55108,sattati,UD 78
55111,sattatiṃsati,Sri Lanka
55063,sattannaṃ 1,AN 4.67
54989,sattabojjhaṅgā,MN 118
55081,sattarasa 1,Sri Lanka
55133,sattavīsati,Sri Lanka
55151,satthaka 1,AN 8.74
49594,sad,MN 27
49849,sadosa 2.1,SNa 35.228
