id,pali_1,sutta_1
6425,anokamāgamma,paṇḍitavaggo
6403,anodhi 2,atammayasuttaṃ
6492,antagaṇṭhi,seṭṭhiputtavatthu
6593,antarāyeva,rohitassasuttaṃ
6197,annā,gaṇakamoggallānasuttaṃ
7957,anventa,pārāpariya-thera-gāthā
8172,apakassa 2,candūpamasuttaṃ
8038,apaciyati,paramāya pūjāyañca paṇidhiñca
8131,apajaha,licchavikumārakasuttaṃ
8318,apaññatta 1,satta aparihāniya-dhammā
8618,apaṭisevanta,sabbāsavasuttaṃ
8306,apaṇṇakaṃ,raṭṭhapāla-thera-gāthā
8631,apattamānasa,gaṇakamoggallānasuttaṃ
73079,apatta 2,gaṇakamoggallānasuttaṃ
8702,apayanta,jaya-maṅgala-aṭṭha-gāthā
8447,aparihāniya,satta aparihāniya-dhammā
8669,apāṭuka,pārāpariya-thera-gāthā
8047,apādaka 2,ahirājasuttaṃ
8348,apāra 2,brāhmaṇavaggo
9247,aputhujjanasevita,dhammaṭṭhavaggo
8749,apetaviññāṇa,cittavaggo
9065,appaṭikūlasaññī,indriyabhāvanāsuttaṃ
9042,appaṭigha 1,tikamātikā
9156,appāya,dīghajāṇusuttaṃ
61,abbahe,pakiṇṇaka-gāthā<br/>cūḷavaggo 10
1320,abyositatta,raṭṭhapāla-thera-gāthā
537,abhikkantadassāvī,mogharāja māṇava pucchā<br/>pārāyana vaggo 15
505,abhijjhitar,cundasuttaṃ
1091,abhitthavati,gaggarāsuttaṃ
1096,abhitthuti,preliminary homage
685,abhinikkhamana,buddha-vassa-sajjhāyanā
825,abhipīḷita,bojjh'aṅga-parittaṃ
850,abhipūjaneyyaka,salutation to the triple gem
851,abhipūjayati,dedication of offerings
1192,abhiyujjhita,jaya-maṅgala-aṭṭha-gāthā
1007,abhisaṅkharaṇa,cetanālakkhaṇa pañho
1234,abhyati,salutation to the triple gem
4655,amatadhātu,mahāmālukyasuttaṃ
4629,amara 2,hemaka māṇava pucchā niddeso
4761,ambilagga,sūdasuttaṃ
12862,ayamahamasmi,samanupassanāsuttaṃ
12855,ayaṃ tattha samayo,aññātakaviññatti sikkhāpada
13007,ayosalākā,ādittapariyāyasuttaṃ
9475,araṇī,mahāsaccakasuttaṃ
9769,arūpāvacara,suttantabhājanīyaṃ
4339,alattaka,raṭṭhapālattheragāthā
4340,alattakakata,raṭṭhapālattheragāthā
4416,alippamāna,mahāsupinasuttaṃ
4365,aleṇa,guhaṭṭhakasuttaniddeso
10132,asaṅkiliṭṭha,tikamātikā
10143,asaṅkuppa,bhadd'eka-ratta
10144,asaññā,paṭicca samuppāda
10184,asantaṃ,nīvaraṇapabbaṃ
10178,asanta 1.2,maccharisuttaṃ
9950,asamapekkhita,paṭhamasamuddasuttaṃ vaṇṇanā
9981,asaṃkilesika,"mātikā, tikamātikā"
9976,asaṃhira,bhaddekarattasuttaṃ
10760,asukha,vedanānupassanā
