id,pali_1,source_2
24884,īsī,AN 4.198
61579,uggacchanta,AN 6.62
61618,uggamana 1,SN 20.8
61572,ugga 1,SN 35.238
61071,ucchādana 1,AN 7.50
61742,ujjalana,PAT PK
64041,uṭṭhāna 1,MN 65
64108,utukkhāna,PAT PK
63994,uttariṃ 1,MN 107
63880,uttāna 1,SN 12.22
63881,uttāna 2,TH 257
61293,udarāvadehakaṃ,TH 257
61507,uddisitvā 2.1,DN 23.5
61372,uddesa 3,VIN PAT SA 6
61375,uddesa 6,VIN PAT PC 70
61420,uddhambhāgiya,DN 33.8
61412,uddhaṃ adho tiriyaṃ,MN 40
62588,upakappati,KHP 7
62590,upakāra 1,Trad
62619,upakkamati 1,AN 8.74
63210,upaṭṭhāna 1,SNP 16
62400,upaḍḍha 1,AN 8.73
62396,upaddava 1,Thai
62455,upadhiviveka,NIDD1 2
62888,upapajjamāna,AN 6.63
71113,upapajjeyya,SN 42.6
62910,upaparikkhitabba,SN 22.43
63338,upaya 2,SN 22.4
62940,uparati,MN 2.4
62942,upari 1,VIN PAT PC 18
63289,upavajjakula,SN 35.87
63287,upavajja 1,SN 35.87
63275,upavāda,SN 1.33
63321,upavicāra 1,SN 36.22
62272,upa 1,SNP 13
63391,upekkhāpāramī,Sri Lanka
63450,uposathakamma,PAT PK
63449,uposathagga,PAT PK
63439,uposatha 1,PAT PK
71116,uppajjeyya,SN 55.23
63601,uppatita 2,DHP 222
63610,uppatti 1,SNa 35.228
63588,uppāṭetvā 1,VIN 4.8.206
60853,ubbandhitvā,VVa 1.3.5
60944,ubhatobhāga,MN 70
60989,ubhayattha 2,SN 12.22
63668,urunda,DN 21.3
63737,ussahati 1.1,MN 95
63732,ussāha,AN 8.74
63803,ussuka,TH 257
21642,ekatta 2,SN 2.8
21464,ekampi,MN 4
21579,ekaratta,MN 131
21471,ekaṃsabyākaraṇīya,AN 4.42
21312,eka 4,KHP 9
21367,ekādasama,Sri Lanka
21599,ekāsana 3,MN 65
21603,ekāsanika,MIL 5.4.2
21415,ekāhamata,AN 3.36
21712,ekissā,SN 12.63
21731,ekūna,Sri Lanka
21734,ekūnapaññāsā,Sri Lanka
21726,ekodiṃ karoti,SN 40.1
21885,etadattha,MN 30
36705,nidāna 3,SN 1.13
21901,etamatthaṃ 1,MN 18
21921,etasmā 1,SN 22.85
21830,esāhaṃ,MN 107
22132,evarūpī,MN 107
22093,evaṃsamācāra,SN 35.247
22000,evaṃ sante,MN 152
38705,okāsa 2,Trad
38592,ogha 2,TH 262
38679,ojavant 1,MN 70
39220,ottappati 1,AN 7.67
39224,ottappiya,AN 7.6
39215,ottāpī,ITI 111
38486,odahati 1,MN 70
38553,odhi,AN 6.104
38861,omaka 1,Thai
39006,ora 1,AN 7.24
38836,olokana,VIN 1.2.6
39078,osadha,MJG
38653,ohita 1,AN 6.55
27298,kaṅkala,MN 54.2
26228,kacca,VIN PAT SK 27
26230,kaccāna,SN 12.15
26261,kacci nu kho,AN 10.48
26244,kacchamāna,AN 5.157
28003,kaṭaggaha,MN 129
27994,kaṭacchu,TH 257
28006,kaṭāha 1,MN 10.8
28361,kaṭuka 2,THI 73
28116,kaṭhalā 2,SN 55.21
28206,kaṭhina 1,VIN PAT NP 2
27405,kaṇṭakaṭṭhāna,TH 257
27238,kaṇha 1,DHP 087
28090,katatta,PAT PK
28091,katattā,PAT PK
27976,kata 1,MN 19
28280,kattabbatā,VIN PAT PK
28282,kattar 1,AN 4.61
28339,kattikā 1,VISM 2.20
28355,kattuṃ,MN 61
28399,katvāna 1,TH 257
28398,katvā 2,AN 5.140
28107,kathā 2,SNP 47
26267,kad,kaccāyana
26297,kaddama 1,DHP 095
27419,kantāraddhānamagga,MN 39
27460,kapalla 1,AN 3.101
27512,kappa 1.6,SNP 16
27012,kammappatta,PAT PK
27024,kammāraputta,AN 10.176
27021,kammārāmatā,AN 8.79
27083,kammī,DHP 126
27668,karaṇa 5,VIN PAT PK
27793,karitvā 1,VIN PAT PC 42
27772,kareyya 1,UD 69
26470,kalala,SN 46.55
26486,kalaṃ nāgghati soḷasiṃ,SN 11.15
27869,kasaṭa 2,MN 40
27873,kasāva 1,DHP 010
27927,kasira 1,AN 8.54
27928,kasira 2,AN 7.67
27956,kassapa 1,SN 19.21
28406,kavāṭa,VIN 4.1.49
27113,kaṃsakūṭa,MN 51
27982,kātabba 1,PAT PK
26773,kāmaguṇa 2,TH 251
26829,kāmapipāsā,MN 36
26806,kāmamucchā,MN 36
26854,kāmasneha,MN 36
26798,kāmaṃ 1,DHP 326
26740,kāma 4,SNP 47
28530,kāyasaṅkhāra 2,VIBH 6.1
27642,kāraka 2,DHP 154
27643,kāraka 3,VIN PAT SK 46
27670,kāraṇa 2,SNa 35.228
27616,kāra 1,SN 46.3
27617,kāra 2,DHP 153
27730,kārāpetvā 2,VIN 1.1.1
27762,kāretabba 2,VIN PAT PC 73
26490,kālamakāsi,VIN 1.1.3
26412,kāla 2.1,MN 107
27853,kāsa 1.1,SN 22.93
29455,kikī 1,DN-a 1.2
29735,kiñci 2,SNP 13
29874,kitti,AN 5.32
29793,kira 1,SN 10.8
29835,kismiñcideva,SN 47.10
29831,kismiṃ 1,SN 22.2
29837,kissa 1,UD 69
29666,kiṃlakkhaṇa,MIL 2.3.12
29573,kiṃ 2,UD 69
29574,kiṃ 3,THI 73
29887,kīva,AN 7.23
29562,kīḷita 1,AN 7.50
30376,kukkuṭa,AN 2.9
30394,kukkuṭasūkarā,MN 51
30398,kukkuṭī,SN 22.101
30244,kucchi 2,Sri Lanka
30932,kuṭumbika,DHPa 1.5.11
30273,kuḍḍa,SN 12.63
30626,kuṇḍala 1,TH 251
30490,kumāra 2,DN 14.4
30405,kula 2,VIN PAT SA 13
30472,kulla 1,MN 22
30749,kusalamūla,AN 3.70
30936,kuvaṃ,SNP 54
30301,kuhanā,AN 4.25
30816,kūṭa 1,MN 51
28592,kecime,SNP 58
29925,koci 2,DHP 143
29950,kodhasāmanta,AN 10.176
30061,kopīna,TH 257
30078,kosa 4,VIN PAT PC 19
30954,ky,SN 7.15
28743,khagga 1,Trad
28769,khajjati 1,VIN 1.4.2.4
28871,khaṇḍa 1,SN 35.87
28966,khantī,SNP 16
28825,khama 2,AN 5.29
29021,khārika 1.1,SN 47.8
29391,khura 1,SN 35.235
71031,khemaka 2,API 36
29332,kho pana,DN 16.36
22358,gaja,Trad
22573,gaṇana 1,AN 4.190
22773,gaṇikā,TH 257
22802,gaṇṭhi 1,VIN 4.8.206
22602,gaṇḍamūla,SN 35.103
22895,gata 4,TH 257
71837,gantabba 4,AN 4.180
22145,gabbha 3,VIN 1.4.1.2
22456,gamanāya,MN 22
22510,gambhīrapañña,SNP 13
22542,gamma 1,SN 56.11
71006,garu 5,AN 7.23
22950,gava,MN 51
22964,gavassa,MN 51
22231,gaha 1,DHP 326
22232,gaha 2,MN 27
22329,gahetvā 5,SN 35.247
22466,gāmanigamarājadhānī,DN 26.9
73798,gāvo 2,AN 3.71
22335,gāhī 1,MN 107
22397,gāḷha 2,AN 4.244
23390,gimhāna,SNP 13
23382,gilati,SN 17.2
23710,guṇavant 1,Trad
23679,gumba 1,MN 39
23740,gūthagata 1,SN 22.80
23641,gū 2,MN 39
23035,gelañña,Thai
23551,gopānasī,AN 3.36
23152,ghātaka,Thai
23147,ghāta 1,DHP 164
23269,ghosita,TH 257
15714,cakkhuppāda,MN 75
15699,cakkhumant 2,DN 3.15
15685,cakkhu 4,SN 56.11
15824,caṇḍāla 1,AN 9.11
16100,catubbidha,MNa 1.1.10
16030,caritvā 2.1,MN 129
15593,ca 2,DHP 5
16200,cātummahārājika 1,SN 56.11
15945,cāra 1.1,DN 22.18
15998,cārī 2.1,SNP 54
17088,ci,MN 39
17118,ciṇṇa 1,VIN PAT SA
17288,cittamidaṃ,DHP 040
17351,cittavipallāsa,AN 4.49
17232,citta 2.1,TH 251
17236,citta 2.3,SN 22.100
17239,citta 2.6,VISM 2.20
17127,cintā,TH 257
17173,cirapabbajita,AN 7.23
17157,cīra,UD 10
17627,cuṇṇaka,MN 10.8
17518,cuddasa 1,Sri Lanka
17615,cunda 1,AN 10.176
16521,cetayitvā,MIL 2.3.11
16492,cetarahi,SN 6.2
16522,cete,MN 95
16559,cetoparivitakka,SN 22.80
16598,cevettha,SN 35.238
16437,ce 2,DHP 106
17473,codiyamāna,AN 8.14
17465,codetuṃ,AN 10.44
17491,coraghāta,DN 23.5
16627,chada 1,MN 91
16919,chava 3,SN 22.80
16602,cha bāhirāni āyatanāni,MN 137
16869,chāta,THI 73
16937,chāyā 1,DHP 002
16994,chidda 2,AN 9.11
17045,chinna 5,SNP 53
16970,chejja 1,AN 4.244
16953,chedana,Trad
25139,jacca,MN 75
25327,janakāya,Trad
25362,janapadavitakka,NIDD2 2.8
25514,jara 1,SN 16.3
25188,jahati 2,MN 43
25181,jahanta,SN 22.95
25603,jātarūparajatapaṭiggahaṇa,MN 51
25767,jāyetha,MN 95
26125,jīyati 2.1,MN 129
26077,jīvikattha,TH 257
26073,jīvikā,AN 10.48
26088,jīvitamada,AN 5.57
26087,jīvitaṃ kappeti,DN 22.18
26072,jīvī 2,DHP 024
26174,juṇha,VIN 4.1.12
26183,juti,Trad
25795,jeṭṭha 1,SN 7.15
25823,jhāna 1,MN 107
35839,ñātibyasana,VIBH 4.1.1
35912,ñātivitakka,NIDD2 2.8
60618,ṭṭha,AN 8.30
59815,ṭhapetvā 3,VIN 5.4.7
59728,ṭhānaṃ vijjati,AN 10.60
59744,ṭhānāṭhāna 2,ANa 3.68
59766,ṭhāniya 1,AN 8.2
59948,ṭhita 3,PAT PK
59980,ṭhitika 1,DN 16.21
18407,ḍayhamāna 1,SN 1.21
58419,tajja 2,AN 6.63
58737,taṇhāsaṅkhayavimutta,SN 22.4
59283,tato tato 1,VV 52
59270,tato 1,MN 62
59275,tato 6,VIN PAT PA 4
59299,tatra tatra 1,MN 2.2
58276,tad,DN 16.21
58306,tadajjahaṃ,DHP 326
58340,tadanvaya,SN 22.102
58896,tappati 2.1,DHP 017
58602,tammaya,SNP 47
59412,taya,MJG
58964,taru,Thai
59013,tasmiṃ 2,MN 105
59043,tassapi,MN 105
58535,taṃ kiṃ maññatha,SN 22.59
58537,taṃ kutettha labbhā,DN 16.21
58388,tādisikā,VIN PAT SA 13
59423,tāyanagāthā,Thai
59421,tāyana 1,Thai
58521,tāḷī,MN 36
58224,tā 1.2,SN 47.10
60166,tikkha 2,AN 8.73
60516,tiṭṭhaṃ,KHP 9
60553,titti 1,TH 251
60554,titti 2,VIN PAT SK 30
60104,tibbasārāga,SN 22.80
60357,tiracchāna 1,VIN PAT PA 1
60415,tiro,AN 5.23
60312,tīṇi duccaritāni,AN 10.61
60124,tīhamata,AN 3.36
60705,tumhaṃ 2,DN 1.1
60702,tumhākaṃ 3,SN 22.33
60707,tumhe 2,VIN 5.1.1
60670,tuleti,MN 70
60764,tusita 1,Sri Lanka
60794,tuvaṭaṃ,MN 152
59459,tecīvarika 1,NIDD 1.3
59469,teja 2,SN 35.238
59502,tejodhātu,MN 10.7
59620,tesañca,PAT PK
59621,tesaññeva,PAT PK
59636,tevijjaka,DN 3.13
60826,tyassa,SN 7.15
60824,tyāhaṃ 3,AN 4.35
59678,thalaṭṭha,AN 4.244
59916,thina 1,MN 107
60025,thulla,SN 22.95
17820,dakkhuṃ,AN 4.49
18360,daṭṭhu,AN 5.57
18154,dasadhā,SN 35.246
18191,dasama 1,Sri Lanka
18272,dassana 2,SNP 16
18287,dassanāya 2,AN 4.190
18388,davāya,MN 39
17656,da 2.1,AN 5.37
18084,dāra,SNP 16
18123,dārukkhandha,SN 35.241
18109,dārucīriya,UD 10
18152,dāsabya,MN 39
18252,dāsidāsa,MN 51
19709,diṭṭhasuta,SNP 40
19773,diṭṭhisampanna,MN 48
19497,dīghaṃ,DN 22.2
19602,dīpaṅkara,Sri Lanka
19585,dīpa 2.1,DN 26.9
20176,dukkhadomanassa,SN 12.2
20206,dukkhanirodhagāminīpaṭipadā,VIN 1.0
20205,dukkhanirodhagāminī paṭipadā ariyasaccaṃ,SN 56.11
20197,dukkhamidaṃ,DHP 338
20248,dukkhasaññā,AN 10.237
20244,dukkhasamudayaṃ ariyasaccaṃ,SN 56.11
20159,dukkha 1,SN 22.59
20160,dukkha 2,MN 74
20162,dukkha 4,DN 22.18
20079,duggahita 1,VIN 1.1.3
21009,duttara,SN 35.228
19984,dubbalī,AN 5.51
20010,dubbharatā,AN 8.53
20424,durāgata,MN 2.5
20463,durutta 1,MN 2.5
20553,dūteyya,MN 51
20433,dūraṃ,DHP 37
18640,deyya 1,DN 2.14
18435,desanā 1,MN 139
18474,desita 2,VIN PAT PK
18482,dessa,Ja 547
18563,devānubhāva,DN 21.3
21129,dvattiṃsā,Thai
21148,dvayaṃdvayasamāpatti,AN 7.50
21066,dvādasama,Sri Lanka
21219,dvīhamata,AN 3.36
18708,dhammacārī 1,TH 195
18910,dhammasākacchā,SNP 16
