headword	dpd_pos	meanings
abhirūhaṇa	adj	ascending; embarking
abhirūpacchavi	adj	of dazzling beauty; f.
abhirūpaka	adj	repeated in sense of contempt
abhirūpatā	adj	beauty; grace
abhirūpava	adj	abhi-rūpa
abhisaddahana	nt	verbal noun of prec
abhisajjanī	adj. f.	fastening in; offending
abhisallikhati	pr	to put stress upon
abhisama	adj	next
abhisamayahetu	adj	the conditions of
abhisamayantarāyakara	adj	preventing
abhisamayaṭṭha	adj	the sense of
abhisamayānurūpa	adj	corresponding to one's own
abhisambandhati	adj	to connect; combine
abhisambhuṇana	nt	verbal noun of prec
abhisambodhisamaya	adj	the time of
abhisambuddhakāla	adj	the time of (after); the Buddha's abhi-sambodhi
abhisambujjhana	nt	the arriving to the highest enlightenment
abhisambujjhanaka	adj	sambodhiparāyano
abhisametabba	adj
abhisametar	masc	one who is able to understand; pl.
abhisamikkhati	pr	to see; descry
abhisammata	pp	approved, honoured
abhisammatta	adj	infatuated by love to her
abhisampanna	ind	perfect; accomplished; complete
abhisampatta	pp	who has attained
abhisamācārikadhammapūraṇa	adj	fulfilling the
abhisamācārikavatta	adj	moral practice or duty; acc.
abhisandhāna	adj	verbal noun of abhi-sandahati
abhisapatha	adj	curse
abhisapeti	pr	see
abhisappeti	pr	to sit near
abhisara	adj	companion; retinue
abhisarana	nt	going to meeting
abhisaraṇatā	adj	the going to
abhisasi	aor	see abhi-saṁsati
abhisattha	adj	ordered directed bidden (by some power)
abhisattika	adj	having intimacy with; attached to
abhisava	adj	pressing out
abhisavana	nt	oozing; trickling
abhisavati	pr	approach
abhisañcināti	pr	to pile up, over; to cover
abhisaññūhati	pr	collect; comprise; sum up; abs
abhisaṅgi	adj	cleaving to; taking offence
abhisekachaṇavatthu	adj	the place of the inauguration-ceremony
abhisekada	adj	carrying out the consecration
abhisekagahaṇa	adj	obtaining inauguration
abhisekageha	adj	inauguration-hall
abhisekakicca	adj	prec.
abhisekamaṅgala	adj	festivity; ceremony of inauguration
abhisekaparihāra	adj	abhisekôpakarana
abhisekaudaka	adj	water for inauguration
abhisekodaka	adj	above
abhisekāraha	adj	worthy; of inauguration
abhisiñceti	pr	bind; tie; fasten
abhissara	adj
abhissaraṇa	adj
abhissavana	nt	sense of
abhisupīḷita	adj	well-pleased; satisfied
abhisuta	adj	vinegar
abhisuṇoti	pr	to press out; resp. to listen
abhisuṇāti	pr	to press out; to listen
abhisādheti	pr	to carry out; achieve; procure
abhisāpana	nt	taking the oath at a law-court
abhisāpita	pp	approached; having approached
abhisāreti	verb	to upbraid, reproach
abhisāriyā	adj	a woman who goes to a rendez‑vous
abhisīsi	pr	sat
abhitakkayati	pr	intend; try to find; absolute
abhitappayati	adj	to satisfy; thoroughly
abhithomayati	pr	terrible; frightening
abhittarayati	part.	incite; exhort
abhitthanati	adj	pervade; fill
abhittharayati	adj	incite; exhort
abhitthava	adj	praise; eulogy
abhitthavanā	adj	prec;
abhitthavīyati	part. m.	to be praised
abhitthunāti	pr	reach; obtain
abhiuggacchati	pr	to attain; to reach; to overtake
abhiuyyāti	pr	to place upon; to apply
abhivajjita	pp	free from
abhivana	pp	very desiring; pl.
abhivandanā	adj	prec;
abhivasseti	pr	to cause to go towards
abhivassāpeti	pr	to cause; to rain
abhivañcana	nt	deceit, fraud
abhivaḍḍhaka	adj	causing increase; pl.
abhivaḍḍheti	adj	to cause to increase
abhivedeti	verb	to have knowledge about; to care about; to inform about and show
abhivihata	pp	befallen; overwhelmed
abhivijeti	pr	to vanquish; win; conquer; overcome
abhivijjotate	pr	to shine over
abhivirājeti	pr	to cause to get completely rid of desire; abs.
abhivisate	pr	to penetrate into
abhiviññāpanā	adj	verbal noun of next
abhivndati	verb	find; get; obtain
abhivuddha	adj	prec
abhivuḍḍha	adj	grown up
abhivyatta	pp	manifest; evident
abhivyañjaka	adj	manifesting; showing
abhivyañjeti	pr	to make manifest or distinct
abhivyāharīyati	pr	to be spoken or addressed
abhivyāhata	pp	spoken; addressed
abhivāda	masc	praise; eulogy
abhivādaka	adj	humiliating; rude
abhivādiya	abs	having saluted respectfully
abhivāheti	pr	to remove, put away
abhivākya	adj	humiliating speech; mean words
abhivāna	pp
abhivāreti	pr	to keep off; hold back
abhiyogi	adj	intent on; practised; skilled
abhiyujjhati	pr	apply
abhiyuñjaka	adj	plaintiff
abhiññappatta	pp	that has attained to
abhiññatṭha	adj	useful; indispensable
abhiññaṭṭha	adj	the sense of
abhiññābala	adj	the power of the
abhiññācakkhu	adj	the fifth of the five abhiññā
abhiññācetanā	adj	intention; volition
abhiññācitta	pp	produced by that
abhiññādvaya	adj	the twofold
abhiññāhadaya	adj
abhiññājavana	nt	alertness or full perception
abhiññākathā	adj	discourse on
abhiññākusala	adj	the moral consciousness belonging to super-intellection
abhiññālābhi	adj	possessed of the super-natural faculties
abhiññāmānasa	adj	the mind intent on
abhiññānisamsa	adj	bringing higher knowledge as reward
abhiññāpadaṭṭhāna	adj	the proximate cause of higher knowledge
abhiññāpaññatti	adj	intuitive knowledge of all dharmas
abhiññāpaññā	adj	intuitive knowledge
abhiññāpāragū	adj	who has attained perfection through the abhiññās
abhiññāpāripūrī	adj	prec; acc
abhiññāsamāpattilābhi	adj	possessed of the abhiññās and of the samāpattis
abhiññāvasibhāvita	pp	who has developed; mastery of the
abhiññāñāṇa	adj	knowledge by; instrument; gen.pl.
abhiāgata	adj	abbhāgata
pr. 3 sg.; part. m.	1. heap up; gather; accumulate 1. being very hungry
abhiṇhakāraṇā	adj	continuous training
abhiṇhasamaggavāsa	adj	the often being together
abhiṇhovāda	adj	the constant admonition
abhiṭṭhāya	abs	having stood by or near
abhuttāvi	adj	who has not eaten; who has not enjoyed sensual pleasures
abhyāgata	adj	guest; visitor
abhyāsa	adj	1. repetition; multiplication; sense of √guṇ<sup>1</sup> 2. near
abhyāvaharaṇa	adj	eating; sense of √bhuj<sup>1</sup>
abhyūpagama	adj	agreement; promise
abhāvadhamma	adj	liable to destruction; perishable
abhāvakaraṇa	adj	destruction; removal; causing cessation
abhāvi	adj	what must perish (die); sexless
abhīka	adj	a husband
abhīra	adj	a cowherd
abhīsu	masc	colour; bridle; affection; a finger
abrahmacāri	adj	not leading a life of chastity; m. ~ī brahmacāri-paṭiñño
abravī	aor	NOT_FOUND |
abuddhima	adj	unwise; foolish
acalabuddhi	adj	preserving the equilibrium of his mind
acaladhiti	adj	name of the metre ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ ˇ Vutt 37
acalapatta	pp	who has reached the state of firmness; not anointed and confirmed (?)
acalappasāda	adj	the serenity of firmness (of mind)
acalasabhāva	adj	firm by nature
accana	nt	praising; worshipping
accapala	adj	not unsteady; not fickle; firm; steady
accati	sg.	to honour; to praise; to worship
accayapaṭiggahana	nt	pardon; absolution
accaṅgula	adj	more than one inch
acchakañjī	adj	clarified gruel
acchalākhārasavaṇṇa	adj	with the colour of pure liquid lac
acchambhi	adj	fearless
acchaphandanā	masc	the bear and the phandana-tree
accharagahaṇamatta	pp	so much as may be taken by the fingertips
accharasadda	adj	the smack produced by snapping the fingers
acchariyagāmi	adj	the path which leads to the wonderful
acchariyajātika	adj	extraordinary; wonderful
acchariyarūpa	adj	wonderful; miraculous
accharāgahaṇamatta	pp	so much as may be taken by the fingertips
accharāghāta	adj	a snap with the fingers
accharāsamgaṇa	adj	group of Apsarases (celestial nymphs)
accharāsarhghāta	adj	a snap with the fingers; a little moment
accharāyogga	adj	worthy of acccharā (e)
accharūpama	adj	like a celestial nymph
acchedana	nt	robbing; plundering
acchedasarhki	adj	in fear of being robbed
accheratara	adj	more wonderful; still more wonderful; more surprising
acchiddaka	adj	unbroken; uninterrupted
acchiddakāri	adj	doing something perfectly (i. e. without break or defects)
acchiddapāṭhaka	adj	a counter (of numbers) in unbroken series
acchiddavacana	pp	of reliable speech
acchijjati	ind	to be robbed
acchinnaraṭṭha	adj	who is deprived of his kingdom
acchinnasadda	adj	the noise made of one who has been (or pretends to have been) robbed
acchiva	adj	a certain kind of tree
acchodika	adj	= acchḍdaka
acchupīyati	pr	to be inserted
acchādāpeti	pr	to let somebody put on (clothes)
acchāpeti	pr	get seated
accibaddha	adj	ray-bound; divided into stripes
accijālā	adj	blazing flame
accima	adj	shining; blazing; fire
accimāli	adj	with garlands of flames
accisamgha	adj	mass or multitude of flames
acciva	adj	see acchiva
accivega	adj	with the violence of flames; pervading 100 yojanas
accodara	adj	a still greater belly; a super-belly
accuddhumāta	pp	self-conceited
acculāra	adj	very imposing
accunha	adj	too warm; too hot
accunnatimāna	prp	too high self-conceit
accupati	aor	to fly near by
accutavāda	adj	maintaining the view of Nibbāna
accādara	adj	great care
accāhita	pp	excessive; excessively bad
accāsarati	pr	to go too far; to pass beyond legitimate bounds
accāsarā	adj	falsification; deceit
accī	fem	flame
accūpasevati	pr	to have too much intercourse with
aciraṭṭhitīka	adj	of no long permanence
part. m.	1. gathering; collecting 1. to let undertake a nearer investigation
acirena	ind	in a short time; before long; soon
acirā	ind	soon; shortly
acittakāya	masc	having a body without intelligence
adamsu	aor	miswriting of apamsu (q.v.)
adanesanā	adj	search for food
adassam	aor. v.	saw; perceived
adassanāya	ind	for non-seeing; to avoid seeing
adassavi	adj	who does not see; not conversing with
adaḷhadiṭṭhi	adj	not dense; not restive; not stubborn; easy to be convinced
addabhāva	adj	abstract from adda; giving the sense of kilot; giving the sense of tim
addana	nt	disturbing; destroying; afflicting; tormenting; giving the sense of the verbal roots
addasiṅgivera	adj	green ginger; undried ginger
addhabhavati	pr	to be on the level of; to be master of; to have the command of; to predominate
pr. 3 sg.; part. m. pl.	1. being very hungry
addhacanda	adj	1. = adḍha-candaka 1. see adḍha-candaka
addhaddhamasa	adj	every half month
addhaga	adj	advanced in years; old; a traveller
addhanakha	adj	hoof
	pr. 3 sg. (caus.)	1. to let undertake a nearer investigation 1. being very hungry
abbujhi	pr	wrong reading for aorist abbuhi; see abbahati
abhavissā	cond.	would be; would have been; conditional of bhavati
abhayappada	adj	giving safety; granting fearlessness
abhidhammanaya	masc	the method of Abhidhamma
abhinibbattimatta	nt	the mere fact of rebirth
	part. m. pl.	1. being very hungry
abhinippajjati	pr	see abhi-nipphajjati
abhippamodayati	pr	please; make glad
abhisamayajāti	fem	a birth in which abhisamaya takes place
abhisamayasadda	adj	the word a°
abhisamekkhati	pr	to look on; behold; consider
abhisametāvi	adj	possessed of understanding
abhisekakarana	nt	consecration
abhisekamaṇḍapa	masc	a pavillion erected at coronation festivals
abhisekatthāna	nt	place of consecration; site of anointing
abhisekita	adj	anointed
abhisekopakarana	nt	things 'needful for consecrating a king'
abhiseti	pr. 3 sg.	to take refuge to (acc.)
	pr. 3 sg.; part. m.	1. 
abbhantaramba	masc	name of a mythical mango tree belonging to the gods and kept in the interior of Himavat
abbhantaravagga	masc	title of Ja II 392-430
abbhasa		
	ind	1. being very hungry
abbhañjanadāyaka	masc	designation of two theras
abbheyya		
abbhocchinna		
abbhokuṭika		
abbhussukkati		
abbhāhatasutta	nt	title of SN I 40,3-7; title of Suttasaṅgaha chapter 38 (Maccunâbbhāhata-°)
abbuḷhana		
abhayagallaka	masc	Npr. of a monastery in Ceylon
abhayagiri	masc	Npr. of a mountain in Ceylon and of a monastery ib., built by Abhaya
abhayagirika	masc	inhabitants of Abhayagiri
abhayamāta	fem	Npr. of a therī, author of Thī 33—34; = Padumavatī, a courtesan in Ujjenī; mother of Abhaya (Bimbisāra); (her) apadāna
abhayanāga	masc	Npr. of a king in Ceylon
abhayapura	nt	Npr. of the capital of king Abhaya (1) in Ojadīpa (Ceylon)
abhayaraja	nt	Npr. of a pariveṇa in the monastery Vanaggāma-pāsāda built by Vijaya-bāhu IV
abhayarajapariveṇa	nt	Npr. of a pariveṇa in the monastery Vanaggāma-pāsāda built by Vijayabāhu IV
abhayattherī	fem	see Abhaya
abhayavāpī	fem	Npr. of a tank in Anurādha-pura
abhayaṃdada	adj	= abhaya-da
