source	abbreviation	meaning	category	notes
cpd	Khp-a	= Pj I.	text	a. Texts.
cpd	Khuddas	Khuddasikkhā,; E; e; : section; (I—L); and verse.	text	a. Texts.; ref=1.3.1
cpd	Khuddas-sn	Kudusika-sannaya,; C; e; .	text	a. Texts.; ref=1.3.1,(6)
cpd	Kkh	Kaṅkhāvitaraṇī (Pāt-a),; C; e; : page; (1—239); and line.	text	a. Texts.; ref=1.1,1
cpd	Kkh-ṭ	Vinayatthamañjūsā, C; e; :; page; (1—296); and line.	text	a. Texts.; ref=1.1,12
cpd	Kv	Kathāvatthu(ppakaraṇa),; E; e; : page; (1—628); and line.	text	a. Texts.; ref=3.5
cpd	Kv(-a)-mṭ	mūlaṭīkā; ad prec, B; e; .	text	a. Texts.; ref=3.5,11
cpd	Kv-a	Kathāvatthu(ppa°)-aṭṭhakathā,; E; e; : page; (1—199); and line.	text	a. Texts.; ref=3.5,1
cpd	Kāraṇḍ	Kāraṇḍavyūha.	text	a. Texts.; ref=7.4.16
cpd	Kāt(-v)	Kātantra; (and; Durga's vṛtti),; N; e; : section; (I—IV), pāda,; and; sūtra.	text	a. Texts.; ref=6.5.3
cpd	Kāvyād	Kāvyādarça, N; e; (1):; section; (I—III); and verse.	text	a. Texts.; ref=6.5.8.2
cpd	Kāç	Kāçikā vṛtti, N; e; (1): adhyāya (I—VIII), pāda; and; sūtra; of; Pāṇ.	text	a. Texts.; ref=6.5.1,2
cpd	Kāçy	Kāçyapaparivarta,; N; e; : page and line.	text	a. Texts.; ref=7.4.14
cpd	Kṣīr	Kṣīrataraṅginī,; E; e; : class-; (I—X); and root-numbers.	text	a. Texts.; ref=6.5.5.1,1
cpd	Lal	Lalitavistara,; N; e; (2):; page; (1—444); and line.	text	a. Texts.; ref=7.4.3
cpd	Laṅkāv	Laṅkāvatāra-sūtra,; N; e; : page; (1—376); and line.	text	a. Texts.; ref=7.4.4
cpd	M	= MN.	text	a. Texts.
cpd	Mahā-bh	Patañjali, (Vyākaraṇa-)Mahābhāṣya,; N; e; (1):; vol.; (I—III),; page and verse.	text	a. Texts.; ref=6.5.1,1
cpd	Maitr-vyāk	Maitreyavyākaraṇa,; E; e; : verse; (25—102).	text	a. Texts.; ref=(under4.4.1)
cpd	Manu	Mānava-dharmaçāstra,; N; e; (1; or; 2):; section; (I—XII); and verse.	text	a. Texts.; ref=6.2.1.1
cpd	Mañjuçr	Ārya-Mañjuçrīmūlakalpa,; N; e; : page; (1—122); and line.	text	a. Texts.; ref=7.4.15
cpd	Maṅkha-k	Maṅkha-koça,; N; e; : verse; (1—1007).	text	a. Texts.; ref=6.5.6.2
cpd	Medinī-k	Medinī-koça,; N; e; :; varga (kântavarga . . . hântavarga + avyayânekārthavarga); and verse.	text	a. Texts.; ref=6.5.6.3
cpd	Mg	= Mogg.	text	a. Texts.
cpd	Mh-karmav	Mahākarmavibhaṅga,; etc, E; e; : page; (21—105, 153—167); and line.	text	a. Texts.; ref=7.2.9.2
cpd	Mhbh	Mahābhārata, Calcutta-Ed.: parvan (I—XVIII); and verse.	text	a. Texts.; ref=6.2.2.1
cpd	Mhbv	Mahābodhivamsa,; E; e; : page; (1—172); and Ime.	text	a. Texts.; ref=4.1.3
cpd	Mhbv-gp	Mahābodhivamça-granthipada-vivaraṇaya,; C; e; : page; (1—148); and line.	text	a. Texts.; ref=4.1.3,(3)
cpd	Mhv	Mahāvamsa,; ind.; Cullavamsa,; E; e; (2):; section; (I—CI); and verse.	text	a. Texts.; ref=4.1.2
cpd	Mhv-ṭ	Mahāvamsa-ṭīkā,; (C; e; , and from; 1935; on) E; e; : page; (1—689); and line.	text	a. Texts.; ref=4.1.2,1
cpd	Mil	Milindapañha,; E; e; : page; (1—420); and line.	text	a. Texts.; ref=2.6
cpd	Mmd	Miikhamattadīpanī,; C; e; :; Kacc's sūtras,; or page; (1—515); and line.	text	a. Texts.; ref=5.1,11
cpd	MN (= M)	Majjhima-Nikāya,; E; e; : vol.; (I—III),; page and line.	text	a. Texts.; ref=2.2
