source	abbreviation	meaning	category	notes
pts	Goth.	Gothic	text	
pts	Gr.	Greek	text	
pts	gram.	grammar, grammatical	other	
pts	Grdsch.	Grundschzift (Grundschrift?)	text	
pts	Grdy.	Grundy's Essays	text	
pts	Grundr.	Grundriss der Indo-Arischen Philologie	text	
pts	Grünwedel	Buddhist Art	other	
pts	Gs.	Guttila-kāvya-saṇṇaya	text	
pts	Hardy	Manual of Buddhism, etc.	other	
pts	Hatth.	Hatthavanagallavihāra-vaṁsa	text	
pts	Heṭṭh.	Heṭṭhā	text	
pts	Hin.	Hinayana	text	
pts	Hist.	History	text	
pts	Hit.	Hitopadesa	text	
pts	Hopf	Hopfner, Über das Katthavatthu	other	
pts	Horn	Hornblower, Notes on the Pali Vinaya	other	
pts	Horner	Book of Discipline	other	
pts	Hpr.	Hypothetical Primary Root	text	
pts	Hrsg.	Herausgegeben (edited)	text	
pts	Ht. Sav.	Hatthavanagalla-vihāra-saṁvaṇṇanā	text	
pts	Hts.	Hatthavanagallavihāra-vaṁsa	text	
pts	Hung.	Hungarian	text	
pts	i. e.	id est, that is	other	
pts	ibid.	ibidem, in the same place	other	
pts	Ic.	Icelandic	text	
pts	id.	idem, the same	other	
pts	IE.	Indo-European	text	
pts	imper.	imperative mood	grammar	
pts	impl.	implication	other	
pts	incl.	including	other	
pts	ind.	indicative mood	grammar	
pts	Ind. Streif.	Indische Streifen	text	
pts	indef.	indefinite	other	
pts	Indo-Aryan	Indo-Aryan	text	
pts	Indo-Germ.	Indo-Germanic	text	
pts	inf.	infinitive	grammar	
pts	Inscr.	Inscription	text	
pts	instr.	instrumental case	grammar	
pts	Introd.	Introduction	text	
pts	Ir.	Irish	text	
pts	irreg.	irregular	other	
pts	It.	Itivuttaka	text	
pts	ItA.	Itivuttaka Aṭṭhakathā (= Paramatthadīpanī II.)	text	
pts	J.	Jātaka (text ed. Fausböll)	text	
pts	J.P.T.S.	Journal of the Pāli Text Society	text	
pts	Jacobi	Ayāranga Sutta, etc.	other	
pts	Jaina	Jaina	other	
pts	JAOS	Journal of the American Oriental Society	text	
pts	Jap.	Japanese	text	
pts	JAS	Journal Asiatique	text	
pts	JAs. Soc. Beng.	Journal of the Asiatic Society of Bengal	text	
pts	Jaug.	Jaugaḍa Inscription	text	
pts	Jav.	Javanese	text	
pts	Jaśp.	Jaśpāṭaliputra	text	
pts	JGerS	Journal of the German Oriental Society	text	
pts	Jina-C.	Jina-caritaṁ (ed. W. H. D. Rouse)	text	
pts	Jinâl.	Jinâlankāra	text	
pts	Jinâlaṅk.	Jinālaṅkāra-vaṇṇanā	text	
pts	JM.	Jātakamālā (ed. Kern)	text	
pts	JRAS.	Journal of the Royal Asiatic Society	text	
pts	jt.	joint	other	
pts	Jāt.	Jātaka	text	
pts	K. S.	Kindred Sayings	text	
pts	Kacc.	Kaccāyana Vyākaraṇa	text	
pts	Kaccāyana	Pali Grammar	other	
pts	Karuṇā-Puṇḍ.	Karuṇā-puṇḍarīka	text	
pts	Kathāv.	Kathāvatthu	text	
pts	Kern	Manual of Indian Buddhism, etc.	other	
pts	Kern, Toev.	Toevoegselen (Addenda to his Sk. Dict.)	text	
pts	Kh.	Khuddaka Nikāya	text	
pts	Khp.	Khuddaka-pāṭha	text	
pts	KhpA.	Khuddaka-pāṭha Aṭṭhakathā (= Paramatthajotikā I.)	text	
pts	Kkvg.	Koka-kālika-vastu	text	
pts	Kl.	Kleine Schriften (Weber)	text	
pts	Km.	Kammavācā	text	
pts	KN.	Kāśikā-Nāṭaka	text	
pts	Kor.	Koran	text	
pts	Kor.	Koranna (Koran)	text	
pts	Korra	Korra-dhamma-jātaka	other	
pts	Kov.	Kovakka-dīpanī	text	
pts	Kp.	Khuddakapāṭha	text	
pts	KS	Kuru Sutta	text	
pts	Ks.	Kāśikā	text	
pts	KSiḍ.	Kāśikā-Siddhānta	text	
pts	Kukkuḷ.	Kukkuḷa-sutta	text	
pts	Kv.	Kathā-vatthu	text	
pts	Kva.	Kathā-vatthu-atthavaṇṇanā	text	
pts	KVy.	Karaṇḍa-vyūha	text	
pts	Kyw.	Kyawaṅg, author of Saddanīti	text	
pts	Kāt.	Kātayana Śrauta Sūtra	text	
pts	Kāv.	Kāvya	text	
pts	L.	Latin	text	
pts	Lat.	Latin	text	
pts	Law	History of Pali Literature, etc.	other	
pts	Laṅk.	Laṅkāvatāra Sūtra	text	
pts	Ledi	Ledi Sadaw (Pali scholar)	other	
pts	Leumann	Aupapātika Sūtra	other	
pts	Levi	Mahāyāna-Sūtrâlaṅkāra, etc.	other	
pts	lex.	lexicographical	other	
pts	Lgg.	Linguistics	text	
pts	lit.	literal(ly)	other	
pts	Lith.	Lithuanian	text	
pts	loc.	locative case	grammar	
pts	Loka-dīp.	Loka-dīpa-sāra	text	
pts	Loka-paññ.	Loka-paññatti	text	
pts	Loka-sam.	Loka-samutti-prakaraṇa	text	
pts	M Vastu.	Mahāvastu	text	
pts	M.	Majjhima Nikāya	text	
pts	m.	masculine gender	grammar	
pts	M. Korn.	Mulaṭṭhakathā (Commentary on Korn.)	text	
pts	M. T.	Mahāvaṁsa Ṭīkā (= Vaṁsatthappakāsinī)	text	
pts	M.S.	Middle School	grammar	
pts	MA.	Majjhima Nikāya Aṭṭhakathā (= Papañcasūdanī)	text	
pts	Mah. Bodhiv.	Mahā Bodhivaṁsa (ed. S. A. Strong)	text	
pts	Mahvs.	Mahāvaṁsa	text	
pts	Mahvy.	Mahāvyutpatti	text	
pts	Mahy.	Mahāyāna	text	
pts	mahā	mahā-vagga	other	
pts	Mahābh.	Mahābhārata	text	
pts	Mahān.	Mahā-niddesa (= Niddesa I.)	text	
pts	Man-dhātuj.	Mandhātu Jātaka	text	
pts	Man. B.	Manual of Buddhism (Hardy)	text	
pts	Mant. Bhāṣ.	Mantra Bhāṣya	text	
pts	manu	manuscript	other	
pts	Mar.	Marathi	text	
pts	Mason	Kachchayano's Grammar	other	
pts	Matk.	Mātika	text	
pts	med.	medial	other	
pts	metri causa	for the sake of the metre	other	
pts	Metteyya-V.	Metteyya-Vaṁsa	text	
pts	Mhbv.	Mahābodhivaṁsa	text	
pts	Mhv.	Mahāvaṁsa	text	
pts	Mhvs.	Mahāvaṁsa	text	
pts	Mhvyut.	Mahāvyutpatti	text	
pts	Mil.	Milindapañha	text	
pts	Miln.	Milindapañha	text	
pts	Minayeff	Pātimokkha, etc.	other	
pts	MIndic	Middle Indic	grammar	
pts	Misc.	Miscellaneous	text	
pts	MK.	Mūla-Kaccāyana	text	
pts	Morris	Articles in J.P.T.S., etc.	other	
pts	MSS.	Manuscripts	text	
pts	Mvy.	Mahāvyutpatti	text	
pts	Mān. Sār.	Māna-sāra (treatise on Architecture)	text	
pts	Mūla-Tr.	Mūla-trayantra (?)	text	
pts	Mṛcch.	Mṛcchakaṭika	text	
pts	N.	Name	text	
pts	N.	Nāma-rūpa-samāsa	text	
pts	n.	neuter gender	grammar	
pts	N. T.	New Testament	text	
pts	N. Ś.	Nyāya-śāstra	text	
pts	N.W.P.	North Western Provinces of India	text	
pts	Naid.	Naidadhātu-vṛtti	text	
pts	Naṅg.	Naṅgalopama-sutta	text	
pts	Nd1	Mahā-Niddesa	other	
pts	Nd2	Cūḷa-Niddesa	other	
pts	neg.	negative	grammar	
pts	Neumann	Reden Gotamo's (Majjhima Nikāya transl.)	other	
pts	neut.	neuter gender	grammar	
pts	Nidd.	Niddesa (Nd1 + Nd2)	text	
pts	Nir.	Niruttidīpanī	text	
pts	Nisbet	Forests of Burma	other	
pts	No.	number	text	
pts	nom.	nominative case	grammar	
pts	Np.	Name of a place	text	
pts	num.	numeral	other	
pts	num. adj.	numeral adjective	grammar	
pts	num. ord.	numeral ordinal	other	
pts	Nyanatiloka	Pali Wörterbuch, etc.	other	
pts	Nyāyab.	Nyāyabindu-ṭīkā	text	
pts	nâma	(used as heading, q. v. sub nāma)	other	
pts	Nām.	Nāmamālā	text	
pts	Nārada	Nārada-thera-apadāna	other	
pts	O.	Oldenberg (Vinaya Piṭaka, etc.)	text	
pts	o. c.	opere citato (in the work quoted)	other	
pts	O. H. G.	Old High German	text	
pts	O. Ir.	Old Irish	text	
pts	O. Slav.	Old Slavonic	text	
pts	obsol.	obsolete	other	
pts	opp.	opposite, opposed to	other	
pts	opt.	optative mood	grammar	
pts	ord.	ordinal number	other	
pts	orig.	original(ly)	other	
pts	p.	page	other	
pts	P. of S.	Psalms of the Sisters	text	
pts	P. T. S.	Pali Text Society	text	
pts	Pa.	Pañca-ppakaraṇa Aṭṭhakathā	text	
pts	Pali	Pali	other	
pts	part.	participle	grammar	
pts	pass.	passive voice	grammar	
pts	Pat.	Paṭisambhidāmagga	text	
pts	Pañc.	Pañca-tantra	text	
pts	Pañcav. Br.	Pañcaviṁśa Brāhmaṇa	text	
pts	Paññāsa	Paññāsa Jātaka	other	
pts	paṭicca-s.	paṭicca-samuppāda	other	
pts	Pbr.	Pāramī Vibhāga	text	
pts	pcp.	participle	grammar	
pts	Ped.	Pedersen, Keltische Grammatik	text	
pts	perf.	perfect tense	grammar	
pts	perm.	permission	other	
pts	permut.	permutation	other	
pts	pers.	person, personal	grammar	
pts	Pet.	Petakôpadesa	text	
pts	Pf.	Pfungst, A German Buddhist	text	
pts	phil.	philosophical	other	
pts	Phon.	Phonetics	text	
pts	Pj.	Paramattha-jotikā (KhpA. = I.; SnA. = II.)	text	
pts	Pk.	Prakrit	text	
pts	pl.	plural number	grammar	
pts	plpf.	pluperfect tense	grammar	
pts	poet.	poetical	other	
pts	Pol.	Polish	text	
pts	pop.	popular	other	
pts	poss.	possessive pronoun	grammar	
pts	Pot.	Potter's Wheel	text	
pts	Pot. V.	Pottery Vocabulary (JRAS XIX. 5)	text	
pts	pp.	pages	grammar	
pts	ppa.	pātapadika (noun-stem)	grammar	
pts	ppp.	past participle passive ( = pp.)	grammar	
pts	ppr.	present participle passive	grammar	
pts	ppres.	present participle	grammar	
pts	Pr.	Prakrit	text	
pts	Prab.	Prabodhacandrodaya	text	
pts	prec.	preceding	other	
pts	pref.	prefix	other	
pts	prep.	preposition	other	
pts	pres.	present tense	grammar	
pts	prob.	probable, probably	other	
pts	pron.	pronoun	grammar	
pts	pronunc.	pronunciation	other	
pts	prop.	properly	other	
pts	Prov.	Proverbs	grammar	
pts	prov.	provincial	other	
pts	Prākṛtavar.	Prākṛta-vararucī-vyākaraṇa	text	
pts	Prāt.	Prātiśākhya	text	
pts	prīṇ.	prīṇati	other	
pts	Ps.	Papañcasūdanī (= MA.)	text	
pts	ptcp.	participle	grammar	
pts	Pts.	Paṭisambhidāmagga	text	
pts	Pts. of Br.	Psalms of the Brethren	text	
pts	PtsA.	Paṭisambhidāmagga Aṭṭhakathā (= Saddhamma-ppakāsinī)	text	
pts	Pug.	Puggala-paññatti	text	
pts	PugA.	Puggala-paññatti Aṭṭhakathā	text	
pts	Pv.	Peta Vatthu	text	
pts	PvA.	Peta Vatthu Aṭṭhakathā (= Paramatthadīpanī III.)	text	
pts	Pva.	Pravacana-sāra	text	
pts	Pvs.	Padyâvalī-sutta	text	
pts	PVSP.	Pali Version of the Sanscrit Parables	text	
pts	Pāci.	Pācittiya	text	
pts	Pātim.	Pātimokkha	text	
pts	Pāṇ.	Pāṇini's Grammar	text	
pts	Pāṭh.	Pāṭhaka	text	
pts	q. v.	quod vide, which see	other	
pts	R.	Rāmañña script	text	
pts	R. N.	Royal Navy	text	
pts	R. N. R.	Royal Naval Reserve	text	
pts	Rasav.	Rasavāhinī	text	
pts	Rassap.	Rassapālikā	text	
pts	RC.	Rathavinīta Commentary	text	
pts	ref.	reference	other	
pts	reflex.	reflexive	grammar	
pts	reg.	regularly	other	
pts	Rel.	Religion, religious	text	
pts	resp.	respective(ly)	other	
pts	Rh. D.	Rhys Davids	text	
pts	rhyth. causâ	rhythmī causâ, for the sake of rhythm	other	
pts	Roch.	Rochberg-Halton, Astrological Texts	text	
pts	Rp. Sd.	Rūpasiddhi	text	
pts	Rpd.	Rūpârūpavibhāga	text	
pts	Russ.	Russian	text	
pts	Rv.	Ṛg Veda	text	
pts	Rām.	Rāmāyaṇa	text	
pts	Rūp.	Rūpârūpavibhāga	text	
pts	S.	Saṁyutta Nikāya	text	
pts	S. H. B.	Sacred Books of the Buddhists	text	
pts	s.v.	sub voce, under the word	other	
pts	SA.	Saṁyutta Nikāya Aṭṭhakathā (= Sārattha-ppakāsinī)	text	
pts	Sace.	Saccavibhāga	text	
pts	Sadd.	Saddanīti	text	
pts	Saddh.	Saddhammôpāyana	text	
pts	sam.	samāsa	other	
pts	Sam. Pās.	Samanta-pāsādikā (= VinA.)	text	
pts	samādh.	samādhi	other	
pts	sandhi	sandhi	other	
pts	Sangah.	Sangahavatthu	text	
pts	Sar.	Sāriputta-thera-apadāna	text	
pts	Sas.	Sāsana-vaṁsa	text	
pts	Sat. Br.	Satapatha Brāhmaṇa	text	
pts	Saṁy.	Saṁyutta	text	
pts	SBE.	Sacred Books of the East	text	
pts	Scand.	Scandinavian	text	
pts	Sch.	School	text	
pts	Schr.	Schrader, Upanishads	text	
pts	Sd.	Saddanīti	text	
pts	Sdhp.	Saddhammôpāyana	text	
pts	Sdm.	Saddhammapajotikā	text	
pts	Sdm. N.	Saddhammanipuṇa	text	
pts	Sdm. P.	Saddhammapāla	text	
pts	Sdm. S.	Saddhammasāra	text	
pts	Sdm. Saṅg.	Saddhammasaṅgaha	text	
pts	Searle	Onomasticon to the Acts of the Apostles	other	
pts	Senart	Mahāvastu (text)	other	
pts	Serb.	Serbian	text	
pts	sg.	singular number	grammar	
pts	Shāhb.	Shāhbāzgarhi Inscription	text	
pts	Si.	Siam, Siamese	text	
pts	Sim.	Similar	text	
pts	Singh.	Singhalese ( = Cingalese)	text	
pts	Siv.	Sivapurāṇa	text	
pts	Sk.	Sanskrit	text	
pts	Slav.	Slavonic	text	
pts	Sn.	Sutta Nipāta	text	
pts	SnA.	Sutta Nipāta Aṭṭhakathā (= Paramatthajotikā II.)	text	
pts	Snip.	Sutta Nipāta	text	
pts	Sp.	Sārattha-ppakāsinī (= SA.)	text	
pts	Sp. V.	Spiegel, Verzeichniss	text	
pts	Spk.	Sārattha-ppakāsinī (= SA.)	text	
pts	sq.	square	other	
pts	Sr.	Sura-sundarī-carita	text	
pts	SS.	Samyutta Suttas (Mrs. Rh. D.)	text	
pts	St.	Sutta	text	
pts	Stede	Articles in J.P.T.S., etc.	other	
pts	Steinthal	Specimen der Nāmamālā	other	
pts	Stenzler	Meghadūta	other	
pts	Subh.	Subhâsitâvalī	text	
pts	subj.	subjunctive mood	other	
pts	Subodh.	Subodhâlaṅkāra	text	
pts	subst.	substantive	other	
pts	suff.	suffix	other	
pts	Sum. Vil.	Sumaṅgala-vilāsinī (= DA.)	text	
pts	suppl.	supplement	other	
pts	Suśr.	Suśruta	text	
pts	Sv.	Sutta Vibhaṅga	text	
pts	Swed.	Swedish	text	
pts	syn.	synonym	other	
pts	SyO.	Syām On (= Siamese Old Script?)	text	
pts	Sārth.	Sārthamañjūsā	text	
pts	Sītā R.	Sītā-Rāmaṇa	text	
pts	Sūp.	Sūpāra-jātaka	text	
pts	Sūt. Kl.	Sūtra Kṛtânga	text	
pts	T.	Trenckner (Notes on Miln., etc.)	text	
pts	Tamb.	Tambapaṇṇi	text	
pts	Tantr.	Tantric	text	
pts	Tel.	Telugu	text	
pts	Thera-g.	Theragāthā	text	
pts	Theri-g.	Therīgāthā	text	
pts	Thet	Thet-panja-kammaṭṭhāna	other	
pts	Tib.	Tibetan	text	
pts	Tika-p.	Tika-paṭṭhāna	text	
pts	Tikap. A.	Tika-paṭṭhāna Aṭṭhakathā	text	
pts	tr.	translation, translated	other	
pts	Trenckner	Pali Miscellany, etc.	other	
pts	Tris.	Trisāhasrikā-prajñāpāramitā	text	
pts	trsl.	translation	other	
pts	Ts.	Trenckner, notes on Majjhima N.	text	
pts	ts.	tat-sama (= Sk. word in P.)	other	
pts	Turnour	Mahāvaṁsa (ed. & trsl.)	other	
pts	Tāran.	Tāranātha's Geschichte des Buddhismus	text	
pts	Tīkā	Ṭīkā (Commentary)	other	
pts	U.	Upaniṣad	text	
pts	Ud.	Udāna	text	
pts	UdA.	Udāna Aṭṭhakathā (= Paramatthadīpanī)	text	
pts	Udv.	Udānavarga	text	
pts	Ukr.	Ukrainian	text	
pts	uncontr.	uncontracted	other	
pts	Up.	Upaniṣad	text	
pts	Upās.	Upāsakajanâlaṅkāra	text	
pts	Uttarādhy.	Uttarādhyayana Sūtra	text	
pts	Uṇ.	Uṇādi Sūtra	text	
pts	V.	Vinaya Piṭaka	text	
pts	Varah.	Varāhamihira	text	
pts	Vaṁs. Br.	Vaṁsa Brāhmaṇa	text	
pts	vb.	verb	grammar	
pts	Vbh.	Vibhaṅga	text	
pts	VbhA.	Vibhaṅga Aṭṭhakathā (= Sammoha-vinodanī)	text	
pts	Vibh-ṭ.	Vibhāvinī-ṭīkā (= Akv.)	text	
pts	Vibhv.	Vibhāvatthu-prakaraṇa	text	
pts	vic.	vicinity	other	
pts	vig.	vigraha	other	
pts	Vim.	Vimāna Vatthu	text	
pts	Vin.	Vinaya Piṭaka	text	
pts	VinA.	Vinaya Aṭṭhakathā (= Samanta-pāsādikā)	text	
pts	Vinet.	Vinetavatthu	text	
pts	Vism.	Visuddhimagga	text	
pts	viz.	videlicet, namely	other	
pts	Voc.	Vocabulary	grammar	
pts	voc.	vocative case	grammar	
pts	vol.	volume	other	
pts	vs.	verse	other	
pts	Vtj.	Vinaya-vinicchaya-ṭīkā	text	
pts	Vv.	Vimāna Vatthu	text	
pts	VvA.	Vimāna Vatthu Aṭṭhakathā (= Paramatthadīpanī IV.)	text	
pts	Vy.	Vyākaraṇa (grammar)	text	
pts	Vāc.	Vācaspati	text	
pts	Vṛtt.	Vṛtta-ratnâkara	text	
pts	W.	Westergaard, Radices Linguae Sanscritae	text	
pts	Weber	Indische Studien, etc.	other	
pts	Windisch	Māra u. Buddha, etc.	other	
pts	Winternitz	Geschichte der Ind. Litteratur	other	
pts	Wogihara	Bodhisattvabhūmi	other	
pts	WZKM	Wiener Zeitschrift f. d. Kunde d. Morgenlandes	text	
pts	Wṛhasp.	Wṛhaspati-sutta	text	
pts	Y.	Yoga	text	
pts	Yam.	Yamaka	text	
pts	Z.	Zend (= Avestan)	text	
pts	ZDMG	Zeitschrift der Deutschen Morgenländischen Gesellschaft	text	
pts	°	at the end of a word indicates that the latter occurs only in compn.; after an initial word it marks the latter as first part of a compn.	symbol	
pts	Ān.	(Senart's Appendix to) Mahāvastu	text	
pts	Ātm. Vid.	Ātma-vidyā (= Self-knowledge)	text	
pts	Śrāv.	Śrāvastī Inscription	text	
pts	Śāky.	Śākyamuni	text	
pts	इति	(= iti) marks end of quotation	other	
pts	Ḍaṭh.	(= Dāṭh.) Dāṭhavaṁsa	text	
pts	Ṛg V.	Ṛg Veda	text	
pts	†	Denotes that the word belongs to grammarians' lists, otherwise not found in literature.	symbol	
