timestamp,file,line,control,handler,event,ms
2026-09-17T18:28:31.124,gui2/dpd_fields_meaning.py,147,DpdTextField,DpdMeaningField._handle_on_focus,focus,36.3
2026-09-17T18:28:31.906,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:31.955,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:32.132,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:32.376,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:32.489,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:32.676,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:35.118,gui2/dpd_fields_meaning.py,156,DpdTextField,DpdMeaningField._handle_on_blur,blur,150.3
2026-09-17T18:28:36.020,gui2/dpd_fields_meaning.py,147,DpdTextField,DpdMeaningField._handle_on_focus,focus,901.8
2026-09-17T18:28:36.056,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:36.091,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:36.126,gui2/dpd_fields_meaning.py,156,DpdTextField,DpdMeaningField._handle_on_blur,blur,35.0
2026-09-17T18:28:36.162,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:36.197,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:36.236,gui2/dpd_fields_meaning.py,147,DpdTextField,DpdMeaningField._handle_on_focus,focus,38.7
2026-09-17T18:28:37.564,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:37.599,gui2/dpd_fields_meaning.py,156,DpdTextField,DpdMeaningField._handle_on_blur,blur,34.5
2026-09-17T18:28:38.906,gui2/dpd_fields.py,1453,DpdTextField,DpdFields.construction_focus,focus,68.1
2026-09-17T18:28:39.062,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:39.098,gui2/dpd_fields.py,1528,DpdTextField,DpdFields.construction_blur,blur,0.4
2026-09-17T18:28:39.749,gui2/dpd_fields.py,913,DpdTextField,DpdFields.phonetic_focus,focus,3.4
2026-09-17T18:28:39.991,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.3
2026-09-17T18:28:40.063,gui2/dpd_fields.py,905,DpdDropdown,DpdFields.compound_type_blur,blur,71.9
