chA	chB	ch1	ch2	eg	for
m	e	ṃ	e	viññāṇakasiṇameko	general
m	e	mā	e	metamāsado	general
m	e	ma	e	nāmesa	general
m	e	ma	i	mamedaṃ	general
m	e	me	a	me'si	general
m	e	me	e	metaṃ	general
m	e	me	i	imeti	iti
m	e	mi	e	imināvārahām'evāhaṃ	general
ṃ	h	ṃ	ah	yasmiṃ'haṃ	general
m	h	ṃ	h	ahuvamhi	general
m	i		i	midhekacce	general
m	ī	ṃ	ī	evamīdisesu	general
m	i	ṃ	i	suññamidaṃ	general
m	i	ma	i	nāmime	general
m	i	mi	a	passāmi'ssānubhāvanti	general
m	ī	mi	i	asmīti	general
m	i	mi	i	nikkhipissām'imaṃ	general
m	o	ṃ	o	āpagam'otaritvā	general
m	o	ma	u	sadhammokkaṃsanā	general
m	o	mo	a	saccanāmomhi	general
m	o	mo	e	abhikkamosānaṃ	general
m	o	mo	i	appaṭimo'dha	general
m	p		ap	bhavataṇhā'm'pāhaṃ	general
m	p	ṃ	ap	kusacīrampi	api
ṃ	p	ṃ	ap	sumaṅgalavilāsiniyaṃpi	api
m	p	ṃ	api	yampicchaṃ	general
ṃ	s	ṃ	as	kaṃsi	general
ṃ	s	ṃ	ass	yaṃsa	general
ṃ	t	ṃ	it	kiṃti	iti
m	u	ṃ	u	ahamupaka	general
m	ū	ṃ	u	tam'ūpanissāya	general
m	u	ma	u	dhammuddesā	general
ṃ	v	ṃ	ev	ekaṃ'va	eva
ṃ	v	ṃ	iv	hatthagataṃva	general
ṃ	y	ṃ		kakusandhaṃ'y'eva	general
ñ	ā	ñā	a	aññāssa	general
ñ	a	ña	a	araññajjhāsayā	general
n	ā	na	ā	āraññikenāvuso	general
ṇ	a	ṇa	a	gahaṇaṭṭhena	general
ṇ	ā	ṇa	ā	khīṇāsavo	general
n	ā	nā	ā	nān'ārammaṇato	general
n	ā	na	a	panāyye	general
ṇ	ā	ṇā	a	samaṇāmhā	general
ñ	ā	ñā	ā	saññādīsu	general
n	ā	nā	a	yaṃnūnāhaṃ	general
n	a	na	a	yenamhi	general
n	ā	nā	e	ūnā'va	general
n	ā	nā	i	ānubhāvenāti	general
n	ā	na	i	ānubhāvenāti	iti
ṇ	ā	ṇā	i	tāragaṇā'va	general
n	ā	naṃ	ā	brāhmaṇān'āsuṃ	general
n	ā	naṃ	a	dvinn'āhaṃ	general
ṇ	ā	ṇe	a	sabbapāṇ'ānukampati	general
n	a	ni	a	tānassu	general
n	ā	ni	a	tānāssu	general
ṇ	a	ṇi	a	tīṇ'aṅgāni	general
n	ā	no	a	attan'āttānaṃ	general
n	a	no	a	sampann'atthūdha	general
n	a	nu	a	najja	general
n	ā	nu	a	nan'āyaṃ	general
ñ	c	ṃ	c	tiṇañce	general
n	d	ṃ	d	bhūmindhara	general
n	e	na	e	neso	general
n	e	na	i	baḷisen'eva	general
n	e	naṃ	e	pañcannetaṃ	general
n	e	ne	a	hīne'dhimuttaṃ	general
ñ	e	ñe	a	maññe'haṃ	general
n	e	ni	e	ṭhānān'etāni	general
ṅ	g	ṃ	g	byasanaṅ'gato	general
ñ	h	ṃ	h	nibbānogadhañhi	general
n	ī	na	i	ken'īdha	general
n	i	na	i	panidaṃ	general
ṇ	i	ṇa	i	pīṇindriye	general
ṇ	ī	ṇā	i	samaṇīdha	general
n	ī	naṃ	i	assaddhān'īdha	general
ṇ	ī	ṇaṃ	i	samaṇīdha	general
n	i	ni	a	ādīnipi	api
ñ	i	ñi	a	aññāsamatimaññi'hanti	general
n	ī	ni	a	idānī'si	general
ṇ	ī	ṇī	a	sikharaṇī'si	general
ṇ	i	ṇi	a	tīṇi'ssa	general
n	ī	nī	a	utunīmhi	general
n	ī	nī	i	añjanīva	general
n	i	ni	i	idān'ime	general
ṇ	ī	ṇi	i	rathassāṇī'va	general
n	ī	ni	i	sāmīcikammānīti	iti
ṇ	i	ṇi	i	tīṇindriyāni	general
ñ	j	ṃ	j	dhanañjānī	general
ṅ	k	ṃ	k	khemaṅkarassa	general
n	n		n	kacci'n'nu	general
ñ	ñ		ñ	pubbāpara'ñ'ñū	general
ñ	ñ	ṃ		taññ'eva	general
ñ	ñ	ṃ	aññ	tesañ'ñataroyamāyuvā	general
n	n	ṃ	n	kinnu	general
ñ	ñ	ṃ	y	yaññadeva	general
n	o	na	o	paññāsayojanokāse	general
ṇ	o	ṇa	u	dakkhiṇodakaṃ	general
n	o	na	u	supin'occārapassāvo	general
n	o	nī	o	bhikkhun'ovādavaggo	general
ñ	o	ño	a	katapuñño'si	general
ṇ	o	ṇo	a	otiṇṇomhi	general
n	o	no	a	sayānomhi	general
n	o	no	i	jhānoti	iti
n	o	nu	i	āyasmānoti	general
n	t	ṃ	it	neyyanti	iti
n	t	ṃ	t	idantaṃ	general
n	t	n	it	khīṇan'teva	iti
n	u		u	vehāsā'n'upasaṅkamiṃ	general
ṇ	u	ṇa	u	gaṇaṅgaṇupāhanā	general
n	u	na	u	iddhibalenupatthaddho	general
ñ	ū	ñā	u	saññ'ūpāyaṃ	general
n	u	nā	u	sen'uyyodhikaṃ	general
n	ū	na	u	udakādhān'ūpamāyo	general
n	ū	nā	u	vedanūpāyaṃ	general
ṇ	ū	ṇa	u	veṇūpamena	general
ñ	ū	ñū	a	akataññū'si	general
n	u	nu	a	nujja	general
n	u	nu	e	nuttha	general
n	u	nu	i	nanume	general
o	p	o	ap	tissopi	api
o	t	o	it	pahātabboti	iti
o	v	o	ev	esovetassa	general
o	v	o	iv	kukkurova	iva
o	y	o		etaparamo'y'eva	eva
p	a	api	a	mayhaṃpatthi	general
p	ā	api	ā	yampāvuso	general
p	ā	pa	a	appādhikaraṇaṃ	general
p	ā	pā	a	japp'ābhilepanaṃ	general
p	ā	pa	ā	kassapādi	general
p	a	pa	a	sūpatthāya	general
p	ā	pi	a	apāhaṃ	general
p	ā	pi	ā	apāvuso	api
p	a	pi	a	etampahaṃ	general
p	ā	po	a	abhisāp'āyaṃ	general
p	ā	po	ā	āp'ādīsupi	general
p	e	api	e	brahmunāpesā	general
p	e	pe	a	parikappe'nudhāvitā	general
p	e	pe	i	antodīpe'va	general
p	e	pi	e	apetthekacco	api
p	i	ap	i	pidhekacce	general
p	i	api	a	evampissa	general
p	i	api	i	pidhekacce	general
p	i	pi	a	khattiyopi'ssāssāti	general
p	ī	pi	i	kap'īva	general
p	i	pi	i	sabbepime	general
p	o	po	a	abhisāpoyaṃ	general
p	p		p	na'p'patirūpaṃ	general
p	p	d	p	tappaṭibhāgaṃ	general
p	p	p		tappaṭibaddhasaṃkilesa'p'pahānavasena	general
p	p	pi		app'eva	general
p	u	pi	u	yampudāyi	general
r	ā		ā	puna'r'āvattanadhammoyeva	general
r	ā	rā	ā	accasarāvuso	general
r	ā	ra	ā	saṃvarāpajjanā	general
r	a	ra	a	saṅkāraggi	general
r	ā	rā	a	satthār'ānuggahito	general
r	ā	ra	a	tatrāssudaṃ	general
r	ā	ri	ā	accasar'āvuso	general
r	ā	ri	a	cattār'āhaṃ	general
r	ā	ro	a	anuttar'āyaṃ	general
r	e		e	vutti'r'esā	general
r	e	ra	e	tatrekassa	general
r	e	re	a	ekāgāre'haṃ	general
r	e	re	i	āṇidvāre'va	general
r	i		i	āraggeriva	general
r	i	ra	i	tatrime	general
r	i	ri	a	kaṇhasiri'vhayo	general
r	ī	rī	a	kiccakārī'ssa	general
r	ī	ri	i	atar'īdha	general
r	i	ri	i	cattārimāni	general
r	i	riṃ	a	acāri'haṃ	a
r	o	ra	o	sarīrobhāsena	general
r	o	ro	a	mukharosi	general
r	o	ro	i	cattārome	general
r	u	ra	u	samudācāruppanna	general
r	ū	ra	u	tatrūpapatti	general
r	ū	rī	u	brahmacār'ūpaddava	general
r	u	ru	a	dārutthāya	general
s	a	s	ā	parisa'mittañca	general
s	ā	sa	a	esāhaṃ	general
s	ā	sā	ā	sahas'ādiyitvā	general
s	ā	sā	a	sāssa	general
s	a	sa	a	tassaṅgaṇassa	general
s	ā	sa	ā	vītamohassāvuso	general
s	ā	sa	i	assā'ti	iti
s	ā	sā	i	ayasā'va	general
s	ā	saṃ	a	tesāhaṃ	general
s	ā	si	a	ahosāhaṃ	general
s	a	si	a	jātipupphamadās'ahaṃ	general
s	ā	so	a	es'āvahiyyase	general
s	a	su	a	sakes'aṅgesu	general
s	ā	su	a	yesāhaṃ	general
s	e	sa	e	ariyassetaṃ	general
s	e	sa	i	sappass'eva	general
s	e	se	a	abbhokāse'tināmayi	general
s	e	se	i	ākāse'va	general
s	e	si	e	karissas'eko	general
s	e	so	e	eseva	eva
s	ī	sa	i	atthikass'īdha	general
s	i	sa	i	tassimaṃ	general
s	i	si	a	namassi'haṃ	general
s	ī	sī	a	vasī'mhi	general
s	ī	si	i	gahitosī'ti	iti
s	ī	sī	i	tapassītiādimāha	general
s	i	si	i	tāresimaṃ	general
s	i	siṃ	a	namassi'haṃ	general
s	o	sā	o	dis'okāsā	general
s	o	sa	o	sīsokkamanaṃ	general
s	o	sa	u	phuss'opatisso	general
s	o	so	a	somhi	general
s	o	so	e	dosova	eva
s	o	so	i	sadisoti	iti
s	s		s	chinna's'sarāpi	general
s	s	d	s	tassāruppaṃ	general
s	u	sa	u	imassuppādā	general
s	ū	sa	u	maṃsūpasecano	general
s	u	su	a	indriyesumha	general
s	u	su	i	apissumaṃ	general
s	ū	su	i	kathaṃsūti	iti
s	ū	su	u	ājānīyasus'ūpamaṃ	general
s	u	su	u	pañcasupādāna	general
s	v	s	o	alasvassa	general
s	v	so	a	svajja	general
t	a	tā	a	ettāvat'aggampi	general
ṭ	ā	ṭa	ā	makkaṭādi	general
t	ā	ta	ā	navanītādīni	general
t	ā	ta	a	nissutāssa	general
t	a	ta	a	paṇītaṭṭhena	general
t	ā	tā	ā	rājamahāmattādayo	general
t	ā	tā	a	tāhaṃ	general
t	ā	tā	i	amantāti	iti
t	ā	ta	i	pattāti	general
t	ā	taṃ	a	dīgharattāhaṃ	general
t	ā	ti	ā	ijjhat'āvuso	general
t	a	ti	a	jhāyatassu	general
t	ā	ti	a	sammāpaṭipattādhikaraṇahetu	general
t	ā	to	a	bhindant'āyaṃ	
t	ā	to	ā	tat'āgacchi	general
t	a	to	a	yācit'assā	general
t	ā	tu	ā	yāpet'āyasmā	general
t	e	te	a	te'bhirattā	general
t	e	te	i	pokkharapatt'eva	iva
t	e	ti	e	sant'ettha	general
t	e	to	e	kut'ettha	general
t	e	tu	e	tiṭṭhat'etaṃ	general
t	i	iti	a	ti'ssa	general
t	i	ta	i	vat'idaṃ	general
t	ī	tī	a	paggharantī'si	general
t	i	ti	a	sati'haṃ	general
t	i	ti	e	pārāyanant'eva	iti
t	i	ti	i	it'iha	general
t	ī	ti	i	ñāt'īdha	general
t	ī	tī	i	ñātī'va	general
ṭ	o	ṭo	a	āvaṭṭosi	general
t	o	to	a	kutossa	general
t	o	to	i	gatimantoti	iti
ṭ	o	ṭo	i	paṭṭoti	iti
t	o	to	o	yatodhi	general
ṭ	ṭ		ṭ	majjha'ṭ'ṭhāne	general
t	t		t	maṅgala't'thambhaṃ	general
ṭ	ṭ	ṭ		āsava'ṭ'ṭhānīyā	general
t	ū	ta	u	cittūpahāraṃ	general
ṭ	u	ṭa	u	sakaṭ'uttaraṇabhatīti	general
t	u	ta	u	satubbedhaṃ	general
t	u	tā	u	sayant'uttānaseyyakā	general
ṭ	ū	ṭa	u	vivaṭṭ'ūpanissitaṃ	general
t	ū	ti	u	bhavat'ūpapatti	general
t	u	ti	u	nādiyissant'upajjhāye	general
t	u	to	u	tatuttariṃ	general
t	u	tu	a	dhātu'dhimutti	general
t	ū	tu	a	kaṭacchubhikkhahetū'pi	general
t	u	tu	u	māt'upacāranāmena	general
t	ū	tu	u	yaññamut'ūpasevanā	general
t	ū	tu	up	ut'ūpasevanā	general
t	u	tuṃ		vitthāretu'kamyatā	general
t	u	tuṃ	a	kātu'yye	general
t	v	t	u	tv'evidaṃ	general
t	v	ti		caṇḍot'v'eva	general
t	y	t	e	kāyagatāty'atthu	general
t	y	t	i	dev'ūpapatyassa	general
t	y	tti		vepacity'asuro	general
t	y	tti	a	vipaty'anta	general
u	k	uṃ	k	patiṭṭhapetukāmo	general
u	p	u	ap	mātupi	api
ū	p	ū	ap	ṭhitabhikkhūpi	api
u	r	u		tejodhātu'r'evesā	general
