bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_paṇṇāsa	bjt_vagga	bjt_sutta
an-1-8-3	an-1-8-3	an-1	22	26	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 3.
an-1-8-4	an-1-8-4	an-1	22	26	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 4.
an-1-8-5	an-1-8-5	an-1	22	26	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 5.
an-1-8-6	an-1-8-6	an-1	22	26	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 6.
an-1-8-7	an-1-8-7	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 7.
an-1-8-8	an-1-8-8	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 8.
an-1-8-9	an-1-8-9	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 9.
an-1-8-10	an-1-8-10	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 10.
an-1-8-11	an-1-8-11	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		kalyāṇamittavaggo	1. 8. 11.
an-1-9-1	an-1-9-1	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 1.
an-1-9-2	an-1-9-2	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 2.
an-1-9-3	an-1-9-3	an-1	22	28	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 3.
an-1-9-4	an-1-9-4	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 4.
an-1-9-5	an-1-9-5	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 5.
an-1-9-6	an-1-9-6	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 6.
an-1-9-7	an-1-9-7	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 7.
an-1-9-8	an-1-9-8	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 8.
an-1-9-9	an-1-9-9	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 9.
an-1-9-10	an-1-9-10	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 10.
an-1-9-11	an-1-9-11	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 11.
