bjt_sutta_code   	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya     	 bjt_major_section	 bjt_book	 bjt_minor_section                	 bjt_vagga                	 bjt_sutta
1. 9. 3          	 an-1-9-3    	 an-1        	          22	           28	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 3.
1. 9. 4          	 an-1-9-4    	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 4.
1. 9. 5          	 an-1-9-5    	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 5.
1. 9. 6          	 an-1-9-6    	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 6.
1. 9. 7          	 an-1-9-7    	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 7.
1. 9. 8          	 an-1-9-8    	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 8.
1. 9. 9          	 an-1-9-9    	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 9.
1. 9. 10         	 an-1-9-10   	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 10.
1. 9. 11         	 an-1-9-11   	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 11.
1. 9. 12         	 an-1-9-12   	 an-1        	          22	           30	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 12.
1. 9. 13         	 an-1-9-13   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 13.
1. 9. 14         	 an-1-9-14   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 14.
1. 9. 15         	 an-1-9-15   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 15.
1. 9. 16         	 an-1-9-16   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 9. pamādavaggo           	 1. 9. 16.
1. 10. 1         	 an-1-10-1   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 1.
1. 10. 2         	 an-1-10-2   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 2.
1. 10. 3         	 an-1-10-3   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 3.
1. 10. 4         	 an-1-10-4   	 an-1        	          22	           32	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 4.
1. 10. 5         	 an-1-10-5   	 an-1        	          22	           34	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 5.
1. 10. 6         	 an-1-10-6   	 an-1        	          22	           34	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 6.
1. 10. 7         	 an-1-10-7   	 an-1        	          22	           34	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 7.
1. 10. 8         	 an-1-10-8   	 an-1        	          22	           34	               0	 suttantapiṭake	 aṅguttaranikāyo	                  	         	                                  	 10. ajjhattikavaggo      	 1. 10. 8.
