bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book            	 bjt_minor_section	 bjt_vagga           	 bjt_sutta
mn 1. 4. 7.   	 mn-1-4-7    	 mn-1-4      	          13	          592	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 7. cūḷataṇhāsaṅkhayasuttaṃ
mn 1. 4. 8.   	 mn-1-4-8    	 mn-1-4      	          13	          602	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 8. mahātaṇhāsaṅkhayasuttaṃ
mn 1. 4. 9.   	 mn-1-4-9    	 mn-1-4      	          13	          632	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 9. mahāassapurasuttaṃ
mn 1. 4. 10.  	 mn-1-4-10   	 mn-1-4      	          13	          652	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 4. mahāyamakavaggo  	 10. cūḷaassapurasuttaṃ
mn 1. 5. 1.   	 mn-1-5-1    	 mn-1-5      	          13	          662	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 1. sāleyyakasuttaṃ
mn 1. 5. 2.   	 mn-1-5-2    	 mn-1-5      	          13	          672	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 2. verañjakasuttaṃ
mn 1. 5. 3.   	 mn-1-5-3    	 mn-1-5      	          13	          684	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 3. mahāvedallasuttaṃ
mn 1. 5. 4.   	 mn-1-5-4    	 mn-1-5      	          13	          702	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 4. cūḷavedallasuttaṃ
mn 1. 5. 5.   	 mn-1-5-5    	 mn-1-5      	          13	          718	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 5. cūḷadhammasamādānasuttaṃ
mn 1. 5. 6.   	 mn-1-5-6    	 mn-1-5      	          13	          728	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 6. mahādhammasamādānasuttaṃ
mn 1. 5. 7.   	 mn-1-5-7    	 mn-1-5      	          13	          744	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 7. vīmaṃsakasuttaṃ
mn 1. 5. 8.   	 mn-1-5-8    	 mn-1-5      	          13	          752	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 8. kosambiyasuttaṃ
mn 1. 5. 9.   	 mn-1-5-9    	 mn-1-5      	          13	          764	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 9. brahmanimantanikasuttaṃ
mn 1. 5. 10.  	 mn-1-5-10   	 mn-1-5      	          13	          776	               0	 suttantapiṭake	 majjhimanikāyo	                  	 1. mūlapaṇṇāsako    	                  	 5. cūḷayamakavaggo  	 10. māratajjaniyasuttaṃ
mn 2. 1. 1.   	 mn-2-1-1    	 mn-2        	          14	            2	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 1. kandaraka suttaṃ
mn 2. 1. 1.   	 mn-2-1-1    	 mn-2        	          14	           20	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 1. aṭṭhakanāgara suttaṃ
mn 2. 1. 3.   	 mn-2-1-3    	 mn-2        	          14	           28	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 3. sekha suttaṃ
mn 2. 1. 4.   	 mn-2-1-4    	 mn-2        	          14	           38	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 4. potaliya suttaṃ
mn 2. 1. 5.   	 mn-2-1-5    	 mn-2        	          14	           54	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 5. jīvaka suttaṃ
mn 2. 1. 6.   	 mn-2-1-6    	 mn-2        	          14	           60	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 6. upāli suttaṃ
mn 2. 1. 7.   	 mn-2-1-7    	 mn-2        	          14	           84	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 7. kukkuravatiya suttaṃ
mn 2. 1. 8.   	 mn-2-1-8    	 mn-2        	          14	           92	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 8. abhayarājakumāra suttaṃ
mn 2. 1. 9.   	 mn-2-1-9    	 mn-2        	          14	          100	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 9. bahuvedaniya suttaṃ
mn 2. 1. 10.  	 mn-2-1-10   	 mn-2        	          14	          108	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 1. gahapati vaggo   	 10. apaṇṇaka suttaṃ
mn 2. 2. 1.   	 mn-2-2-1    	 mn-2-2      	          14	          130	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 1. ambalaṭṭhika rāhulovāda suttaṃ
mn 2. 2. 2.   	 mn-2-2-2    	 mn-2-2      	          14	          142	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 2. mahārāhulovāda suttaṃ
mn 2. 2. 3.   	 mn-2-2-3    	 mn-2-2      	          14	          152	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 3. cūḷamāluṅkya suttaṃ
mn 2. 2. 4.   	 mn-2-2-4    	 mn-2-2      	          14	          164	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 4. mahāmāluṅkyasuttaṃ
mn 2. 2. 5.   	 mn-2-2-5    	 mn-2-2      	          14	          174	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 5. bhaddāli suttaṃ
mn 2. 2. 6.   	 mn-2-2-6    	 mn-2-2      	          14	          190	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 6. laṭukikopama suttaṃ
mn 2. 2. 7.   	 mn-2-2-7    	 mn-2-2      	          14	          206	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 7. cātuma suttaṃ
mn 2. 2. 7.   	 mn-2-2-7    	 mn-2-2      	          14	          216	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 7. naḷakapāna suttaṃ
mn 2. 2. 9.   	 mn-2-2-9    	 mn-2-2      	          14	          228	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 9. gulissāni suttaṃ
mn 2. 2. 10.  	 mn-2-2-10   	 mn-2-2      	          14	          236	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 2. bhikkhu vaggo    	 10. kīṭāgiri suttaṃ
