bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
kn-ap-1-26-9	kn-ap-1-26-9	kn-ap-1-19	39	402	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		26. thomakavaggo	kuṭidāyakattherāpadānaṃ
kn-ap-1-26-10	kn-ap-1-26-10	kn-ap-1-19	39	402	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		26. thomakavaggo	aggajapupphiyattherāpadānaṃ
kn-ap-1-27-1	kn-ap-1-27-1	kn-ap-1-19	39	404	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	ākāsukkhipiyattherāpadānaṃ
kn-ap-1-27-2	kn-ap-1-27-2	kn-ap-1-19	39	404	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	telamakkhiyattherāpadānaṃ
kn-ap-1-27-3	kn-ap-1-27-3	kn-ap-1-19	39	404	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	aḍḍhacandiyattherāpadānaṃ
kn-ap-1-27-4	kn-ap-1-27-4	kn-ap-1-19	39	406	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	padīpiyattherāpadānaṃ
kn-ap-1-27-5	kn-ap-1-27-5	kn-ap-1-19	39	406	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	biḷālidāyakattherāpadānaṃ
kn-ap-1-27-6	kn-ap-1-27-6	kn-ap-1-19	39	408	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	macchadāyakattherāpadānaṃ
kn-ap-1-27-7	kn-ap-1-27-7	kn-ap-1-19	39	408	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	javahaṃsakattherāpadānaṃ
kn-ap-1-27-8	kn-ap-1-27-8	kn-ap-1-19	39	408	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	salalapupphiyattherāpadānaṃ
kn-ap-1-27-9	kn-ap-1-27-9	kn-ap-1-19	39	410	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	upāgatāsayattherāpadānaṃ
kn-ap-1-27-10	kn-ap-1-27-10	kn-ap-1-19	39	410	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		27. ākāsukkhipiyavaggo	taraṇiyattherāpadānaṃ
kn-ap-1-28-1	kn-ap-1-28-1	kn-ap-1-19	39	412	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	suvaṇṇabimbohaniyattherāpadānaṃ
kn-ap-1-28-2	kn-ap-1-28-2	kn-ap-1-19	39	412	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	tilamuṭṭhidāyakattherāpadānaṃ
kn-ap-1-28-3	kn-ap-1-28-3	kn-ap-1-19	39	412	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	caṅgoṭakiyattherāpadānaṃ
kn-ap-1-28-4	kn-ap-1-28-4	kn-ap-1-19	39	414	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	ab_hañjanadāyakattherāpadānaṃ
kn-ap-1-28-5	kn-ap-1-28-5	kn-ap-1-19	39	414	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	ekañjaliyattherāpadānaṃ
kn-ap-1-28-6	kn-ap-1-28-6	kn-ap-1-19	39	416	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	potthadāyakattherāpadānaṃ
kn-ap-1-28-7	kn-ap-1-28-7	kn-ap-1-19	39	416	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	citakapūjakattherāpadānaṃ
