root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√i 1	1	a	come, go	√i	1, 2	go	upa ā √i	upāyi	
√i 1	1	a	come, go	√i	1, 2	go	nī √i	nye	nyāya
√i 1	1	a	come, go	√i	1, 2	go	pa √i	pre	pretya, pitṛ, preta, prehi, preta, pretatva +, pretī (bsk), praiti
√i 1	1	a	come, go	√i	1, 2	go	pati √i	pratī	pratīta, pratyayika, sa + pratyaya, pratyāyat, pratyayatva, pratyeti, pratyaya, apratīta, sapratyaya, pratītya, pratyaya +, pratyayāt, apratyaya (disbelief)
√i 1	1	a	come, go	√i	1, 2	go	pati ava √i	pratyave	pratyavaīti
√i 1	1	a	come, go	√i	1, 2	go	pati vi √i	prativī	
√i 1	1	a	come, go	√i	1, 2	go	parā √i	parye	parāyaṇa, pārāyaṇa
√i 1	1	a	come, go	√i	1, 2	go	pari √i	parī	parīta, paryāyena, parītya, niṣparyāyena, paryāya, niṣparyāya
√i 1	1	a	come, go	√i	1, 2	go	vi √i	vī	avīta, vyaya, vīta, vayas, avyaya +, avyaya, vyeti, a + vyaya, parivyaya
√i 1	1	a	come, go	√i	1, 2	go	vi ati √i	vyatī	vyatyaya
√i 1	1	a	come, go	√i	1, 2	go	vi nī √i		vivardhana
√i 1	1	a	come, go	√i	1, 2	go	vi pari √i	viparī	viparīta, viparyāya, viparyaya, viparītā, aviparīta
√i 1	1	a	come, go	√i	1, 2	go	vi pari ā √i		viparyāya
√i 1	1	a	come, go	√i	1, 2	go	saṃ √i	sami	samiti, sameta, sameti, sametya, sameta +, asamaya, samitam, samaya, sam i
√i 1	1	a	come, go	√i	1, 2	go	saṃ ava √i	samave	samavāya
√i 1	1	a	come, go	√i	1, 2	go	saṃ ud √i	samudi	samudaya, samudeti
√i 1	1	a	come, go	√i	1, 2	go	saṃ ud ā √i		samudāya
√i 1	1	a	come, go	√i	1, 2	go	saṃ upa √i	samupe	
√i 1	1	a	come, go	√i	1, 2	go	saṃ pa √i	sampre	sāṃpreya (bsk), asāmpreya
√i 1	1	a	come, go	√i	1, 2	go	saṃ parā √i	saṃpare	sāmparāyika, sāmparāya
√i 1	1	a	come, go	√i	1, 2	go	saṃ pari √i	samparī	sampareta (liable to die)
√i 2	1	a	study, recite	adhi√i	1, 2	learn	adhi √i	adhī	adhyeti, adhīyati, adhītvā, adhyet, adhīyat, asvādhyāya, adhyāpana, adhyayana, adhyāyaka, adhayitum, na + adhyeti, adhīyati
√i 2	1	a	study, recite	adhi√i	1, 2	learn	anu saṃ adhi √i		anu + svādhyāyati (bsk)
√i 2	1	a	study, recite	adhi√i	1, 2	learn	upa adhi √i		upādhyāya
√i 2	1	a	study, recite	adhi√i	1, 2	learn	saṃ √i		samaya
√i 2	1	a	study, recite	adhi√i	1, 2	learn	saṃ adhi √i		svādhyāyitvā (bsk), svādhyāyati (bsk), svādhyāya, svādhyāyitam (< svādhyāyati / svādhyāya), svādhyāyat (bsk)
√ikkh	1	a	see, mark	√īkṣ	1	see	√ikkh	īkṣ	īkṣaṇikā (< īkṣaṇika), sadṛkṣa +, īkṣaṇa, īkṣaṇika, sadṛkṣa
√ikkh	1	a	see, mark	√īkṣ	1	see	adhi upa √ikkh	adhyupekṣ	adhyupekṣitvā, adhyupekṣitavya, adhyupekṣaṇa (bsk), adhyupekṣati, adhyuprekṣat, adhyupekṣitar
√ikkh	1	a	see, mark	√īkṣ	1	see	anu pa √ikkh	anuprekṣ	anuvīkṣati, anuprekṣin, anuvīkṣat, anuvīkṣamāṇa, parīkṣita
√ikkh	1	a	see, mark	√īkṣ	1	see	apa √ikkh	apekṣ	anapekṣin, na + apekṣitvā, anapekṣatva, apekṣaṇa, apekṣā, nirapekṣā, anapekṣa, apekṣamāṇa, apekṣa + vat, avekṣavant (bsk), apekṣati, na + apekṣamāṇa, anapekṣa +
√ikkh	1	a	see, mark	√īkṣ	1	see	abhi √ikkh	abhīkṣ	abhīṣṇam (bsk), abhīkṣṇam, na + abhīkṣṇam, abhīkṣṇam, abhīṣṇam (bsk), abhīkṣṇam, abhīkṣṇa
√ikkh	1	a	see, mark	√īkṣ	1	see	ava √ikkh	avekṣ	avekṣyate, avekṣate, avekṣat, avekṣitvā
√ikkh	1	a	see, mark	√īkṣ	1	see	ud √ikkh	udīkṣ	udīkṣate
√ikkh	1	a	see, mark	√īkṣ	1	see	upa √ikkh	upekṣ	upīkṣate, upekṣaka, upekṣā
√ikkh	1	a	see, mark	√īkṣ	1	see	upa pari √ikkh	upaparīkṣ	upaparīkṣā, upaparīkṣate, upaparīkṣat, upaparīkṣin, upaparīkṣitavya, na + upaparīkṣat
√ikkh	1	a	see, mark	√īkṣ	1	see	pa √ikkh	prekṣ	prekṣitum, prekṣayitvā, prekṣita, prekṣate, prekṣitvā, prekṣamāṇa, prekṣā, prekṣayati, prekṣat
√ikkh	1	a	see, mark	√īkṣ	1	see	pati √ikkh	pratīkṣ	pratīkṣat
√ikkh	1	a	see, mark	√īkṣ	1	see	pati ava √ikkh	pratyavekṣ	pratyavekṣaṇā, pratyavekṣita, prati, pratyavekṣitavya, pratyavekṣat, pratyavekṣate, pratyavekṣaṇa, pratyavekṣamāṇa, apratyavekṣitvā, apratyavekṣaṇā, pratyavekṣitum, apratyavekṣita
√ikkh	1	a	see, mark	√īkṣ	1	see	pati upa √ikkh		na + prati + upekṣaṇa
√ikkh	1	a	see, mark	√īkṣ	1	see	pari √ikkh	parīkṣ	parīkṣaka, parīkṣita
√ikkh	1	a	see, mark	√īkṣ	1	see	vi ava √ikkh		
√ikkh	1	a	see, mark	√īkṣ	1	see	vi pa √ikkh	viprekṣ	viprekṣamāṇa
√ikkh	1	a	see, mark	√īkṣ	1	see	saṃ √ikkh	samīkṣ	samīkṣita, samīkṣati, samīkṣitvā, samīkṣaṇa, samīkṣya
√ikkh	1	a	see, mark	√īkṣ	1	see	saṃ apa √ikkh		saṃ + apekṣati, saṃ + apekṣamāṇa, na + samprekṣaṇa
√ikkh	1	a	see, mark	√īkṣ	1	see	saṃ ava √ikkh	samavekṣ	na + samavekṣita, samavekṣate, samavekṣitvā, samavekṣita, samavekṣya, na + samavekṣitvā
√ikkh	1	a	see, mark	√īkṣ	1	see	saṃ pa √ikkh	samprekṣ	
√iñj	1	a	move, shake	√iṅg	1	stir	√iñj		āniñjya, aniṅgana, na + iṅgyamāna, iṅgana, aṅga, iṅgita +, iṅgati, iṅgita, na + iṅgamāna
√iñj	1	a	move, shake	√iṅg	1	stir	ā vi √iñj		āvarjati
√iñj	1	a	move, shake	√iṅg	1	stir	saṃ √iñj		samiṅgitvā, samiṅgat, samiṅg, samiṅgayati, samiṅgati, saṃṛṇj, samiṅgita, saṃ + riñjate, saṃ + ṛñj, samiṅgayati, saṃmiñjana (bsk)
√idh	3	ya	succeed, accomplish	√ṛdh	2, 4, 5, 6, 7	thrive	√idh	ṛdh	ṛddhi, ṛdh, ṛdhyati, ṛddhimat, ṛddha
√idh	3	ya	succeed, accomplish	√ṛdh	2, 4, 5, 6, 7	thrive	ati saṃ √idh	samṛdh	saṃsiddhi
√idh	3	ya	succeed, accomplish	√ṛdh	2, 4, 5, 6, 7	thrive	ā √idh	āṛdh	na + āḍhya, āḍhya, ārthatā
