root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√phus 1	1	a	touch	√spṛś	6	touch	√phus	spṛś	asparśa, asparśi, asprākṣīt, aspṛkṣat, asprākṣīt, aspṛṣṭa, duḥsparśa, na + aspṛśat, na + sparśaka, na + spṛśat, na + spṛśana (bsk), na + spṛṣṭa, na + spṛṣṭatā, parśukā, puṣya, phāsu (bsk), phāṣaka (bsk), sparśa, sparśayati, sparśitum, sparśin, spraṣṭavya, spraṣṭum, spṛśat, spṛśati, spṛśet, spṛśya, spṛśyamāna, spṛṣṭa, spṛṣṭatā, spṛṣṭvā
√phus 1	1	a	touch	√spṛś	6	touch	ā √phus	āspṛś	āspṛśati
√phus 1	1	a	touch	√spṛś	6	touch	saṃ √phus	saṃspṛś	asaṃspṛṣṭa, saṃ + asprākṣīt, saṃsparśa, saṃsparśa +, saṃsparśā, saṃspraṣṭum, saṃspṛśat, saṃspṛśamāna, saṃspṛśyamāna, saṃspṛṣṭa, saṃspṛṣṭvā
√phus 2	1	*aya	sprinkle, splash	√pruṣ √pluṣ	4, 5, 9	sprinkle	√phus	pruṣ	pruṣāyati, pṛṣata
√phus 2	1	*e	sprinkle, splash	√pruṣ √pluṣ	4, 5, 9	sprinkle	pari √phus	paripruṣ	paripruṣayitvā, paripruṣāyati, paripruṣṇat
√badh	1	a	bind, tie	√bandh	9	bind	√badh	bandh	abaddha (na + baddha), mukta, unmukta, na + badhnat, baddha, baddhaka (prisoner), badhya, badhyate, bandhatām, subaddha
√badh	1	a	bind, tie	√bandh	9	bind	anu √badh	anubandh	anubaddha
√badh	1	a	bind, tie	√bandh	9	bind	ava √badh	avabandh	
√badh	1	a	bind, tie	√bandh	9	bind	ā √badh	ābandh	ābaddha, nibaddha, anubaddha, baddha, ābaddhatva
√badh	1	a	bind, tie	√bandh	9	bind	upa ni √badh	upanibandh	upanibaddha, upabandh, upanibadhyate, na + upabandh, upanibadhyate
√badh	1	a	bind, tie	√bandh	9	bind	ni √badh	nibandh	anibaddha, nibaddha
√badh	1	a	bind, tie	√bandh	9	bind	pa √badh	prabandh	na + prabaddha
√badh	1	a	bind, tie	√bandh	9	bind	pati √badh	pratibandh	pratibandha
√badh	1	ya	bind, tie	√bandh	9	bind	pari √badh		paribandhyate
√badh	1	a	bind, tie	√bandh	9	bind	vi ni √badh		vinibandha, vinibandha +
√bandh	1	a	bind, tie	√bandh	9	bind	√bandh	bandh	na + badhnat, na + bandha, na + bandhana, na + bandhayitavya, bandhanīya, na + bandhu, baddhvā, badhnat, badhnāti, badhya, bandha, bandhaka, bandhakī, bandhana, bandhanīya, bandhayati, bandhayitvā, bandhita, bandhitavya, bandhitum, bandhu, bandhuka, bandhumat, bandhumatī, bandhura, bandhula, bāndhava
√bandh	1	a	bind, tie	√bandh	9	bind	ati √bandh	bandh	
√bandh	1	a	bind, tie	√bandh	9	bind	adhi √bandh	bandh	bandhanīya
√bandh	1	a	bind, tie	√bandh	9	bind	anu √bandh	anubandh	anubadhnat, anubadhnāti, anubadhnāna, anubandhana, anubandhitavya, anubandhitum, anubandhitvā, anubandhnāna, na + anubadhnāti
√bandh	1	a	bind, tie	√bandh	9	bind	anu pa √bandh		anuprabandha (bsk)
√bandh	1	a	bind, tie	√bandh	9	bind	ava √bandh	avabandh	
√bandh	1	a	bind, tie	√bandh	9	bind	ā √bandh	ābandh	abhāntsīt, ābaddhvā, ābadhnāti, ābandhana, na + bandhaka
√bandh	1	a	bind, tie	√bandh	9	bind	ud √bandh	udbandh	udbaddhvā, udbadhya, udbandha
√bandh	1	a	bind, tie	√bandh	9	bind	upa ni √bandh	upanibandh	upanibandhana (description), upabadhnāti, saṃnibandha
√bandh	1	a	bind, tie	√bandh	9	bind	ni √bandh	nibandh	nibadhnāti, nibandha, nibandhana, nibandhita, nibandhiṣyāmi, nibandhiṣye
√bandh	1	a	bind, tie	√bandh	9	bind	pa √bandh	prabandh	prabadhnāti, prabandha
√bandh	1	a	bind, tie	√bandh	9	bind	pati √bandh	pratibandh	na + pratibaddha, pratibadhnāti, pratibandha
√bandh	1	a	bind, tie	√bandh	9	bind	pari √bandh	paribandh	paribandhana
√bandh	1	a	bind, tie	√bandh	9	bind	vi √bandh	vibandh	vibandha, vibandhana
√bandh	1	a	bind, tie	√bandh	9	bind	vi ni √bandh		vinibandha
√bandh	1	a	bind, tie	√bandh	9	bind	saṃ √bandh	sambandh	na + sambaddha, na + sambandhanīya, sambaddha, sambaddhvā, sambandha, sambandha +, sambandhanīya, sambandhitavya
√bal	1	a	be strong, live	√bal	2	be strong	√bal	bal	abala (na + bala), durbala, balahīna, abalā (na + bala), durbalā, balahīnā, abalin, abalavat, daurbalya, durbala, durbala + tara, durbalaka (bsk), durbalatā, durbalī, bala, balatā, balavat, balavattara, bali, balin, balīyati, balya, sabala, sudurbala
√bal	1		be strong, live	√bal	2	be strong	anu √bal	bal	
√bal	1	a	be strong, live	√bal	2	be strong	pa √bal	bal	
√bal	1	a	be strong, live	√bal	2	be strong	pati √bal	bal	apratibala, na + pratibala, pratibala
√bah 1	1	*e	be outside	bahis	-	out	√bah	vah	abahiḥ (na + bahiḥ), na + bāhira, bāhya, bahirdhā, bahis, bāhayati (bsk), bāhya, bāhyam, vāhayitvā, vāhita, vāhita +, vāhitavya, vāhetvā
√bah 1	1	a	be outside	bahis	-	out	pati √bah	prativah	prativahana, prativahitum, prativahyate, prativāha, prativāhayati
√bah 1	1	a	be outside	bahis	-	out	pari √bah	parivah	pari + bāhya
√bah 2	1	a	increase	√bṛh √baṃh	6	make big or strong	√bah	bṛh	+ kṛtvas, na + bāḍha, bāḷha, na + bāḍham, bāḷham, na + bāhulya + ika, bahala, bahu, bahu +, bahutara, bahutā, bahudhā, bahunā, bahula, bahulatā, bahulatva, bahulam, bahv, bāḍha, bāḍha +, bāḍham, bāhā, bāhu, bāhukā, bāhumatī, bāhula, bāhulya + ika, subahu, subāhu
√bah 2	1	a	increase	√bṛh √baṃh	6	make big or strong	ati √bah	atibṛh	ati + bāḍham, na + atibahu
√bah 2	1	a	increase	√bṛh √baṃh	6	make big or strong	pa √bah		pra + bāḍha
√bah 2	1	a	increase	√bṛh √baṃh	6	make big or strong	saṃ √bah	sambṛh	sambahula
√bādh	1	a	press, oppress	√bādh	1	oppress	√bādh	bādh	ababādhat, abādha (na + bādha), abādhiṣṭa, ābādhate, bādha, bādha +, bādhana, bādhayati, bādhayitavya, bādhayitvā, bādhita, bādhin, bādhyamāna, bībhatsa
√bādh	1	a	press, oppress	√bādh	1	oppress	ati saṃ √bādh		ati + sambādha, ati + sambādha +
√bādh	1	a	press, oppress	√bādh	1	oppress	ā √bādh	ābādh	ābādha, ābādhate, ābādhana, ābādhāt, ābādhataḥ, ābādhita, ābādhitā, ābādhiṣṭa, ābādhyamāna
√bādh	1	a	press, oppress	√bādh	1	oppress	ud √bādh	udbādh	ud + bādhaka, udbādh (burst forth), udbādhate (burst forth), udbādhayati
√bādh	1	*aya	press, oppress	√bādh	1	oppress	ni √bādh	nibādh	
√bādh	1	a	press, oppress	√bādh	1	oppress	vi √bādh	vibādh	vibādhate, vibādhayati, vibādhyate
√bādh	1	a	press, oppress	√bādh	1	oppress	vi ā √bādh	vyābādh	avyābadhya, vipāpman, vyābādha, vyābādhayate, sa + vyābadhya
√bādh	1	a	press, oppress	√bādh	1	oppress	saṃ √bādh	sambādh	na + sambādha, sambādha, sambādha +
√bil	1	a	break, chop	√bil	6, 10	split	√bil	bil	avirala, bila, bilati, bilma, bilmāt, virala
√bil	1	a	break, chop	√bil	6, 10	split	ā √bil		anāvila, anāvilatva, āvila, āvila +, bilati
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	√budh	budh	abodhīt, na  + buddhimat, na + buddhi, na + budhyamāna, buddha, buddhatā, buddhatva, buddhāṇaṃ, buddhi, buddhimat, buddhvā, budha, budhyate, budhyamāna, bodha, bodhayitvā, bodhi, bodhi, pippala, aśvattha, bodhitum, bodhin, bodhya, vibudha, sambuddha, su + buddha, su + buddha +
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	anu √budh	anubudh	anu + buddha, anubuddha, anubudhyate, anubudhyana (bsk), anubodha, duranubodha, na + anubodha
√budh	3	*e	know, wake up	√budh	4, 1	know, wake	apa √budh		avabodhayate (is aware of)
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	abhi saṃ √budh	abhisambudh	abhi + sambodhi, abhisambuddha, abhisambuddhatva, abhisambuddhvā, abhisambudhyati, abhisambudhyate, abhisambodhana, abhisambodhamāna, na + abhisambuddha
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	ava √budh	avabudh	avabudhyate, avabodha, na + avabudhyate, na + avabodha
√budh	3	*e	know, wake up	√budh	4, 1	know, wake	ni √budh	nibudh	
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	pa √budh	prabudh	na + prabudhyate, na + prabodhati, prabuddha, prabudhyate, prabodhana, prabodhayitavya, su + prabuddha, suprabuddha
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	pati √budh	pratibudh	pratibuddha, pratibudhyate, pratibodhitavya
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	vi √budh	vibudh	
√budh	3	ya	know, wake up	√budh	4, 1	know, wake	saṃ √budh	sambudh	asambodha, sambuddha, sambuddhimat, sambodha, sambodhi, sambodhitum, su + sambuddha
√buh	1	a	pluck out, uproot	√bṛh √vṛh	6	tear, pluck	apa √buh		
√buh	1	a	pluck out, uproot	√bṛh √vṛh	6	tear, pluck	ā √buh	āvṛh	ābarhayati, āvarhayati, ābṛḍha, ābṛh, ābarhayitvā, ābṛhati, āvarhaṇa, āvarhaṇa (bsk), āvarhayati, āvarhīt, āvṛhati, āvṛhet, āvṛhya
√brah	1	a	increase	√bṛh √bṛṃh	1, 6	make big or strong	√brah	bṛh	abrāhmaṇa, abrāhmaṇya, abrāhmaṇyatā, na + brāhma, na + brāhmaṇī, brahma, brahmaṇā, brahmatva, brahmasya, brahmāya, brāhmaṇa, brāhmaṇī, brāhmaṇya, brāhmaṇyatā (bsk), bṛhat, bṛhanta, sabrahmaka, su + brahma
√brū	1	a	say	√brū	2, 6	say	√brū	brū	abravam, abravīt (imperf), abruvan (imperf), uktvā, bravīti, bravīṣi, bruvanti, brūhi
√brū	1	a	say	√brū	2, 6	say	pa √brū	prabrū	prabravīti
√brūh	1	a	increase	√bṛh √bṛṃh √vṛṃh	1, 6	make big or strong	√brūh	bṛṃh	bṛṃhaṇa, bṛṃhayat, bṛṃhayati, bṛṃhayitavya, bṛṃhayitum, bṛṃhayitṛ, vṛmhayamāṇa
√brūh	1	a	increase	√bṛh √bṛṃh √vṛṃh	1, 6	make big or strong	anu √brūh	-	anu + bṛṃh, anubṛṃhayat (bsk), anu + bṛṃhati, anubṛṃh, anubṛṃhat, anubṛṃhati, anubṛṃhayati, anubṛṃhayamāna
√brūh	1	a	increase	√bṛh √bṛṃh √vṛṃh	1, 6	make big or strong	upa √brūh	upavṛṃh	upavyūha?, upavṛmhayamāṇa
√brūh	1	a	increase	√bṛh √bṛṃh √vṛṃh	1, 6	make big or strong	pari √brūh	paribṛṃh	paribṛṃhaṇa
√bhakkh	1	a	eat	√bhakṣ	1	partake of, eat	√bhakkh	bhakṣ	a + bhakṣya, ababhakṣat, bhakṣa, bhakṣaka, bhakṣati, bhakṣayat, bhakṣayati, bhakṣayitvā, bhakṣita, bhakṣitum, bhakṣitvā, bhakṣya
√bhakkh	1	*aya	eat	√bhakṣ	1	partake of, eat	abhi √bhakkh	-	bhakṣitvā, bhuktvā
√bhakkh	1	*e	eat	√bhakṣ	1	partake of, eat	saṃ √bhakkh	sambhakṣ	
√bhaj 1	1	*e	divide, distribute	√bhaj	1	divide, share	√bhaj	bhaj	daurbhāgya, durbhaga, durbhāgya, na + bhājita, na + sabhāga, bhakta, bhaktakāra, bhaktika, bhaga, bhagavat, bhagavataḥ, bhagavatā, bhagavati < bhagavat, bhagavate, bhaginī, bhajati, bhajanīya, bhajayati, bhajayitum, bhajayitvā, bhāga, bhāgavat, bhāgin, bhāgineya, bhāgineyī, bhāgīya, bhāgya, bhājaka, bhājana, bhājayati, bhājayamāna, bhājayitvā, bhājita, bhājyate, bhājyamāna, visabhāga, sa + bhakta, saubhāgya, sabhāga, subhaga
√bhaj 1	1	a	divide, distribute	√bhaj	1	divide, share	ud √bhaj		ud + bhaktvā, ud + bhajati
√bhaj 1	1	a	divide, distribute	√bhaj	1	divide, share	pa vi √bhaj	pravibhaj	pravibhajat, pravibhajya
√bhaj 1	1	a	divide, distribute	√bhaj	1	divide, share	pati √bhaj	pratibhaj	na + pratibhāga, pratibhāga, sa + pratibhāga (division)
√bhaj 1	1	a	divide, distribute	√bhaj	1	divide, share	pati vi √bhaj	prativibhaj	na + prativibhakta, prati + vibhakta, prativibhāga
