book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	id	lemma_1	family_set	meaning_1	meaning_lit	meaning_2	notes
Aṅguttara Nikāya	AN	AN1.1-10	rūpādivagga		55281	rūpādivagga	vaggas of Aṅguttara Nikāya 1	Vagga 1 of Ekakanipāta (AN1.1-10)		Chapter 1 of Ekakanipāta, Aṅguttara Nikāya 1.1-10	
Aṅguttara Nikāya	AN	AN4.41-50	rohitassavagga		55454	rohitassavagga	vaggas of Aṅguttara Nikāya 4	Vagga 5 of Catukkanipāta (AN4.41-50)		Chapter 5 of Catukkanipāta, Aṅguttara Nikāya 4.41-50	
Aṅguttara Nikāya	AN	AN3.93-103	loṇakapallavagga	loṇapallavagga; loṇaphalavagga	56082	loṇakapallavagga	vaggas of Aṅguttara Nikāya 3	Vagga 10 of Tikanipāta (AN3.93-103)		Chapter 10 of Tikanipāta, Aṅguttara Nikāya 3.93-103	
Aṅguttara Nikāya	AN	AN10.51-60	sacittavagga		57107	sacittavagga	vaggas of Aṅguttara Nikāya 10	Vagga 6 of Dasakanipāta (AN10.51-60)		Chapter 6 of Dasakanipāta, Aṅguttara Nikāya 10.51-60	
Aṅguttara Nikāya	AN	AN4.171-180	sañcetaniyavagga		57303	sañcetaniyavagga	vaggas of Aṅguttara Nikāya 4	Vagga 18 of Catukkanipāta (AN4.171-180)		Chapter 18 of Catukkanipāta, Aṅguttara Nikāya 4.171-180	
Aṅguttara Nikāya	AN	AN5.61-70	saññāvagga		57449	saññāvagga	vaggas of Aṅguttara Nikāya 5	Vagga 7 of Pañcakanipāta (AN5.61-70)		Chapter 7 of Pañcakanipāta, Aṅguttara Nikāya 5.61-70	
Aṅguttara Nikāya	AN	AN9.63-72	satipaṭṭhānavagga		57633	satipaṭṭhānavagga	vaggas of Aṅguttara Nikāya 9	Vagga 7 of Navakanipāta (AN9.63-72)		Chapter 7 of Navakanipāta, Aṅguttara Nikāya 9.63-72	
Aṅguttara Nikāya	AN	AN8.81-90	sativagga		57658	sativagga	vaggas of Aṅguttara Nikāya 8	Vagga 9 of Aṭṭhakanipāta (AN8.81-90)		Chapter 9 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.81-90	
Aṅguttara Nikāya	AN	AN1.258-267	sattamavagga		57751	sattamavagga	vaggas of Aṅguttara Nikāya 1	Vagga 20 of Ekakanipāta (AN1.258-267)		Chapter 20 of Ekakanipāta, Aṅguttara Nikāya 1.258-267	
Aṅguttara Nikāya	AN	AN9.21-31	sattāvāsavagga		57817	sattāvāsavagga	vaggas of Aṅguttara Nikāya 9	Vagga 3 of Navakanipāta (AN9.21-31)		Chapter 3 of Navakanipāta, Aṅguttara Nikāya 9.21-31	
Aṅguttara Nikāya	AN	AN5.151-160	saddhammavagga		58065	saddhammavagga	vaggas of Aṅguttara Nikāya 5	Vagga 16 of Pañcakanipāta (AN5.151-160)		Chapter 16 of Pañcakanipāta, Aṅguttara Nikāya 5.151-160	
Aṅguttara Nikāya	AN	AN2.78-87	sanimittavagga		58145	sanimittavagga	vaggas of Aṅguttara Nikāya 2	Vagga 8 of Dukanipāta (AN2.78-87)		Chapter 8 of Dukanipāta, Aṅguttara Nikāya 2.78-87	
Aṅguttara Nikāya	AN	AN2.152-163	santhāravagga		58352	santhāravagga	vaggas of Aṅguttara Nikāya 2	Vagga 14 of Dukanipāta (AN2.152-163)		Chapter 14 of Dukanipāta, Aṅguttara Nikāya 2.152-163	
Aṅguttara Nikāya	AN	AN4.201-210	sappurisavagga		58755	sappurisavagga	vaggas of Aṅguttara Nikāya 4	Vagga 21 of Catukkanipāta (AN4.201-210)		Chapter 21 of Catukkanipāta, Aṅguttara Nikāya 4.201-210	
Aṅguttara Nikāya	AN	AN2.33-42	samacittavagga		59154	samacittavagga	vaggas of Aṅguttara Nikāya 2	Vagga 4 of Dukanipāta (AN2.33-42)		Chapter 4 of Dukanipāta, Aṅguttara Nikāya 2.33-42	
Aṅguttara Nikāya	AN	AN10.101-112	samaṇasaññāvagga		59228	samaṇasaññāvagga	vaggas of Aṅguttara Nikāya 10	Vagga 11 of Dasakanipāta (AN10.101-112)		Chapter 11 of Dasakanipāta, Aṅguttara Nikāya 10.101-112	
Aṅguttara Nikāya	AN	AN3.82-92	samaṇavagga 1		59246	samaṇavagga 1	vaggas of Aṅguttara Nikāya 3	Vagga 9 of Tikanipāta (AN3.82-92)		Chapter 9 of Tikanipāta, Aṅguttara Nikāya 3.82-92	
Aṅguttara Nikāya	AN	AN7.85-94	samaṇavagga 2		59247	samaṇavagga 2	vaggas of Aṅguttara Nikāya 7	Vagga 9 of Sattakanipāta (AN7.85-94)		Chapter 9 of Sattakanipāta, Aṅguttara Nikāya 7.85-94	
Aṅguttara Nikāya	AN	AN2.164-180	samāpattivagga		59754	samāpattivagga	vaggas of Aṅguttara Nikāya 2	Vagga 15 of Dukanipāta (AN2.164-180)		Chapter 15 of Dukanipāta, Aṅguttara Nikāya 2.164-180	
Aṅguttara Nikāya	AN	AN3.104-113	sambodhavagga		60606	sambodhavagga	vaggas of Aṅguttara Nikāya 3	Vagga 11 of Tikanipāta (AN3.104-113)		Chapter 11 of Tikanipāta, Aṅguttara Nikāya 3.104-113	
Aṅguttara Nikāya	AN	AN9.1-10	sambodhivagga		60615	sambodhivagga	vaggas of Aṅguttara Nikāya 9	Vagga 1 of Navakanipāta (AN9.1-10)		Chapter 1 of Navakanipāta, Aṅguttara Nikāya 9.1-10	
