book	book_code	dpd_code	bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_major_section	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
Aṅguttara Nikāya	AN		an 3. 1. 3. 1.	an-3-1-3-1	an-3	22	222	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	1. paṭhamo paṇṇāsako	3. puggalavaggo	3. 1. 3. 1.
Aṅguttara Nikāya	AN		an 3. 1. 4. 1.	an-3-1-4-1	an-3	22	244	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	1. paṭhamo paṇṇāsako	4. devadūtavaggo	3. 1. 4. 1.
Aṅguttara Nikāya	AN		an 3. 1. 5. 1.	an-3-1-5-1	an-3	22	272	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	1. paṭhamo paṇṇāsako	5. cūlavaggo	3. 1. 5. 1.
Aṅguttara Nikāya	AN		an 3. 2. 1. 1.	an-3-2-1-1	an-3-2	22	280	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	2. dutiyo paṇṇāsako	1. brāhmaṇavaggo	3. 2. 1. 1.
Aṅguttara Nikāya	AN		an 3. 2. 2. 1.	an-3-2-2-1	an-3-2	22	310	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	2. dutiyo paṇṇāsako	2. mahāvaggo	3. 2. 2. 1.
Aṅguttara Nikāya	AN		an 3. 2. 3. 1.	an-3-2-3-1	an-3-2	22	382	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	2. dutiyo paṇṇāsako	3. ānandavaggo	3. 2. 3. 1.
Aṅguttara Nikāya	AN		an 3. 2. 4. 1.	an-3-2-4-1	an-3-2	22	406	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	2. dutiyo paṇṇāsako	4. samaṇavaggo	3. 2. 4. 1.
Aṅguttara Nikāya	AN		an 3. 2. 5. 1.	an-3-2-5-1	an-3-2	22	426	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	2. dutiyo paṇṇāsako	5. loṇaphala vaggo	3. 2. 5. 1.
Aṅguttara Nikāya	AN		an 3. 3. 1. 1.	an-3-3-1-1	an-3-3	22	460	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	3. tatiyo paṇṇāsako	1. sambodhivaggo	3. 3. 1. 1.
Aṅguttara Nikāya	AN		an 3. 2. 2. 1.	an-3-2-2-1	an-3-3	22	474	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	3. tatiyo paṇṇāsako	2. āpāyika vaggo	3. 2. 2. 1.
Aṅguttara Nikāya	AN		an 3. 3. 3. 1.	an-3-3-3-1	an-3-3	22	494	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	3. tatiyo paṇṇāsako	3. bharaṇḍu vaggo	3. 3. 3. 1.
Aṅguttara Nikāya	AN		an 3. 3. 4. 1.	an-3-3-4-1	an-3-3	22	512	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	3. tatiyo paṇṇāsako	4. yodhājīvavaggo	3. 3. 4. 1.
Aṅguttara Nikāya	AN		an 3. 3. 5. 1.	an-3-3-5-1	an-3-3	22	526	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	3. tatiyo paṇṇāsako	5. maṅgala vaggo	3. 3. 5. 1.
Aṅguttara Nikāya	AN		an 3. 6. 1.	an-3-6-1	an-3-3	22	532	0	suttantapiṭake	aṅguttaranikāyo	paṭhamo bhāgo	3. tikanipāto	3. tatiyo paṇṇāsako	6. paṭipadāvaggo	3. 6. 1.
Aṅguttara Nikāya	AN		an 4. 1. 1. 1.	an-4-1-1-1	an-4	23	2	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	1. paṭhamo paṇṇāsako	1. bhaṇḍagāmavaggo	1. anubuddhasuttaṃ
Aṅguttara Nikāya	AN		an 4. 1. 2. 1.	an-4-1-2-1	an-4	23	26	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	1. paṭhamo paṇṇāsako	2. caravaggo	1. carattasuttaṃ
Aṅguttara Nikāya	AN		an 4. 1. 3. 1.	an-4-1-3-1	an-4	23	42	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	1. paṭhamo paṇṇāsako	3. uruvelavaggo	1. paṭhama uruvelasuttaṃ
Aṅguttara Nikāya	AN		an 4. 1. 4. 1.	an-4-1-4-1	an-4	23	66	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	1. paṭhamo paṇṇāsako	4. cakkavaggo	1. cakkasuttaṃ
Aṅguttara Nikāya	AN		an 4. 1. 5. 1.	an-4-1-5-1	an-4	23	88	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	1. paṭhamo paṇṇāsako	5. rohitassavaggo	1. samādhibhāvanāsuttaṃ
Aṅguttara Nikāya	AN		an 4. 2. 1. 1.	an-4-2-1-1	an-4-2	23	106	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	2. dutiyo paṇṇāsako	1. puññābhisandavaggo	1. paṭhamapuññābhisandasuttaṃ
Aṅguttara Nikāya	AN		an 4. 2. 2. 1.	an-4-2-2-1	an-4-2	23	124	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	2. dutiyo paṇṇāsako	2. pattakammavaggo	1. pattakammasuttaṃ
Aṅguttara Nikāya	AN		an 4. 2. 3. 1.	an-4-2-3-1	an-4-2	23	144	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	2. dutiyo paṇṇāsako	3. apaṇṇakavaggo	1. padhāna-apaṇṇaka paṭipadāsuttaṃ
Aṅguttara Nikāya	AN		an 4. 2. 4. 1.	an-4-2-4-1	an-4-2	23	158	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	2. dutiyo paṇṇāsako	4. macalavaggo	1. pāṇātipātisuttaṃ
Aṅguttara Nikāya	AN		an 4. 2. 5. 1.	an-4-2-5-1	an-4-2	23	174	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	2. dutiyo paṇṇāsako	5. asuravaggo	1. asurasuttaṃ
Aṅguttara Nikāya	AN		an 4. 3. 1. 1.	an-4-3-1-1	an-4-3	23	196	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	3. tatiyo paṇṇāsako	1. valāhakavaggo	1. paṭhamavalāhakasuttaṃ
Aṅguttara Nikāya	AN		an 4. 3. 2. 1.	an-4-3-2-1	an-4-3	23	218	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	3. tatiyo paṇṇāsako	2. kesivaggo	1. kesisuttaṃ
Aṅguttara Nikāya	AN		an 4. 3. 3. 1.	an-4-3-3-1	an-4-3	23	234	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	3. tatiyo paṇṇāsako	3. bhayavaggo	1. bhayasuttaṃ
Aṅguttara Nikāya	AN		an 4. 3. 4. 1.	an-4-3-4-1	an-4-3	23	258	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	3. tatiyo paṇṇāsako	4. puggalavaggo	1. saṃyojanapuggalasuttaṃ
Aṅguttara Nikāya	AN		an 4. 3. 5. 1.	an-4-3-5-1	an-4-3	23	268	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	3. tatiyo paṇṇāsako	5. ābhāvaggo	1. ābhāsuttaṃ
Aṅguttara Nikāya	AN		an 4. 4. 1. 1.	an-4-4-1-1	an-4-4	23	274	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	4. catuttho paṇṇāsako	1. indriyavaggo	1. indriyasuttaṃ
Aṅguttara Nikāya	AN		an 4. 4. 2. 1.	an-4-4-2-1	an-4-4	23	288	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	4. catuttho paṇṇāsako	2. paṭipadāvaggo	1. paṭipadāsuttaṃ
Aṅguttara Nikāya	AN		an 4. 4. 3. 1.	an-4-4-3-1	an-4-4	23	306	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	4. catuttho paṇṇāsako	3. sañcetaniyavaggo	1. sañcetanāsuttaṃ
Aṅguttara Nikāya	AN		an 4. 4. 4. 1.	an-4-4-4-1	an-4-4	23	332	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	4. catuttho paṇṇāsako	4. brāhmaṇavaggo	1. yodhājīvasuttaṃ
Aṅguttara Nikāya	AN		an 4. 4. 5. 1.	an-4-4-5-1	an-4-4	23	358	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	4. catuttho paṇṇāsako	5. mahāvaggo	1. sotānudhatasuttaṃ
Aṅguttara Nikāya	AN		an 4. 5. 1. 1.	an-4-5-1-1	an-4-5	23	414	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	1. sappurisavaggo	1. sappurisasuttaṃ
Aṅguttara Nikāya	AN		an 4. 5. 2. 1.	an-4-5-2-1	an-4-5	23	430	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	2. parisasobhanavaggo	1. parisasobhanasuttaṃ
Aṅguttara Nikāya	AN		an 4. 5. 3. 1.	an-4-5-3-1	an-4-5	23	438	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	3. sucaritavaggo	1. vacīsucaritasuttaṃ
Aṅguttara Nikāya	AN		an 4. 5. 4. 1.	an-4-5-4-1	an-4-5	23	446	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	4. kammavaggo	1. paṭhama kammasuttaṃ
Aṅguttara Nikāya	AN		an 4. 5. 5. 1.	an-4-5-5-1	an-4-5	23	462	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	5. āpattibhayavaggo	1. pāpabhikkhusuttaṃ
Aṅguttara Nikāya	AN		an 4. 6. 1.	an-4-6-1	an-4-5	23	474	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	6. abhiññāvaggo	1. abhiññā suttaṃ
Aṅguttara Nikāya	AN		an 4. 7. 1.	an-4-7-1	an-4-5	23	486	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	7. kammapathavaggo	1. pāṇātipātasuttaṃ
Aṅguttara Nikāya	AN		an 4. 8. 1.	an-4-8-1	an-4-5	23	494	0	suttantapiṭake	aṅguttaranikāyo	dutiyo bhāgo	4. catukkanipāto	5. pañcama mahāpaṇṇāsako	8. rāgādipeyyālaṃ	1. catusatipaṭṭhānasuttaṃ
Aṅguttara Nikāya	AN		an 5. 1. 1. 1.	an-5-1-1-1	an-5	24	2	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	1. paṭhamo paṇṇāsako	1. sekhabalavaggo	1. sekhabalasaṅkhittasuttaṃ
Aṅguttara Nikāya	AN		an 5. 1. 2. 1.	an-5-1-2-1	an-5	24	16	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	1. paṭhamo paṇṇāsako	2. balavaggo	1. tathāgatabalasuttaṃ
Aṅguttara Nikāya	AN		an 5. 1. 3. 1.	an-5-1-3-1	an-5	24	26	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	1. paṭhamo paṇṇāsako	3. pañcaṅgikavaggo	1. paṭhama agārava suttaṃ
Aṅguttara Nikāya	AN		an 5. 1. 4. 1.	an-5-1-4-1	an-5	24	50	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	1. paṭhamo paṇṇāsako	4. sumanāvaggo	1. sumanāsuttaṃ
Aṅguttara Nikāya	AN		an 5. 1. 5. 1.	an-5-1-5-1	an-5	24	70	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	1. paṭhamo paṇṇāsako	5. muṇḍarājavaggo	1. pañcabhogaādiyasuttaṃ
Aṅguttara Nikāya	AN		an 5. 2. 1. 1.	an-5-2-1-1	an-5-2	24	100	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	2. dutiyaṃ paṇṇāsakaṃ	1. nīvaraṇavaggo	1. nīvaraṇasuttaṃ
Aṅguttara Nikāya	AN		an 5. 2. 2. 1.	an-5-2-2-1	an-5-2	24	126	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	2. dutiyaṃ paṇṇāsakaṃ	2. saññāvaggo	1. paṭhamasaññāsuttaṃ
Aṅguttara Nikāya	AN		an 5. 2. 3. 1.	an-5-2-3-1	an-5-2	24	134	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	2. dutiyaṃ paṇṇāsakaṃ	3. anāgatabhayavaggo	1. paṭhamacetovimuttiphalasuttaṃ
Aṅguttara Nikāya	AN		an 5. 2. 4. 1.	an-5-2-4-1	an-5-2	24	176	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	2. dutiyaṃ paṇṇāsakaṃ	4. theravaggo	1. rajanīya suttaṃ
Aṅguttara Nikāya	AN		an 5. 2. 5. 1.	an-5-2-5-1	an-5-2	24	190	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	2. dutiyaṃ paṇṇāsakaṃ	5. kakudhavaggo	1. paṭhamasampadāsuttaṃ
Aṅguttara Nikāya	AN		an 5. 3. 1. 1.	an-5-3-1-1	an-5-3	24	202	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	3. tatiyaṃ paṇṇāsakaṃ	1. phāsuvihāra vaggo	1. sekhavesārajjasuttaṃ
Aṅguttara Nikāya	AN		an 5. 3. 2. 1.	an-5-3-2-1	an-5-3	24	220	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	3. tatiyaṃ paṇṇāsakaṃ	2. andhakavindavaggo	1. kulūpagasuttaṃ
Aṅguttara Nikāya	AN		an 5. 3. 3. 1.	an-5-3-3-1	an-5-3	24	232	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	3. tatiyaṃ paṇṇāsakaṃ	3. gilānavaggo	1. gilānasuttaṃ
Aṅguttara Nikāya	AN		an 5. 3. 4. 1.	an-5-3-4-1	an-5-3	24	242	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	3. tatiyaṃ paṇṇāsakaṃ	4. rājavaggo	1. paṭhamacakkānuvattanasuttaṃ
Aṅguttara Nikāya	AN		an 5. 3. 5. 1.	an-5-3-5-1	an-5-3	24	268	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	3. tatiyaṃ paṇṇāsakaṃ	5. tikaṇḍakīvaggo	1. avajānāti suttaṃ
Aṅguttara Nikāya	AN		an 5. 4. 1. 1.	an-5-4-1-1	an-5-4	24	284	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	4. catuttho paṇṇāsako	1. saddhammavaggo	1. paṭhama sammattaniyāmasuttaṃ
Aṅguttara Nikāya	AN		an 5. 4. 2. 1.	an-5-4-2-1	an-5-4	24	302	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	4. catuttho paṇṇāsako	2. āghātavaggo	1. paṭhama āghātapaṭivinayasuttaṃ
Aṅguttara Nikāya	AN		an 5. 4. 3. 1.	an-5-4-3-1	an-5-4	24	330	0	suttantapiṭake	aṅguttaranikāyo	tatiyo bhāgo	5. pañcakanipāto	4. catuttho paṇṇāsako	3. upāsakavaggo	1. sārajjasuttaṃ
