word	pos	position	type	exceptions	notes
okāsa	noun	last	catutthī tappurisa	aphuṭokāsa, kappakatokāsa, phuṭṭhokāsa, vivittokāsa	
ogadha	adj	last	sattamī tappurisa		
ovādaka	any	last	dutiyā tappurisa		
ovādaka	masc	last	chaṭṭhī tappurisa		
kaṭa	adj	last	tatiyā tappurisa		
kaṇṭaka	adj	last	kammadhāraya > bahubbīhi		
kata	adj	first	dutiyā tappurisa		
kata	adj	last	tatiyā tappurisa		
kata	pp	last	dutiyā tappurisa		
kattar	masc	last	chaṭṭhī tappurisa	āvikattar, āvīkattar, nāvikattar	
kathā	fem	last	chaṭṭhī tappurisa	anupubbikathā 1, anupubbikathā 2, antarākathā, ariyakathā, ānupubbikathā, ānupubbīkathā, upanisinnakakathā, kathaṅkathā, kathaṃkathā, kumbhaṭṭhānakathā, gāmakathā 2, tiracchānakathā, dhammikathā, dhammīkathā, nānattakathā, niratthakakathā, pakatikathā, pacchimakathā	
kanta	any	first	kammadhāraya		
kanta	any	last	catutthī tappurisa		
kappa	adj	last	tatiyā tappurisa	akatakappa	
kamma	nt	last	chaṭṭhī tappurisa | catutthī tappurisa | kammadhāraya	ekakamma, kāyakamma, dasakamma, dhammakamma, bhāvakamma, vacīkamma, vācākamma, vinayakamma 2, sattakamma	
kamyatā	fem	last	catutthī tappurisa | tuṃpaccaya tappurisa		
kara	adj	last	dutiyā tappurisa	akiccakara, anādikara, anāpattikara, anovādakara, avacanakara, yathākara	
karaṇa	any	last	dutiyā tappurisa		
karaṇīya	nt	last	catutthī tappurisa	aggikaraṇīya, uttarikaraṇīya, uttariṃkaraṇīya, kiṅkaraṇīya, kiccakaraṇīya, kiṃkaraṇīya, tirokaraṇīya, dhanakaraṇīya, saṅghakaraṇīya, satuppādakaraṇīya, sattāhakaraṇīya, samaṇakaraṇīya, sārakaraṇīya, saṃghakaraṇīya	
kalyāṇa	any	first	kammadhāraya		
kasāva	any	last	chaṭṭhī tappurisa	aniddhantakasāva, aninnītakasāva, niddhantakasāva, ninnītakasāva, nihatakasāva, vantakasāva	
kāma	adj	last	dutiyā tappurisa | tuṃpaccaya tappurisa		
kāma	masc	last	sattamī tappurisa	attakāma 2, kilesakāma, dibbakāma, vatthukāma 1, sabbakāma	
kāya	adj	last	kammadhāraya > bahubbīhi		
kāraka	adj	last	catutthī tappurisa > bahubbīhi	abrāhmaṇakāraka, asannidhikāraka	
kāraka	noun	last	chaṭṭhī tappurisa	asannidhikāraka	
kārī	any	last	dutiyā tappurisa	akiccakārī 2, akhaṇḍakārī, acchiddakārī, attakārī, aparipūrakārī, asakkaccakārī, asappāyakārī, asabalakārī, asaṃvutakārī, asātaccakārī, esukārī 1, nisammakārī, pubbakārī, sakkaccakārī, santatakārī, evaṅkārī, evaṃkārī, kathaṃkārī, tathākārī, satatakārī, samakārī, kathaṅkārī, esukārī 2	
kālakiriyā	fem	last	chaṭṭhī tappurisa	adhimuttikālakiriyā, sappaṭisandhikālakiriyā	
kālaṅkiriyā	fem	last	chaṭṭhī tappurisa	paṭhamasannipāta	
kilamatha	masc	last	chaṭṭhī tappurisa	appakilamatha, niddākilamatha	
kīḷita	any	last	tatiyā tappurisa	kumārakīḷita, hasitalapitakīḷita	
kula	nt	last	chaṭṭhī tappurisa		
kusala	any	last	sattamī tappurisa	akatakusala, ekantakusala, katakusala, paracittapariyāyakusala, paramakusala, sacittapariyāyakusala, sampannakusala	
kūṭa	any	first	kammadhāraya	kūṭaninna, kūṭapabbhāra, kūṭapoṇa, kūṭasamugghāta, kūṭasamosaraṇa, kūṭavāda	
kūla	any	last	chaṭṭhī tappurisa		
kovida	adj	last	sattamī tappurisa		
khantika	adj	last	dutiyā tappurisa > bahubbīhi	nānākhantika	
khandha	any	last	chaṭṭhī tappurisa	arūpakkhandha, uparikhandha, pañcakkhandha, pattakkhandha, pubbenivutthakkhandha, samavaṭṭakkhandha, samavaṭṭakhandha, vivattakkhandha, sañjātakhandha	
khandhaka	adj	last	kammadhāraya > bahubbīhi		
khandhaka	masc	last	kammadhāraya		
khama	any	last	chaṭṭhī tappurisa	ananuyogakkhama, anijjhānakhama	
khaya	any	last	chaṭṭhī tappurisa	rattindivakkhaya, sammādukkhakkhaya	
khīṇa	any	any	kammadhāraya		
khemī	adj	last	pañcamī tappurisa		
ga	any	last	dutiyā tappurisa	uraga 1, pannaga, vidugga 1, uraga 2	
gaṇanā	any	last	chaṭṭhī tappurisa		
