initial	final	correct	wrong	not_in_constr	not_in_lemma	exceptions
m + kh	ṅkh	mkh > ṅkh	m > ṅ	x	x	x
m + g	ṅg	mg > ṅg	m > ṅ	m + gh	x	x
m + gh	ṅgh	mgh > ṅgh	m > ṅ	x	x	x
xm + t	t	mt > t	x	x	x	x
m + t	nt	mt > nt	m > n	m + th	x	gatimant 2
m + th	nth	mth > nth	m > n	x	x	x
m + y	mm	my > mm	y > m	x	x	x
man + man	vī	man > vī	m > v	x	x	x
mā + nā	min	mā > mi (Kacc 502, 493)	ā > i	x	x	x
mb	mm	mb > mm	x	mm	x	x
mbh + t	ddh	mbht > ddh	bht > ddh	x	x	x
						
r + k	kk	rk > kk	r > k	r + kh	x	x
r + kh	kkh	rkh > kkh	r > k	x	x	undūrakkhāyika
r + g	gg	rg > gg	r > g	r + gh	x	x
r + gh	ggh	rgh > ggh	rg > gg	x	x	x
r + j	jj	rj > jj	x	x	x	x
r + ṇ	ṇṇ	rṇ > ṇṇ	r > ṇ	x	x	x
r + t	tt	rt > tt	r > t	r + th	x	paritthata, akattha, akatatta 1.1, akatatta 1.2, atthata 1, atthata 2, anatthata, otthaṭa 1, otthaṭa 2, otthata, katatta, katattā, nissaṭatta, pakatatta 1, patthaṭa 1.1, saṅkhatatta, vitthata, kiccatta, saṃvutatta 1, adhikatatta, kaṭatta, supaccatthata, patthaṭatā, pakatatta 2
xr + t	ṭ	rt > ṭ (sk ṛt) 	rt > ṭ	x	x	x
r + th	tth	rth > tth	r > t	x	x	x
r + d	dd	rd > dd	r > d	r + dh	x	x
r + dh	ddh	rdh > ddh	r > d	x	x	x
r + n	nn	rn > nn	r > n	x	x	x
r + p	pp	rp > pp	r > p	r + ph	x	x
r + ph	pph	rph > pph	r > p	x	x	x
r + b	bb	rb > bb	r > b	r + bh	x	x
r + bh	bbh	rbh > bbh	r > b	x	x	x
r + m	mm	rm > mm	r > m	x	x	x
r + l	ll	rl > ll	r > l	ll	x	x
r + v	bb	rv > vv > bb	v > b	x	x	x
r + v	bb	rv > vv > bb	rv > bb	x	x	x
r + s	ss	rs > ss	r > s	x	x	x
ri + a	lla	ri > li > ly > ll	x	x	x	x
						
l + y	ll	ly > ll	y > l	x	x	x
la + y	ll	ly > ll	y > l	x	x	x
						
v + t	t	vt > t	v > t	v + th	x	x
v + t	tt	vt > tt	v > t	v + th	x	x
v + th	th	vth > th	x	x	x	x
vi + a	vya	vi > vy	x	x	x	x
vi +	by	vi > vy > by	vi > by	x	x	vedhabyā, vebhabyā
vi + 	veyy	vi > veyy (Kacc 401, 375)	vy > veyy	veyy	x	x
						
s + t	ṭṭh	st > ṭṭh	x	ṃs + t	x	x
s + t	tt	st > tt	x	x	tth,ṭṭh	attamanatā, anattamanatā, tejatta, vāyatta, nittejatā
s + m	ss	sm > ss	s > m	ss	x	x
s + y	ss	sy > ss	y > s	x	x	x
s + s	cch	ss > cch	x	x	x	x
sa + y	ss	sy > ss	y > s	ss	x	x
saṃ + 	sā	saṃ > sā	x	sā, saṃ + l, saṃ + r	x	vatassāhaṃ, asāmanta, asāmāyika, tesāhaṃ, sampasāda 1, sampasādana 1, saṃsāda, saṃsāra 1, saṃsāra 2, saṃsāra 3, sāmagga, sāmaggiya, sāmaggī 1, sāmaggī 2, sāmanta 1, sāmantā 1, sāmantā 2, sāmāyika, sāmukkaṃsika, sāmuddika, sampasāda 2, sāmayika 2
snih +	sini	snih > sinih (epenthesis)	x	x	x	x
sud	sod	u > o	x	a + u	x	x
						
hu	ju	h > j	x	x	x	khujjuttarā
hu	jū	h > j	x	x	x	x
h + g	gh	hg > gh (metathesis)	x	h + gh	x	x
h + t	ddh	ht > ddh	x	bh + t, dh + t	x	x
h + t	ḷh	ht > ḍh > ḷh (metathesis)	t > ḍ > ḷ	x	x	x
h + y	yh	hy > yh (metathesis)	hy > yh	x	x	x
						
ṃ + a	ma	ṃa > ma	ṃ > m	x	x	bahulīmakasi, mayampi, apubbaṃ acarimaṃ
ṃ + ava	mo	ṃo > mo	ṃ > m	x	x	x
ṃ + ā	mā	ṃā > mā	ṃ > m	x	x	x
ṃ + i	mi	ṃi > mi	ṃ > m	x	x	kinti karomi, tuyhiminā
ṃ + ī	mī	ṃī > mī	ṃ > m	x	x	x
ṃ + u	mu	ṃu > mu	ṃ > m	x	x	x
ṃ + u	mū	ṃu > mu	ṃ > m	x	x	x
ṃ + ū	mū	ṃū > mū	ṃ > m	x	x	x
