chA	chB	ch1	ch2	eg	for
n	ā	nā	a	yaṃnūnāhaṃ	general
n	ā	nā	i	ānubhāvenāti	general
n	ā	naṃ	a	dvinn'āhaṃ	general
n	ā	ni	a	tānāssu	general
n	ā	nu	a	nan'āyaṃ	general
n	d	ṃ	d	bhūmindhara	general
n	e	na	e	neso	general
n	e	naṃ	e	pañcannetaṃ	general
n	e	ne	a	hīne'dhimuttaṃ	general
n	e	ni	e	ṭhānān'etāni	general
n	i	na	i	panidaṃ	general
n	i	ni	a	ādīnipi	api
n	i	ni	i	idān'ime	general
n	ī	na	i	ken'īdha	general
n	ī	ni	i	sāmīcikammānīti	iti
n	ī	nī	a	utunīmhi	general
n	ī	nī	i	añjanīva	general
n	n	ṃ	n	kinnu	general
n	n		n	kacci'n'nu	general
n	o	na	o	paññāsayojanokāse	general
n	o	na	u	supin'occārapassāvo	general
n	o	nī	o	bhikkhun'ovādavaggo	general
n	o	no	a	sayānomhi	general
n	o	no	i	jhānoti	iti
n	o	nu	i	āyasmānoti	general
n	t	ṃ	it	neyyanti	iti
n	t	ṃ	t	idantaṃ	general
n	t	n	it	khīṇan'teva	iti
n	u	na	u	iddhibalenupatthaddho	general
n	u	nā	u	sen'uyyodhikaṃ	general
n	u	nu	a	nujja	general
n	u	nu	e	nuttha	general
n	u	nu	i	nanume	general
n	ū	na	u	udakādhān'ūpamāyo	general
n	ū	nā	u	vedanūpāyaṃ	general
ñ	a	ña	a	araññajjhāsayā	general
ñ	ā	ñā	a	aññāssa	general
ñ	ā	ñā	ā	saññādīsu	general
ñ	c	ṃ	c	tiṇañce	general
ñ	h	ṃ	h	nibbānogadhañhi	general
ñ	j	ṃ	j	dhanañjānī	general
ñ	ñ	ṃ	y	yaññadeva	general
ñ	ñ	ṃ		taññeva	general
ñ	o	ño	a	katapuñño'si	general
ñ	ū	ñā	u	saññ'ūpāyaṃ	general
ñ	ū	ñū	a	akataññū'si	general
ṅ	k	ṃ	k	khemaṅkarassa	general
ṇ	a	ṇa	a	gahaṇaṭṭhena	general
ṇ	a	ṇi	a	tīṇ'aṅgāni	general
ṇ	ā	ṇa	ā	khīṇāsavo	general
ṇ	ā	ṇā	a	samaṇāmhā	general
ṇ	ā	ṇā	i	tāragaṇā'va	general
ṇ	i	ṇa	i	pīṇindriye	general
ṇ	i	ṇi	i	tīṇindriyāni	general
ṇ	ī	ṇā	i	samaṇīdha	general
ṇ	ī	ṇaṃ	i	samaṇīdha	general
ṇ	ī	ṇī	a	sikharaṇī'si	general
ṇ	o	ṇa	u	dakkhiṇodakaṃ	general
ṇ	o	ṇo	a	otiṇṇomhi	general
ṇ	u	ṇa	u	gaṇaṅgaṇupāhanā	general
ṇ	ū	ṇa	u	veṇūpamena	general
o	p	o	ap	tissopi	api
o	t	o	it	pahātabboti	iti
o	v	o	ev	esovetassa	general
o	v	o	iv	kukkurova	iva
o	y	o		etaparamoyeva	eva
p	a	api	a	mayhaṃpatthi	general
p	a	pa	a	sūpatthāya	general
p	a	pi	a	etampahaṃ	general
p	ā	api	ā	yampāvuso	general
p	ā	pa	a	appādhikaraṇaṃ	general
p	ā	pa	ā	kassapādi	general
p	ā	pi	a	apāhaṃ	general
p	ā	pi	ā	apāvuso	api
p	ā	po	ā	āp'ādīsupi	general
p	e	api	e	brahmunāpesā	general
p	e	pi	e	apetthekacco	api
p	i	ap	i	pidhekacce	general
p	i	api	a	evampissa	general
p	i	api	i	pidhekacce	general
p	i	pi	a	khattiyopi'ssāssāti	general
p	i	pi	i	sabbepime	general
p	o	po	a	abhisāpoyaṃ	general
p	p	d	p	tappaṭibhāgaṃ	general
p	p	pi		appeva	general
p	p		p	nappatirūpaṃ	general
p	u	pi	u	yampudāyi	general
r	a	ra	a	saṅkāraggi	general
r	ā	ra	a	tatrāssudaṃ	general
r	ā	ra	ā	saṃvarāpajjanā	general
r	ā	rā	a	satthār'ānuggahito	general
r	ā	rā	ā	accasarāvuso	general
r	ā	ri	a	cattār'āhaṃ	general
r	e	ra	e	tatrekassa	general
r	e		e	vutti'r'esā	general
r	i	ra	i	tatrime	general
r	i	ri	i	cattārimāni	general
r	i		i	āraggeriva	general
r	ī	ri	i	atar'īdha	general
r	o	ra	o	sarīrobhāsena	general
r	o	ro	a	mukharosi	general
r	o	ro	i	cattārome	general
r	u	ra	u	samudācāruppanna	general
r	u	ru	a	dārutthāya	general
r	ū	ra	u	tatrūpapatti	general
r	ū	rī	u	brahmacār'ūpaddava	general
s	a	s	ā	parisa'mittañca	general
s	a	sa	a	tassaṅgaṇassa	general
s	ā	sa	a	esāhaṃ	general
s	ā	sa	ā	vītamohassāvuso	general
s	ā	sa	i	assā'ti	iti
s	ā	sā	a	sāssa	general
s	ā	sā	i	ayasā'va	general
s	ā	saṃ	a	tesāhaṃ	general
s	ā	si	a	ahosāhaṃ	general
s	ā	su	a	yesāhaṃ	general
s	e	sa	e	ariyassetaṃ	general
s	e	se	i	ākāse'va	general
s	e	so	e	eseva	eva
s	i	sa	i	tassimaṃ	general
s	i	si	i	tāresimaṃ	general
s	ī	sa	i	atthikass'īdha	general
s	ī	si	i	gahitosī'ti	iti
s	ī	sī	a	vasī'mhi	general
s	ī	sī	i	tapassītiādimāha	general
s	o	sa	o	sīsokkamanaṃ	general
s	o	so	a	somhi	general
s	o	so	e	dosova	eva
s	o	so	i	sadisoti	iti
s	s	d	s	tassāruppaṃ	general
s	s		s	chinnassarāpi	general
s	u	sa	u	imassuppādā	general
s	u	su	a	indriyesumha	general
s	u	su	i	apissumaṃ	general
s	u	su	u	pañcasupādāna	general
s	ū	sa	u	maṃsūpasecano	general
s	ū	su	i	kathaṃsūti	iti
s	ū	su	u	ājānīyasus'ūpamaṃ	general
s	v	s	o	alasvassa	general
s	v	so	a	svajja	general
t	a	ta	a	paṇītaṭṭhena	general
t	a	ti	a	jhāyatassu	general
t	ā	ta	a	nissutāssa	general
t	ā	ta	ā	navanītādīni	general
t	ā	ta	i	pattāti	general
t	ā	tā	a	tāhaṃ	general
t	ā	tā	ā	rājamahāmattādayo	general
t	ā	tā	i	amantāti	iti
t	ā	taṃ	a	dīgharattāhaṃ	general
t	ā	ti	a	sammāpaṭipattādhikaraṇahetu	general
t	ā	ti	ā	ijjhat'āvuso	general
t	ā	tu	ā	yāpet'āyasmā	general
t	e	te	i	pokkharapatt'eva	iva
t	e	ti	e	sant'ettha	general
t	e	to	e	kut'ettha	general
t	e	tu	e	tiṭṭhat'etaṃ	general
t	i	iti	a	ti'ssa	general
t	i	ta	i	vat'idaṃ	general
t	i	ti	a	sati'haṃ	general
t	i	ti	i	it'iha	general
t	ī	ti	i	ñāt'īdha	general
t	ī	tī	a	paggharantī'si	general
t	ī	tī	i	ñātī'va	general
t	o	to	a	kutossa	general
t	o	to	i	gatimantoti	iti
t	o	to	o	yatodhi	general
t	t		t	maṅgalatthambhaṃ	general
t	u	ta	u	satubbedhaṃ	general
t	u	to	u	tatuttariṃ	general
t	u	tu	a	dhātu'dhimutti	general
t	ū	ta	u	cittūpahāraṃ	general
t	ū	ti	u	bhavat'ūpapatti	general
t	v	ti		caṇḍot'veva	general
t	y	t	i	dev'ūpapatyassa	general
ṭ	ā	ṭa	ā	makkaṭādi	general
ṭ	o	ṭo	a	āvaṭṭosi	general
ṭ	o	ṭo	i	paṭṭoti	iti
ṭ	ṭ	ṭ		āsavaṭṭhānīyā	general
ṭ	ṭ		ṭ	majjhaṭṭhāne	general
u	k	uṃ	k	patiṭṭhapetukāmo	general
u	p	u	ap	mātupi	api
u	r	u		tejodhāturevesā	general
u	y	u		asuyeva	eva
ū	p	ū	ap	ṭhitabhikkhūpi	api
ū	t	u	it	nighaṇḍūti	iti
ū	t	ū	it	pāragūti	iti
ū	v	ū	ev	bhikkhūva	eva
v	a	o	a	khvayye	general
v	a	u	a	nvayaṃ	general
v	a	va	a	nevattabyābādhāya	general
v	ā	eva	a	iminā'v'ārahāmevāhaṃ	eva
v	ā	o	a	yvāssu	general
v	ā	o	ā	gvākappaṃ	general
v	ā	u	a	sv'ānussutaṃyeva	general
v	ā	u	ā	bahvābādho	general
v	ā	va	a	evāhaṃ	general
v	ā	va	ā	mamevārabbha	general
v	ā	va	i	yevāti	iti
v	ā	vā	a	vāssa	general
v	ā	vaṃ	a	ev'āhaṃ	general
v	ā	ve	ā	duv'āyusā	general
v	ā	vi	a	dv'āhaṃ	general
v	e	o	e	khvettha	general
v	e	u	e	tveva	general
v	e	va	e	evettha	general
v	e	va	i	tavedaṃ	general
v	e	ve	i	dvemā	general
v	i	o	i	khvidha	general
v	i	va	i	evime	general
v	i	vi	i	dvindriyo	general
v	ī	vī	a	medhāvī'si	general
v	o	va	o	dhaṅkamiv'ossajantīti	general
v	o	va	u	āsīvisamivoragaṃ	general
v	o	vo	a	parisuddhājīvo'hamasmi	general
v	u	va	u	nevussādanā	general
v	ū	va	u	tamevūpekkhaṃ	general
v	ū	vā	u	dev'ūpapatyassa	general
y	a	e	a	ty'atthu	general
y	a	i	a	satyassa	general
y	a	ya	a	gomayaggi	general
y	a	yaṃ	a	āhareyy'assāhaṃ	general
y	ā	e	a	tyāhaṃ	general
y	ā	e	ā	tyāvuso	general
y	ā	iṃ	a	kyāhaṃ	general
y	ā	iṃ	ā	kyādīsupi	general
y	ā	ya	a	sudhammāy'ābhito	general
y	ā	ya	ā	huveyy'āvuso	general
y	ā	ya	i	sampaliveṭheyyā'ti	iti
y	ā	yā	a	yāhaṃ	general
y	ā	yā	i	sampaliveṭheyyā'ti	general
y	ā	yaṃ	a	yāhaṃ	general
y	e	ya	e	ariyāy'etaṃ	general
y	e	ye	a	tayepi	api
y	e	ye	i	ye'me	general
y	e		e	y'eva	eva
y	i	ya	i	kāy'indriyo	general
y	i	yi	a	ajāy'ihaṃ	general
y	i		i	y'ito	general
y	o	ya	o	mahāmāluky'ovāde	general
y	o	yo	a	yo'yaṃ	general
y	o	yo	i	tayo'me	general
y	u	ya	u	ācariy'upajjhāyānaṃ	general
y	ū	yā	u	chāy'ūdaka	general
h	u	hā	u	heṭṭh'upariyavasena	general
h	ā	hā	i	macchā'va	general
j	ī	ja	i	rāj'īsayo	general
d	ū	du	i	udabindū'va	general
t	ā	to	a	bhindant'āyaṃ	
p	ā	po	a	abhisāp'āyaṃ	general
t	v	t	u	tv'evidaṃ	general
m	a		a	bālena'm'avijānatā	general
y	e	yā	e	mahiy'ekarattivāso	general
y	ī	yī	a	maggakkhāyī'haṃ	general
ñ	i	ñi	a	aññāsamatimaññi'hanti	general
s	a	si	a	jātipupphamadās'ahaṃ	general
m	a	mo	a	pañcam'atthi	general
t	ū	tu	u	yaññamut'ūpasevanā	general
n	ā	naṃ	ā	brāhmaṇān'āsuṃ	general
t	ū	tu	up	ut'ūpasevanā	general
v	e	vā	e	v'eko	general
t	e	te	a	te'bhirattā	general
r	i	ri	a	kaṇhasiri'vhayo	general
s	e	sa	i	sappass'eva	general
r	ā	ri	ā	accasar'āvuso	general
m	o	ṃ	o	āpagam'otaritvā	general
t	y	t	e	kāyagatāty'atthu	general
b	u	ba	u	sabb'upadhīnaṃ	general
n	ā	no	a	attan'āttānaṃ	general
m	a	mā	a	brahm'ajjadiṭṭho	general
d	a		a	kiñci'd'atthaṃ	general
y	a	yo	a	bhiyy'assuppajjate	general
k	a	kā	a	padak'asma	general
v	ā	vā	ā	puḷav'āvasathe	general
r	ā	ro	a	anuttar'āyaṃ	general
ṅ	g	ṃ	g	byasanaṅ'gato	general
v	ā	vā	i	sitvā'va	general
p	ī	pi	i	kap'īva	general
m	ū	ṃ	u	tam'ūpanissāya	general
t	a	tā	a	ettāvat'aggampi	general
m	ā	maṃ	a	khem'ābhipassaṃ	general
b	b	r	v	dub'bītivatta	general
y	ū	aṃ	u	kukkucciy'ūpachinde	general
ṇ	i	ṇi	a	tīṇi'ssa	general
p	ā	pā	a	japp'ābhilepanaṃ	general
h	ā	haṃ	a	rattamah'ābhipassa	general
t	i	ti	e	pārāyanant'eva	iti
d	ā	do	ā	tamanud'āsino	general
d	i	di	a	aggāsanādi'rahānaṃ	general
