variant	main
ukkoṭanavañcananikatisāviyogā	ukkoṭanavañcananikatisāciyogā
pokhānupokhaṃ	poṅkhānupoṅkhaṃ
thapentīti	ṭhapentīti
aññātakoṇḍaññoti	aññāsikoṇḍañño
surebandho	sūrambaṭṭho
khāṇukaṇḍakadhānaṃ	khāṇukaṇṭakaṭṭhānaṃ
araññakattaṃ	āraññikattaṃ
asamatthapaññatāya	asāmantapaññatāya
asamattapaññatāya	asāmantapaññatāya
asamantapaññatāya	asāmantapaññatāya
hāsupaññatāya	hāsapaññatā
palālapiṭṭhikampi	palālapīṭhakampi
pahūtarattaratanāya	pahūtasattaratanāya
kāmarāgavinivesavinibaddha	kāmarāgābhinivesavinibandha
sañcāyanti	saṅkasāyanti
paṭivāhanti	paṭibāhanti
paṭisandhārā	paṭisanthārā
abhinibbijja	abhinibbijjha
pabhaṃkaro	pabhaṅkaro
pabhāti	pabhāvī
diṭṭhappatto	diṭṭhippatto
ḍassati	ḍaṃsati
kādalimigapavarapaccattharaṇo	kadalimigapavarapaccattharaṇo
khallitasiraṃ	khalitasiraṃ
ādīvito	āditto
sañcumbharimakaṃsu	sañjambharimakaṃsu
bhedaṇḍakaṃ	bheraṇḍakaṃyeva
pussakaravitaṃ	purisakaravitaṃ
thapanīyaṃ	ṭhapanīyaṃ
thapeti	ṭhapeti
aññavāde	aññātavāde
aññātavāre	aññātavāde
sasammohaṃ	sampamohaṃ
ariyādikā	ariyacaritā
adhippāyāso	adhippayāso
adhippāyo	adhippayāso
pahūtarattaratanānaṃ	pahūtasattaratanānaṃ
taggaramallikā	tagaramallikā
sumattikataṃ	sumatikataṃ
avañcuvanevāhaṃ	avañjhāni tvevāhaṃ
uppattindriyo	guttindriyo
saṃsuddhacāraṇaṃ	saṃsuddhacārinaṃ
kussumbhe	kusobbhe
kusumbhe	kusobbhe
suvaṇṇajātarūpakāvasissanti	suvaṇṇasikatāvasissanti
sasaṅkhāraniggayhavāritavato	sasaṅkhāraniggayhavāritagato
tittisambhavaṃ	tittimajjhagā
goyogamilakkhasmiṃ	goyogapilakkhasmiṃ
yāvatajjhāvinītā	yāvatāvinītā
paṇidhiyo	paṇīdhi
labhatatthe	labhantatthe
kaṇhabhakkhopi	kaṇabhakkhopi
garahīya	yamariyagarahī
vādapathābhivattinaṃ	vādapathātivattaṃ
samādāpako	samādapako
koḷiko	kāḷako
anaṇyako	ānaṇyako
dhopeyya	dhoveyya
kammasaccāyī	kammasaccāyaṃ
nupalimpati	nupalippati
nupalimpāmi	nupalippāmi
asaddhāya	assaddhiye
paṭisseneti	paṭiseneti
phāsattaṃ	phāsukaṃ
vāsatthaṃ	phāsukaṃ
āpātadaso	āpāthadaso
sammiñjaye	samiñjaye
tāditamhā	tādimhā
antimadhārito	antimasārīro
sappatiṭṭhānaṃ	kamatiṭṭhānaṃ
ukkānatthamevāti	uttānatthamevāti
kathamassāhaṃ	kimassāhaṃ
saṅgāhabalaṃ	saṅgahabalaṃ
rāgavepullataṃ	rāgavepullattaṃ
rāgatanuttanaṃ	rāgatanuttaṃ
lasagatena	lepagatena
piyārittaṃ	phiyārittaṃ
kulāguṇṭhikajāto	gulāguṇṭhikajāto
attantāpo	attantapo
guṇāguṇṭhikajāto	gulāguṇṭhikajāto
sasaṅkhāraniggayhavāritappatitoti	saṅkhāraniggayhavāritagatoti
sasaṅkhāraniggayhavāritapattoti	saṅkhāraniggayhavāritagatoti
sasaṅkhāraniggayhavārivāvaṭoti	saṅkhāraniggayhavāritagatoti
paccayaṃsena	paccaṃsena
paccattaṃsena	paccaṃsena
sākhāpattabahupeto	sākhāpattaphalūpeto
sālipupphakaṃ	sālapupphakaṃ
sokārakkhaṃ	kosārakkhaṃ
hārahāriṇī	hārahārī
bhīyyobhāvāya	bhiyyobhāvo
āsadde	āsīde
apānutā	apānubhā
pahīnakāni	paheṇakāni
pahīṇakāni	paheṇakāni
bahulimakāsiṃ	bahulīkāsiṃ
rāgāyitomhi	rāgapariyuṭṭhitomhi
nimittiko	nemittiko
nimittako	nemittiko
bhikkhuṃsaṃgho	bhikkhu saṅghe
āvoca	avoca
asandhavavissāsī	asanthavavissāsī
viyatthupasevī	vissaṭṭhupasevī
byatthupasevī	vissaṭṭhupasevī
vyattūpasevī	vissaṭṭhupasevī
sūpaṭṭhitacitto	suppatiṭṭhitacitto
vihanīto	vihānito
ādiyyamukho	ādeyyamukho
adhimuccito	adhimuccitā
ārabbhajā	ārambhajā
ārabhajā	ārambhajā
acittikatvā	acittīkatvā
acitiṃ	acittiṃ
apaviṭṭaṃ	apaviddhaṃ
catuguṇḍiko	catukkuṇḍiko
momuhattā	momūhattā
upadahitabbo	upadahātabbo
upāsakapuṇḍarīko	upāsakapuṇḍarīkañca
āraññatā	āraññikā
kodhāraṃ	komārabrahmacariyaṃ
nīyyādetvā	niyyādetvā
nīyādetvā	niyyādetvā
māṇavakī	māṇavikā
nipakasatino	nipakkasatino
nepakkasatino	nipakkasatino
ussurakajāto	ussadakajāto
ummijāto	ūmijāto
karaṇapālī	kāraṇapālī
khudhāti	khuddaṃ
pariyonaddhanti	pariyonandhati
pariyonaddhati	pariyonandhati
chinnaparibandho	chinnaparipantho
saṅgaṇikāpavaddhano	saṅgaṇikāpavaḍḍhano
saṅgaṇikārāmabaddhano	saṅgaṇikāpavaḍḍhano
catuko	catukko
paṭikkiṭṭhaṃ	patikiṭṭhaṃ
