kenacideva	kenaci + eva
sānukampā	so + anukampā
tuṇhībhūtāyamuttarā	tuṇhībhūtā + ayaṃ + uttarā
māyime	mā + ime
voti	vo + iti
gahitosīti	gahito + asi + iti
nāvattena	na + āvattena
yadāsvāhaṃ	yadā + so + ahaṃ
yannūna	yaṃ + nūna
pāpakampissa	pāpakaṃ + api + assa
mañcepi	maṃ + ce + api
tetamanuvatteti	te + taṃ + anuvatteti
yampāyasmā	yaṃ + api + āyasmā
yannūnāhampi	yaṃ + nūna + āhaṃ + api
nevasekkho	na + eva + sekkho
nāsekkho	na + asekkho
yannu	yaṃ + nu
alaṃvacanāyāti	alaṃ + vacanāyā + iti
yannūnassāhaṃ	yaṃ + nūna + assa + ahaṃ
sāhaṃ	sā + ahaṃ
nevajjhagā	na + eva + ajjhagā
itonidānā	ito + nidānā
kosudha	ko + su + idha
asatañca	asataṃ + ca
sodha	so + idha
pire	api + re
samphalanti	saṃ + phalaṃ + iti
sohamete	so + ahaṃ + ete
nayidha	na + idha
soti	so + iti
yañce	yaṃ + ce
kedha	ke + idha
svahaṃ	so + ahaṃ
nesa	na + esa
yedha	ye + idha
nocidhāpakataṃ	no + ce + idha + apakataṃ
nocidhāpagataṃ	no + ce + idha + apagataṃ
yannūnāhaṃ	yaṃ + nūna + ahaṃ
tyassa	te + assa
voccayanti	vo + accayaṃ + iti
aṭṭhīyakapiṇḍameti	aṭṭhīyakapiṇḍaṃ + eti
nocīdha	no + ca + idha
santīdha	santi + idha
vatāyanti	vata + ayaṃ + iti
thenosīti	theno + asi + iti
pādārahenavā	pādārahena + vā
atirekapādenavāti	atirekapādena + vā + iti
sasaññāyapare	sa + saññā + apare
māyidaṃ	mā + idaṃ
sūlaṃvā	sūlaṃ + vā
laguḷaṃvā	laguḷaṃ + vā
māyimaṃ	mā + imaṃ
āmayye	āma + ayye
yevānanda	ye + ānanda
pubbevassa	pubba + eva + assa
nāgānogāhanena	nāgānaṃ + ogāhanena
nattheso	na + atthi + eso
ahañcetaṃ	ahaṃ + ca + etaṃ
pupphantīti	pupphanti + iti
ubhatobyañjanāsīti	ubhatobyañjanā + asi + iti
āmāyya	āma + ayya
āmāyye	āma + ayye
nāmhākaṃ	na + amhākaṃ
dehimesaṃ	dehi + imesaṃ
māyyo	mā + ayyo
nāyyo	na + ayyo
assamamāgamissanti	assamaṃ + āgamissaṃ + iti
māyidha	mā + idha
ayyenamhi	ayyena + amhi
nāyasmā	na + āyasmā
kvāyaṃ	ko + ayaṃ
naheva	na + hi + eva
nocassa	no + ca + assa
āharayya	āhara + ayya
nayimesaṃ	na + imesaṃ
tañceti	taṃ + ce + iti
acchādetukāmosīti	acchādetukāmo + asi + iti
meyya	me + ayya
jīnosīti	jīno + asi + iti
āgatosīti	āgato + asi + iti
icchatāvuso	icchati + āvuso
handimaṃ	handa + imaṃ
kinte	kiṃ + te
māvuso	mā + āvuso
tāvade	tāva + eva
alametaṃ	alaṃ + etaṃ
yaṃpāhaṃ	yaṃ + api + ahaṃ
yampāhaṃ	yaṃ + api + ahaṃ
kvattho	ko + attho
māyye	mā + ayye
sabboyaṃ	sabbo + ayaṃ
yaṃatthāya	yaṃ + atthāya
apamārikosīti	apamāriko + asi + iti
madhumehikosīti	madhumehiko + asi + iti
accodātosīti	accodāto + asi + iti
nāccodātosīti	nāccodāto + asi + iti
mohapariyuṭṭhitosīti	mohapariyuṭṭhito + asi + iti
vītamohosīti	vītamoho + asi + iti
ajjhāpannosīti	ajjhāpanno + asi + iti
sotāpannosīti	sotāpanno + asi + iti
brāhmaṇosīti	brāhmaṇo + asi + iti
kulavaḍḍhakosīti	kulavaḍḍhako + asi + iti
saṅgharakkhitosīti	saṅgharakkhito + asi + iti
bhāradvājosīti	bhāradvājo + asi + iti
pupphachaḍḍakosīti	pupphachaḍḍako + asi + iti
gorakkhosīti	gorakkho + asi + iti
nahāpitosīti	nahāpito + asi + iti
lekhakosīti	lekhako + asi + iti
nayimesaññeva	na + imesaṃ + eva
nāyya	na + ayya
sañciccavadhasappāṇaṃ	sañcicca + vadha + sappāṇaṃ
nānānayavicittaṃ	nānā + naya + vicittaṃ
nārahatāyaṃ	na + arahati + ayaṃ
nāyye	na + ayye
tassāyaṃ	tassa + ayaṃ
cādhammenadhīyati	ca + adhammena + adhīyati
kumbhamivābhidāti	kumbhaṃ + iva + abhidā + iti
nipannāsīti	nipannā + asi + iti
cattamano	ca + attamano
chindiyeva	chindi + eva
dirattatirattañce	dirattatirattaṃ + ce
etadevaatthāya	etad + eva + atthāya
nāyyā	nu + ayyā
niccamhāti	nicca + amhā + iti
dhuvamhāti	dhuva + amhā + iti
sassatamhāti	sassata + amhā + iti
vimuttītissa	vimuttī + iti + assa
virāgotissa	virāgo + iti + assa
tissa	ti + assa
nibbidātissa	nibbidā + iti + assa
yathābhūtañāṇadassanantissa	yathābhūtañāṇadassanaṃ + iti + assa
samādhītissa	samādhi + iti + assa
sukhantissa	sukhaṃ + iti + assa
passaddhītissa	passaddhi + iti + assa
pītītissa	pīti + iti + assa
pāmojjantissa	pāmojjaṃ + iti + assa
saddhātissa	saddhā + iti + assa
dukkhantissa	dukkhaṃ + iti + assa
jātītissa	jāti + iti + assa
bhavotissa	bhavo + iti + assa
upādānantissa	upādānaṃ + iti + assa
taṇhātissa	taṇhā + iti + assa
vedanātissa	vedanā + iti + assa
phassotissa	phasso + iti + assa
saḷāyatanantissa	saḷāyatanaṃ + iti + assa
nāmarūpantissa	nāmarūpaṃ + iti + assa
viññāṇantissa	viññāṇaṃ + iti + assa
saṅkhārātissa	saṅkhārā + iti + assa
avijjātissa	avijjā + iti + assa
hāyasmā	hi + āyasmā
natumhā	na + tumhākaṃ
dissatāyaṃ	dissati + ayaṃ
ārakāvassa	ārakā + eva + assa
pucchāmahaṃ	pucchāmi + ahaṃ
yeti	ye + iti
tāvime	tāva + ime
nocedañca	no + ce + idaṃ + ca
nocedaṃ	no + ce + idaṃ
subhantveva	subhaṃ + ti + eva
kiñcarahāvuso	kiṃ + carahi + āvuso
kamuddiseyyanti	kaṃ + uddiseyyaṃ + iti
tāvadeti	tāva + eva + iti
kiṃvādāyasmantānaṃ	kiṃ + vādī + āyasmantānaṃ
sīhassevitare	sīhassa + eva + itare
nevācināti	na + eva + ācināti
nāraññe	na + araññe
mamovādena	mama + ovādena
bhabbosi	bhabbo + asi
jahantimaṃ	jahanti + imaṃ
etādisāyaṃ	etādiso + ayaṃ
saraṇattano	saraṇaṃ + attano
abhāvitattātissa	abhāvitattā + iti + assa
bhāvitattātissa	bhāvitattā + iti + assa
pañcupādānakkhandhātissa	pañcupādānakkhandhā + iti + assa
arahātissa	arahā + iti + assa
soattā	so + attā
nocamesiyā	no + ca + me + siyā
cittasseso	cittassa + eso
nīlādīhi	nīla + ādīhi
midhekacco	idha + ekacco
ahamovādena	ahaṃ + ovādena
mete	me + te
tepime	te + api + ime
māyasmantānampi	mā + āyasmantānaṃ + api
vācāvatthurevassa	vācāvatthu + eva + assa
vācāvatthudevassa	vācāvatthu + eva + assa
viharantānavassutā	viharantā + anavassutā
athoppiye	atho + appiye
cittamassūpahaññati	cittaṃ + assa + upahaññati
nibbānamuccati	nibbānaṃ + uccati
nibbānamuccatīti	nibbānaṃ uccati + iti
tasmātihāvuso	tasmā + iha + āvuso
itthetanti	ittha + etaṃ + iti
japāmaseti	japāmase + iti
anupaṭṭhitakāyassatītveva	anupaṭṭhitakāyassati + iti + eve
yāvatatthīti	yāvatā + atthi + iti
sammūḷhettha	sammūḷho + ettha
mariyebhi	m + ariyebhi
natumhākameva	na + tumhākaṃ + eva
nume	nu + ime
pariyādiyantevassa	pariyādiyantI + eva + assa
natthassa	natthi + assa
iticīticeva	iti + ca + iti + ca + eva
yathāpitveva	yathā + api + iti + eva
tathevimasmiṃ	tathā + eva + imasmiṃ
caṇḍotveva	caṇḍo + iti + eva
caṇḍoteva	caṇḍo + iti + eva
suratoteva	surato + iti + eva
tidhammo	ti + dhammo
pāhaṃ	pi + ahaṃ
yaṃbahulañca	yaṃbahulaṃ + ca
natvevāhaṃ	na + iti + eva + ahaṃ
cāvahātuṃ	ca + āvahātuṃ
bhadrarāsiyapāṭalīti	bhadra + rāsiya + pāṭalī + iti
mahāyye	mahā + ayye
dhammābhiññeyyāti	dhammā + abhiññeyyā + iti
atthattāti	atthi + attā + iti
natthattāti	natthi + attā + iti
yassapassa	yassa + api + assa
sakalamidaṃ	sakalaṃ + idaṃ
kācimā	kāci + imā
ayamācāro	ayaṃ + ācāro
sacejja	sace + ajja
maccurājāgamissatīti	maccurāja + āgamissati + iti
maccujarākampisminti	maccujara + akampismiṃ + iti
cepāyasmā	ce + api + āyasmā
sacepāyasmā	sace + api + āyasmā
appamattakāyaṃ	appamattaka + ayaṃ
sototveva	soto + iti + eva
sototi	soto + iti
yādha	yā + idha
yāssa	yā + assa
idāhaṃ	ida + ahaṃ
pabhassaramidaṃ	pabhassaraṃ + idaṃ
tepimaṃ	te + api + imaṃ
aggoti	aggo + iti
kamattha	kaṃ + attha
atthesaṃ	atthi + esaṃ
arāpi	arā + pi
sopassa	so + api + assa
saṭhoso	saṭho + so
nevādiṃ	na + eva + ādiṃ
yāvatānanda	yāvatā + ānanda
evassu	eva + assu
