maṇabrāhmaṇiyā	sassamaṇabrāhmaṇiyā
sotapanno	sotāpanno
āyatanānī	āyatanānītissa
manubhoti	anubhoti
kāgarāgābhinivesavinibandhapaligedhapariyuṭṭhānajjhosānaṃ	kāmarāgābhinivesavinibandhapaligedhapariyuṭṭhānajjhosānaṃ
dhammānussārī	dhammānusārī
sammāsaṅkapo	sammāsaṅkappo
nikāmalāmī	nikāmalābhī
pahanāya	pahānāya
abhiviniye	abhivinaye
brāhmalokāpi	brahmalokāpi
pahātabbot	pahātabboti
bbhavikehi	ponobbhavikehi
gihisāmicīti	gihisāmīcīti
dubbaṇo	dubbaṇṇo
viññā	viññāya
pono	ponobhavikehi
attavādī	atthavādī
akaṅkhati	ākaṅkhati
ḍaṃsamakasavātātapasarīsa	ḍaṃsamakasavātātapasarīsapasamphassānaṃ
pasamphassānaṃ	ḍaṃsamakasavātātapasarīsapasamphassānaṃ
dupañño	duppañño
vācimanuvācenti	vācitamanuvācenti
suṇohhi	suṇohi
bhavissatī	bhavissatīti
