timestamp,file,line,control,handler,event,ms
2026-09-17T10:23:26.866,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:27.113,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:30.047,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:30.756,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:30.919,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:32.337,gui2/pass2_add_view.py,315,TextField,Pass2AddView._disable_id_field_autofocus,blur,0.0
2026-09-17T10:23:38.138,gui2/pass2_add_view.py,315,TextField,Pass2AddView._disable_id_field_autofocus,blur,0.0
2026-09-17T10:23:38.382,gui2/pass2_add_view.py,508,ElevatedButton,Pass2AddView._click_clone_headword,click,125.7
2026-09-17T10:23:39.724,gui2/dpd_fields_meaning.py,146,DpdTextField,DpdMeaningField._handle_on_focus,focus,34.5
2026-09-17T10:23:40.401,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:40.553,gui2/dpd_fields_meaning.py,155,DpdTextField,DpdMeaningField._handle_on_blur,blur,148.3
2026-09-17T10:23:41.007,gui2/dpd_fields_meaning.py,146,DpdTextField,DpdMeaningField._handle_on_focus,focus,36.0
2026-09-17T10:23:41.096,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:41.137,gui2/dpd_fields_meaning.py,155,DpdTextField,DpdMeaningField._handle_on_blur,blur,37.0
2026-09-17T10:23:41.668,gui2/dpd_fields_meaning.py,146,DpdTextField,DpdMeaningField._handle_on_focus,focus,35.9
2026-09-17T10:23:41.709,gui2/dpd_fields_meaning.py,155,DpdTextField,DpdMeaningField._handle_on_blur,blur,43.1
2026-09-17T10:23:41.770,gui2/dpd_fields.py,1090,DpdDropdown,DpdFields.root_key_change,focus,41.4
2026-09-17T10:23:41.918,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:41.962,gui2/dpd_fields.py,1090,DpdDropdown,DpdFields.root_key_change,blur,40.6
2026-09-17T10:23:42.142,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:42.365,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:42.404,gui2/dpd_fields.py,1115,DpdTextField,DpdFields.root_sign_change,focus,34.9
2026-09-17T10:23:42.675,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:42.713,gui2/dpd_fields.py,1115,DpdTextField,DpdFields.root_sign_change,blur,37.0
2026-09-17T10:23:42.807,gui2/dpd_fields.py,1104,DpdTextField,DpdFields.root_sign_submit,submit,125.5
2026-09-17T10:23:42.860,gui2/dpd_fields.py,1115,DpdTextField,DpdFields.root_sign_change,focus,37.5
2026-09-17T10:23:43.186,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:43.226,gui2/dpd_fields.py,1115,DpdTextField,DpdFields.root_sign_change,blur,37.5
2026-09-17T10:23:43.418,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:43.778,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:44.034,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:44.153,gui2/dpd_fields.py,1128,DpdTextField,DpdFields.root_base_submit,submit,117.7
2026-09-17T10:23:44.763,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:44.994,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:45.156,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:45.196,gui2/dpd_fields.py,1150,DpdTextField,DpdFields.family_root_blur,blur,37.5
2026-09-17T10:23:45.376,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:45.413,gui2/dpd_fields.py,1196,DpdTextField,DpdFields.family_word_change,focus,33.9
2026-09-17T10:23:45.563,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:45.776,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:45.815,gui2/dpd_fields.py,1233,DpdTextField,DpdFields.family_compound_focus,focus,35.0
2026-09-17T10:23:45.990,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:46.032,gui2/dpd_fields.py,1251,DpdTextField,DpdFields.family_compound_change,blur,39.0
2026-09-17T10:23:46.179,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:46.220,gui2/dpd_fields.py,1267,DpdTextField,DpdFields.family_idioms_focus,focus,38.9
2026-09-17T10:23:46.422,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:46.665,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:46.744,gui2/dpd_fields.py,1442,DpdTextField,DpdFields.construction_focus,focus,74.4
2026-09-17T10:23:46.893,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:46.895,gui2/dpd_fields.py,1517,DpdTextField,DpdFields.construction_blur,blur,0.0
2026-09-17T10:23:48.940,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:49.475,gui2/dpd_fields.py,1442,DpdTextField,DpdFields.construction_focus,focus,72.8
2026-09-17T10:23:50.461,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:50.464,gui2/dpd_fields.py,1499,DpdTextField,DpdFields.construction_change,change,0.0
2026-09-17T10:23:50.779,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:50.784,gui2/dpd_fields.py,1517,DpdTextField,DpdFields.construction_blur,blur,0.0
2026-09-17T10:23:51.466,gui2/dpd_fields.py,902,DpdTextField,DpdFields.phonetic_focus,focus,3.1
2026-09-17T10:23:51.678,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:51.760,gui2/dpd_fields.py,894,DpdDropdown,DpdFields.compound_type_blur,blur,78.9
2026-09-17T10:23:51.798,gui2/dpd_fields_compound_construction.py,104,DpdTextField,DpdCompoundConstructionField.compound_construction_focus,focus,37.5
2026-09-17T10:23:52.118,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:52.715,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:53.915,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:54.450,gui2/dpd_fields_examples.py,575,DpdTextField,DpdExampleField.update_counter,focus,0.0
2026-09-17T10:23:54.541,gui2/dpd_fields_examples.py,315,TextField,DpdExampleField._handle_last_control_blur,blur,0.0
2026-09-17T10:23:55.786,gui2/dpd_fields.py,962,DpdTextField,DpdFields.sanskrit_focus,focus,0.0
2026-09-17T10:23:56.380,gui2/main.py,217,Page,App.on_keyboard,keyboard_event,0.0
2026-09-17T10:23:56.382,gui2/dpd_fields.py,943,DpdTextField,DpdFields.sanskrit_blur,blur,0.0
2026-09-17T10:23:57.472,gui2/dpd_fields.py,970,DpdTextField,DpdFields.sanskrit_submit,submit,1090.5
2026-09-17T10:23:59.346,gui2/dpd_fields.py,962,DpdTextField,DpdFields.sanskrit_focus,focus,0.0
