index	chA	chB	ch1	ch2	eg	weight
244	m	i	mi	a	passāmi'ssānubhāvanti	3
245	m	ī	mi	i	asmīti	3
246	m	i	mi	i	nikkhipissām'imaṃ	3
247	m	o	ṃ	o	āpagam'otaritvā	3
248	m	o	ma	u	sadhammokkaṃsanā	3
249	m	o	mo	a	saccanāmomhi	3
250	m	o	mo	e	abhikkamosānaṃ	3
251	m	o	mo	i	appaṭimo'dha	3
252	m	p		ap	bhavataṇhā'm'pāhaṃ	4
253	m	p	ṃ	ap	kusacīrampi	3
254	ṃ	p	ṃ	ap	sumaṅgalavilāsiniyaṃpi	3
255	m	p	ṃ	api	yampicchaṃ	3
256	ṃ	s	ṃ	as	kaṃsi	3
257	ṃ	s	ṃ	ass	yaṃsa	3
258	ṃ	t	ṃ	it	kiṃti	3
259	m	u	ṃ	u	ahamupaka	3
260	m	ū	ṃ	u	tam'ūpanissāya	3
261	m	u	ma	u	dhammuddesā	3
262	ṃ	v	ṃ	ev	ekaṃ'va	3
263	ṃ	v	ṃ	iv	hatthagataṃva	3
264	ṃ	y	ṃ		kakusandhaṃ'y'eva	4
265	ñ	ā	ñā	a	aññāssa	3
266	ñ	a	ña	a	araññ'ajjhāsayā	4
267	n	ā	na	ā	āraññikenāvuso	3
268	ṇ	a	ṇa	a	gahaṇ'aṭṭhena	4
269	ṇ	ā	ṇa	ā	khīṇāsavo	3
270	n	ā	nā	ā	nān'ārammaṇato	3
271	n	ā	na	a	panāyye	3
272	ṇ	ā	ṇā	a	samaṇāmhā	3
273	ñ	ā	ñā	ā	saññādīsu	3
274	n	ā	nā	a	yaṃnūnāhaṃ	3
275	n	a	na	a	yen'amhi	4
276	n	ā	nā	e	ūnā'va	3
277	n	ā	nā	i	ānubhāvenāti	3
278	n	ā	na	i	ānubhāvenāti	3
279	ṇ	ā	ṇā	i	tāragaṇā'va	3
280	n	ā	naṃ	ā	brāhmaṇān'āsuṃ	3
281	n	ā	naṃ	a	dvinn'āhaṃ	3
282	ṇ	ā	ṇe	a	sabbapāṇ'ānukampati	3
283	n	a	ni	a	tānassu	3
284	n	ā	ni	a	tānāssu	3
285	ṇ	a	ṇi	a	tīṇ'aṅgāni	3
286	n	ā	no	a	attan'āttānaṃ	3
287	n	a	no	a	sampann'atthūdha	3
288	n	a	nu	a	najja	3
289	n	ā	nu	a	nan'āyaṃ	3
290	ñ	c	ṃ	c	tiṇañce	3
291	n	d	ṃ	d	bhūmindhara	3
292	n	e	na	e	neso	3
293	n	e	na	i	baḷisen'eva	3
294	n	e	naṃ	e	pañcannetaṃ	3
295	n	e	ne	a	hīne'dhimuttaṃ	3
296	ñ	e	ñe	a	maññe'haṃ	3
297	n	e	ni	e	ṭhānān'etāni	3
298	ṅ	g	ṃ	g	byasanaṅ'gato	3
299	ñ	h	ṃ	h	nibbānogadhañhi	3
300	n	ī	na	i	ken'īdha	3
301	n	i	na	i	panidaṃ	3
302	ṇ	i	ṇa	i	pīṇindriye	3
303	ṇ	ī	ṇā	i	samaṇīdha	3
304	n	ī	naṃ	i	assaddhān'īdha	3
305	ṇ	ī	ṇaṃ	i	samaṇīdha	3
306	n	i	ni	a	ādīnipi	3
307	ñ	i	ñi	a	aññāsamatimaññi'hanti	3
